cycle no,1 Ascending aorta [mmHg],2 Aortic arch I [mmHg],3 Brachiocephalic [mmHg],4 R. subclavian I [mmHg],5 R. com. carotid [mmHg],6 R. vertebral [mmHg],7 R. subclavian II [mmHg],8 R. radius [mmHg],9 R. ulnar I [mmHg],10 Aortic arch II [mmHg],11 L. com. carotid [mmHg],12 Thoracic aorta I [mmHg],13 Thoracic aorta II [mmHg],14 Intercoastals [mmHg],15 L. subclavian I [mmHg],16 L. vertebral [mmHg],17 L. subclavian II [mmHg],18 L. ulnar I [mmHg],19 L. radius [mmHg],20 Celiac I [mmHg],21 Celiac II [mmHg],22 Hepatic [mmHg],23 Splenic [mmHg],24 Gastric [mmHg],25 Abdominal aorta I [mmHg],26 Sup. mesenteric [mmHg],27 Abdominal aorta II [mmHg],28 R. renal [mmHg],29 Abdominal aorta III [mmHg],30 L. renal [mmHg],31 Abdominal aorta IV [mmHg],32 Inf. mesenteric [mmHg],33 Abdominal aorta V [mmHg],34 R. com. iliac [mmHg],35 R. ext. iliac [mmHg],36 R. int. iliac [mmHg],37 R. deep femoral [mmHg],38 R. femoral [mmHg],39 R. ext. carotid I [mmHg],40 L. int. carotid I [mmHg],41 R. post. tibial [mmHg],42 R. ant. tibial [mmHg],43 R. interosseous [mmHg],44 R. ulnar II [mmHg],45 L. ulnar II [mmHg],46 L. interosseous [mmHg],47 R. int. carotid I [mmHg],48 L. ext. carotid I [mmHg],49 L. com. iliac [mmHg],50 L. ext. iliac [mmHg],51 L. int. iliac [mmHg],52 L. deep femoral [mmHg],53 L. femoral [mmHg],54 L. post. tibial [mmHg],55 L. ant. tibial [mmHg],56 Basilar [mmHg],57 R. PCA I [mmHg],58 R. PCA II [mmHg],59 R. PCoA [mmHg],60 R. int. carotid II [mmHg],61 R. MCA [mmHg],62 R. ACA I [mmHg],63 R. ACA II [mmHg],64 ACoA [mmHg],65 L. ACA II [mmHg],66 L. ACA I [mmHg],67 L. MCA [mmHg],68 L. int. carotid II [mmHg],69 L. PCoA [mmHg],70 L. PCA II [mmHg],71 L. PCA I [mmHg],72 L. ext. carotid II [mmHg],73 R. ext. carotid II [mmHg],74 L. sup. thy. asc. ph. lyng. fac. occ. [mmHg],75 R. sup. thy. asc. ph. lyng. fac. occ. [mmHg],76 L. superf. temp. [mmHg],77 R. superf. temp. [mmHg],78 L. maxillary [mmHg],79 R. maxillary [mmHg],80 L. superf. temp. fron. bran. [mmHg],81 R. superf. temp. fron. bran. [mmHg],82 L. superf. temp. pari. bran. [mmHg],83 R. superf. temp. pari. bran. [mmHg]
1,99.5142450593889,99.50476757169488,99.56895678634945,99.54450950324495,99.54433658202065,97.86010346310294,98.61700310765538,91.50241048020614,95.21621271768805,99.49561262526784,99.28177437660733,99.47593645148844,99.42777033106967,99.15796806259588,99.52771778179351,96.96648755450674,98.6004064254484,95.20448566801558,91.49319361272853,99.2455118485182,99.17944108518446,99.19256236159367,98.511310258111,98.67581654473754,99.37344318358357,99.22028563445829,99.38290912686708,99.02492819768189,99.39994432486863,99.01712886019885,99.38785126281877,99.17046468989655,99.31101358036756,99.19680990171317,98.94369472854031,98.40445301939143,96.23880028768106,96.65157109871927,99.52601072099732,97.34349348532477,91.57809719885333,89.78722495643383,93.69254548946121,92.54112712906229,92.53119011575464,93.68321120395638,85.77225575600212,99.32950200867057,99.19680990171317,98.94369472854031,98.40445301939143,96.23880028768106,96.65157109871927,91.57809719885333,89.78722495643383,89.18308785877441,86.64630731743561,86.11260163739126,86.24596438961126,85.51635879101704,84.53153795362583,86.0022234228709,86.07013316178184,84.85114443285421,87.15151471923203,89.09714974194172,93.40184957457951,94.13768634289318,90.66309166161977,86.5681543153156,88.18300317702243,98.9211232190378,99.1235603777078,94.9281012331732,95.11103219588476,97.79629193542992,97.99380470288976,94.82741638213679,95.01024136962461,93.31191722311247,93.48912462484417,93.28841001245341,93.46549447491518
2,99.3070323337858,99.29425342859096,99.39528332904422,99.35972902489715,99.3609132824497,97.1079422083556,98.07918198041084,88.28624001962443,93.51541416230094,99.28338212456856,98.95975680458527,99.25862727124795,99.19740766691149,98.88537449563117,99.33638092430027,95.89084311245209,98.06085104216612,93.50411070675953,88.27858989896393,98.9670018707109,98.91429370360679,98.957608824107,98.11949552937092,98.34896882234277,99.13614365801065,98.96560425255018,99.16094845449064,98.70024677587267,99.19037847536086,98.69116383267144,99.17915308531967,98.9259657889417,99.08617896722018,98.94955806558576,98.64444451216104,98.0025223325901,95.2904172401828,95.70577573123728,99.33633972360151,96.39965237748811,89.41312041036008,86.9779197385341,91.6084514410399,89.95615036613822,89.94766926441736,91.60057315297527,81.09957761695645,99.09070494696799,98.94955806558576,98.64444451216104,98.0025223325901,95.2904172401828,95.70577573123728,89.41312041036008,86.9779197385341,84.96890092884442,81.96389325998537,81.35788740676409,81.54085090589643,80.74667982251171,79.20013027274298,81.41961505308794,81.42791133178707,78.89208253025487,82.93057258207696,84.59216068273477,91.31851843755788,92.24197171119377,87.21925758632374,81.97164428866665,84.2750654055892,98.52056052790402,98.77157584008577,92.74450278584477,92.97473027301255,96.98883002109277,97.23528669153362,92.64267306223863,92.87328351896586,90.9225765065335,91.14874718506591,90.88686109876525,91.1129023201278
3,96.36705916008674,96.3568183888503,96.43709347778153,96.40655548056911,96.4033012549072,94.95436583231198,95.16626501139233,85.64944273206494,90.7567052895042,96.34489216298988,96.21474323000349,96.3222492562832,96.26778892154084,96.0002431791092,96.39105248632987,94.19741380352647,95.15397440478104,90.75020390699751,85.64582772004174,96.07514953340002,96.02031224744948,96.0480000658558,95.31628878017813,95.50706900176112,96.21204894083928,96.06632319121833,96.22973444483158,95.84363698621043,96.25295065580269,95.83515533080407,96.23942329280837,96.0147120129124,96.15343883361236,96.0284826055293,95.74630715635229,95.19253804053591,92.71411064257472,93.02042347769272,96.37865948241205,94.7665509243562,87.21828963487954,84.9099883447509,88.94662588594215,87.36418740481442,87.35996480985041,88.94289891757006,84.29407332353713,96.22673748657719,96.0284826055293,95.74630715635229,95.19253804053591,92.71411064257472,93.02042347769272,87.21828963487954,84.9099883447509,87.63171983346108,85.29302922097726,85.01709963276629,84.80024467909004,84.095213042649,83.20113109184113,84.56897047891212,84.75225446497716,83.74989979899233,85.71650812798049,87.67387109391225,91.9763251402856,92.31847649294188,89.09050601615971,85.494563179143,86.6447727277823,95.66180280904955,95.82116075685376,89.85003607218944,89.99918098227272,94.1558630238478,94.3132422236942,89.75590672044508,89.9054060010858,88.27613732442283,88.42452757378729,88.23948973923574,88.3878146672301
4,93.49249780595501,93.48359717277081,93.55082350225888,93.52333752770645,93.51901627548665,92.2565860958316,92.35835512330162,83.28222002817725,88.16971250793033,93.47291837954816,93.36536251276819,93.4532516760015,93.40574874442416,93.16076833297232,93.51006686552078,91.6083726547355,92.34703688172799,88.16352177070169,83.27866111374688,93.23693024328539,93.17983452122309,93.19837129273938,92.53165980913003,92.69841391307746,93.35587724334718,93.22355788155903,93.36949755368208,93.02715123755486,93.38874524743305,93.0195354582713,93.37590008898782,93.17087243757797,93.29838726299097,93.18414137565404,92.92383362143724,92.41583498787092,90.11747937215732,90.40865669016355,93.49554730584023,92.1024710066569,85.01007238205618,82.84945106930843,86.46224582236107,84.95847463564142,84.95437523143559,86.45848939026644,82.99219221097242,93.35764445089475,93.18414137565404,92.92383362143724,92.41583498787092,90.11747937215732,90.40865669016355,85.01007238205618,82.84945106930843,86.01077075115879,83.94211794366241,83.71473267686612,83.48164639317508,82.81759186675428,82.0707783019339,83.21159078075607,83.37482064873545,82.70132197548405,84.20008039186352,86.10028438810235,89.65699312344543,89.9574618298665,87.26355942549432,84.1193157665713,85.04327157182884,92.81782376226336,92.96347707014067,87.19842976522193,87.33414739661326,91.37813349438964,91.52159103129365,87.1127698533961,87.24865416093151,85.78475979968933,85.91869136149661,85.74916363226491,85.88303305866914
5,91.7086122363465,91.70061743669726,91.76063864882367,91.7353654903401,91.73044169662926,90.62742233474955,90.65127994583358,82.22978860112786,86.77773582190171,91.69070036006178,91.6041265205234,91.67311408481356,91.63078471854458,91.41501743754921,91.72427416501216,90.07360955553638,90.64140036122463,86.7724335222487,82.22676630870232,91.48371906941404,91.43112980605697,91.44431921056155,90.84496945515805,90.99074761245109,91.58639476465473,91.47154988338598,91.59834000355798,91.2993503486277,91.61522350642284,91.29230035703671,91.60236150652688,91.41661821325961,91.53044719206983,91.42468451976755,91.18117042031928,90.73070729476258,88.60770509072171,88.80643166817629,91.70814560345104,90.48599032941507,83.7577355466587,81.70355517998526,85.21931770642956,83.83849565754369,83.83499454247176,85.21619701012041,82.54752292502617,91.58299121849093,91.42468451976755,91.18117042031928,90.73070729476258,88.60770509072171,88.80643166817629,83.7577355466587,81.70355517998526,85.32774231575848,83.48015081192513,83.31042142533967,83.0354468010788,82.40660756554392,81.80308767775655,82.73029485352461,82.87557412787821,82.49142539827518,83.5928916919852,85.43968484352426,88.27266269693034,88.57067217121366,86.37725749448626,83.65125777138178,84.37120201534586,91.07306963162995,91.20621663537358,85.74053659863662,85.86487696279065,89.7203632581707,89.85152641177044,85.66075601905258,85.78519958683567,84.51391977145073,84.63673027330901,84.4796657968037,84.6024197621024
6,91.06161748227579,91.05413446953803,91.10885075611618,91.08519183582132,91.08009206397394,89.99938792396007,90.06053457343118,82.06596045491287,86.38241787614065,91.04484276043011,90.95804000283559,91.02811539910742,90.98781874708372,90.78137199408344,91.07436788073737,89.45861287474918,90.05063605477295,86.37684245925215,82.06260111017968,90.8492534664759,90.79590105006329,90.80453371598931,90.23592045900743,90.37060029412318,90.94476083792269,90.83403644503366,90.95443498187748,90.67422635658482,90.9694048455676,90.66744611507846,90.95662999947356,90.77842661768382,90.88812620593896,90.78706008526261,90.5540726441392,90.12497622221836,88.10248710486901,88.29043575373919,91.05871547474061,89.86050284389881,83.45532848591942,81.4823761557638,84.89071606367014,83.59578892402135,83.59195611740043,84.88718015193199,82.0824285911408,90.9365670215267,90.78706008526261,90.5540726441392,90.12497622221836,88.10248710486901,88.29043575373919,83.45532848591942,81.4823761557638,84.82243346253314,83.00784805419491,82.84046624710757,82.57038171176734,81.94389681001978,81.3586673182934,82.25476770496829,82.39446440629075,82.05541594026631,83.0979520008737,84.9425954648663,87.6747437436496,87.97402823056612,85.84641026150284,83.16640471342156,83.86316830802083,90.4494274195119,90.57971563921528,85.31636133616684,85.43825907423604,89.15644141905565,89.28486407762374,85.24365654297051,85.3656678096908,84.18959731255349,84.31013868880699,84.15664330962205,84.27713060571129
7,91.38412803525867,91.37711662817466,91.42854796594965,91.40586739218794,91.40091116258334,90.30902849571459,90.44035614654828,82.93173895450448,87.0009100227891,91.36851098486919,91.27986067337358,91.35329908391404,91.31653681220494,91.13063798126868,91.39570730626677,89.76714729059593,90.43070680861234,86.9953225636922,82.92820906093131,91.19201154431082,91.1437892637131,91.15067678075809,90.62861463986795,90.75065377801869,91.27762095457064,91.17955156500297,91.2869990942143,91.03474232454079,91.30087126987164,91.02838501157132,91.28843558727242,91.12443682925256,91.22399544777868,91.1289858957677,90.90766716960997,90.5190345116767,88.62008033850668,88.73639429906413,91.38047047023473,90.16680870932099,84.14334249868567,82.23395565727603,85.62612395379561,84.41447977753592,84.41049482090256,85.62246201149635,82.35183473035454,91.25622417845163,91.1289858957677,90.90766716960997,90.5190345116767,88.62008033850668,88.73639429906413,84.14334249868567,82.23395565727603,85.13769997450362,83.29998957614276,83.12473799795636,82.8569996080274,82.21860241921483,81.64740565705904,82.53024829796935,82.67638799535429,82.38072975134537,83.38390043067,85.27434465327417,87.94977961578061,88.25691009567089,86.14226218205111,83.44940147986163,84.14468922381255,90.7927264296775,90.92499297165904,85.86651310586892,85.99054158077874,89.56814940285572,89.69856871034801,85.8029186638004,85.92703835501767,84.88918644246868,85.01193380657868,84.85718981838791,84.97988354725707
8,92.65365902025322,92.64692714579128,92.69536218704008,92.67374689476023,92.668755379613,91.55689142954901,91.75201615500181,84.55466203969337,88.45554229957976,92.63870664382715,92.54520836806384,92.62382767530023,92.587815445911,92.4062363712659,92.66336538058627,91.00069828090177,91.7420511740358,88.4495002945572,84.55065879604966,92.46713378435949,92.41823712471202,92.42221635980682,91.91823466816258,92.0337502019709,92.54910434300126,92.45231736131262,92.55691141755152,92.31472174541949,92.56959206969867,92.30848864946908,92.55719544843862,92.39702618217981,92.49472614172048,92.40249323400032,92.18758477862978,91.81041089072764,89.97750045455425,90.08985253866278,92.64897187067209,91.4119015909271,85.63140994940612,83.7718316161239,87.12208808825653,85.973989703376,85.96952831766322,87.11789051855197,83.39408090133924,92.5239610402214,92.40249323400032,92.18758477862978,91.81041089072764,89.97750045455425,90.08985253866278,85.63140994940612,83.7718316161239,86.25903385359585,84.35913367437234,84.16929409664579,83.90721119230679,83.25626608244274,82.67350041676504,83.58234947226391,83.7361948079776,83.42354995292932,84.46329248383081,86.40042382889808,89.1496985229125,89.46322323108446,87.27615043801006,84.51358998209453,85.24056915296364,92.0776707353995,92.21073342301625,87.27964156521723,87.40494647020462,90.89732194657658,91.02871468750155,87.22565168201167,87.35109276778853,86.38198113159163,86.50633608866865,86.35089874520254,86.47520307650318
9,94.51273979289496,94.50633893491087,94.55271232819595,94.5317152558033,94.52681846636317,93.417392241058,93.64843928458966,86.77257927476838,90.51257764451573,94.49854895029901,94.40606181419203,94.48472422530669,94.45120974694606,94.28397361352202,94.52191578856022,92.86142719392309,93.63879793570602,90.50667959774353,86.76860385366936,94.34011995924476,94.29532981549333,94.29892816837005,93.82751681235233,93.93486180452166,94.41554966694937,94.32784593198615,94.42338271228084,94.19994547184159,94.43543666634045,94.19402155601804,94.42333886469775,94.27370692323235,94.36375852434207,94.27583506039741,94.06898558885055,93.72014384085006,91.97425440605834,92.03476060276563,94.50766317669742,93.27745128582296,87.7465859148964,85.92755653670413,89.26013239412151,88.16294379675958,88.1585221538338,89.25600267806138,85.2384663662463,94.38265147643465,94.27583506039741,94.06898558885055,93.72014384085006,91.97425440605834,92.03476060276563,87.7465859148964,85.92755653670413,88.15645374019385,86.22082491472533,86.01942340670988,85.76100805167172,85.10526405100678,84.53856496443157,85.44221515869542,85.61290248940159,85.32139308029376,86.34078378322073,88.313010780489,91.03166863449341,91.33893034303973,89.14315660325745,86.38670013577138,87.11499561258056,93.95289797420386,94.08583171243117,89.28169550175234,89.40736617754129,92.8201868466436,92.951560542768,89.23768054318418,89.36347890764635,88.4964799207082,88.6213474576739,88.46598448425057,88.5908044247958
10,96.97921477187136,96.97301942142501,97.0172329233644,96.99704376200597,96.9921178863394,95.86184007503192,96.14638289841437,89.48771473271124,93.11293828235542,96.96552439206012,96.8678659294916,96.95194414430311,96.91894409359922,96.75407925413847,96.98698624105884,95.28769288462718,96.13641002190482,93.10660794626006,89.48329517894614,96.81028111678498,96.76481529392706,96.7663262016791,96.30765534454935,96.41042716730813,96.88337409747157,96.79623091056848,96.8900471832919,96.67326612919669,96.90124765373984,96.6674471710335,96.88927224678599,96.74236896187094,96.8312663480459,96.74547356406471,96.54338925778733,96.20163741276778,94.50468036460367,94.56603115720945,96.97344903206701,95.714011951689,90.37629074832793,88.59226442083171,91.8871475118281,90.83338519745658,90.82851962231791,91.88252904583773,87.43078560536522,96.84675187903872,96.74547356406471,96.54338925778733,96.20163741276778,94.50468036460367,94.56603115720945,90.37629074832793,88.59226442083171,90.45293499298776,88.43307885232991,88.21236949342905,87.9593441756578,87.29134829272896,86.71165084620398,87.6496080015042,87.83211883459528,87.50788591439995,88.58091717681056,90.60257931482401,93.4159745472391,93.73017720634716,91.44300844748064,88.61604979591894,89.38588637993475,96.43006383160444,96.56464332852683,91.83622671224059,91.9638937132353,95.33003652485387,95.46318206393795,91.8030465759989,91.93087592919028,91.11690221625557,91.24397229589036,91.08701398142844,91.2140387499986
