cycle no.,Q_max_rel_err,Q_CoW_proximal_max_rel_err,Parm_rel_err,Converge_err,if_conv
2,1.412955143831892,1.5280539848338495,0.17131651832437594,0.001,0
4,0.25560694416269214,0.29560198409772065,0.21960228539449173,0.001,0
6,0.08911267285028844,0.05421517605341272,0.23900849503248067,0.001,0
8,0.08638357479528463,0.0824156666458749,0.2247148421109206,0.001,0
10,0.12184826618755062,0.11849693712314896,0.1875794047668338,0.001,0
12,0.14429349311411815,0.12109175223902435,0.1387797874951198,0.001,0
14,0.14410592537007644,0.10196107994593052,0.0875753378648945,0.001,0
16,0.12131532061750229,0.07269134391033628,0.04107527464579786,0.001,0
18,0.08829124069405002,0.043787301572581136,0.0042312644724726975,0.001,0
20,0.05260368689191215,0.01765181229284989,0.020272084227518063,0.001,0
22,0.02094263063031271,0.010298608350439682,0.03212511230500624,0.001,0
24,0.010655189304022051,0.02364909572721895,0.03321313306724005,0.001,0
26,0.01716927287191117,0.02755988680965586,0.026955261223640347,0.001,0
28,0.022728089404668996,0.023936310244911274,0.017254098009277036,0.001,0
30,0.021471441741477054,0.016209870862130014,0.0074545032605934525,0.001,0
32,0.01610861756792589,0.008256786277064988,0.00028274865972583737,0.001,0
34,0.009287499275129672,0.002339322813977446,0.005070357954009074,0.001,0
36,0.0030087025520601643,0.003570644361982246,0.007007767923032638,0.001,0
38,0.002111340794474243,0.005591480420365234,0.006763860806888863,0.001,0
40,0.0041550034912056525,0.005713960814229619,0.0052057885340004795,0.001,0
42,0.00491154532403666,0.004631228251858369,0.0031421948265556174,0.001,0
44,0.004367907418875014,0.0030072073632293993,0.0011821567126843388,0.001,0
46,0.003127381946363219,0.0015053809921228287,0.0003112689783634922,0.001,0
48,0.0016953518194905393,0.0003495345935456556,0.0012029783380079994,0.001,0
50,0.00045027987084943704,0.0008045110089289702,0.0015301570387168124,0.001,0
52,0.00045421074829345105,0.001176367195394927,0.0014324146780257039,0.001,0
54,0.0009281298677872295,0.001168690031503219,0.0010860723081169681,0.001,0
56,0.0010413620999619843,0.0009221487313570044,0.0006543279999565935,0.001,0
58,0.0009026549575344402,0.000576141504570372,0.00025804712222573373,0.001,1
60,0.18787896819196462,0.0,0.0,0.001,0
62,0.04751913375523471,0.0,0.0,0.001,0
64,0.020632763824045986,0.0,0.0,0.001,0
66,0.009459658526187612,0.0,0.0,0.001,0
68,0.004473501611341398,0.0,0.0,0.001,0
70,0.002167596204968857,0.0,0.0,0.001,0
72,0.0010763315768916209,0.0,0.0,0.001,0
74,0.0005484823686252352,0.0,0.0,0.001,1
