cycle no.,Relative error,Adjusting coefficient,Total adjusted PR,8 R. radius [mmHg*s/ml],14 Intercoastals [mmHg*s/ml],19 L. radius [mmHg*s/ml],22 Hepatic [mmHg*s/ml],23 Splenic [mmHg*s/ml],24 Gastric [mmHg*s/ml],26 Sup. mesenteric [mmHg*s/ml],28 R. renal [mmHg*s/ml],30 L. renal [mmHg*s/ml],32 Inf. mesenteric [mmHg*s/ml],36 R. int. iliac [mmHg*s/ml],37 R. deep femoral [mmHg*s/ml],41 R. post. tibial [mmHg*s/ml],42 R. ant. tibial [mmHg*s/ml],43 R. interosseous [mmHg*s/ml],44 R. ulnar II [mmHg*s/ml],45 L. ulnar II [mmHg*s/ml],46 L. interosseous [mmHg*s/ml],51 L. int. iliac [mmHg*s/ml],52 L. deep femoral [mmHg*s/ml],54 L. post. tibial [mmHg*s/ml],55 L. ant. tibial [mmHg*s/ml],74 L. sup. thy. asc. ph. lyng. fac. occ. [mmHg*s/ml],75 R. sup. thy. asc. ph. lyng. fac. occ. [mmHg*s/ml],78 L. maxillary [mmHg*s/ml],79 R. maxillary [mmHg*s/ml],80 L. superf. temp. fron. bran. [mmHg*s/ml],81 R. superf. temp. fron. bran. [mmHg*s/ml],82 L. superf. temp. pari. bran. [mmHg*s/ml],83 R. superf. temp. pari. bran. [mmHg*s/ml]
0,0,0,0,32.548839851293,8.0493008274949,32.548839851293,20.286755339030698,13.6461900526146,31.555873214587905,5.3425563238188,6.6621342363796,6.6621342363796,38.464659440891,31.6748797043649,19.3813096061124,19.1427856673823,42.5163289145755,463.429477980943,31.321005942366,31.321005942366,463.429477980943,31.6748797043649,19.3813096061124,19.1427856673823,42.5163289145755,171.456000039671,171.456000039671,142.880000023371,142.880000023371,142.880000023371,142.880000023371,142.880000023371,142.880000023371
2,0.07579557546448738,0.9317839820819613,0.9317839820819613,30.328487608785828,7.500209578018826,30.328487608785828,18.902873673324514,12.715301307472481,29.40325720196222,4.978108405905046,6.207669967938351,6.207669967938351,35.84075354325992,29.514145542900227,18.05919384274678,17.836941057294972,39.6160342595296,431.8161644072477,29.184411639790568,29.184411639790568,431.8161644072477,29.514145542900227,18.05919384274678,17.836941057294972,39.6160342595296,159.75995446880958,159.75995446880958,133.13329538164737,133.13329538164737,133.13329538164737,133.13329538164737,133.13329538164737,133.13329538164737
4,0.05201503809726315,1.0468135342875369,0.9754040834757329,31.74827130334886,7.851320896263122,31.74827130334886,19.78778399816367,13.310549501206207,30.77972759115154,5.211151254451957,6.498272938828146,6.498272938828146,37.51858588814848,30.89580700724014,18.90460853290948,18.671951309065427,41.47060083767432,452.03100522563903,30.550637094751494,30.550637094751494,452.03100522563903,30.89580700724014,18.90460853290948,18.671951309065427,41.47060083767432,167.23888257511052,167.23888257511052,139.3657354698089,139.3657354698089,139.3657354698089,139.3657354698089,139.3657354698089,139.3657354698089
6,0.1420207457659113,1.12781867118932,1.1000789372982378,35.80629315390094,8.854866300304415,35.80629315390094,22.317032254590245,15.011886251250052,34.71395147142179,5.877233683162565,7.328873550894679,7.328873550894679,42.314161681274,34.84486800422726,21.320970474940253,21.058575313901855,46.77131793016856,509.8090076499529,34.45557893218978,34.45557893218978,509.8090076499529,34.84486800422726,21.320970474940253,21.058575313901855,46.77131793016856,188.6151343170479,188.6151343170479,157.17927858688216,157.17927858688216,157.17927858688216,157.17927858688216,157.17927858688216,157.17927858688216
8,0.1692002127375776,1.1522801914638199,1.267599168495329,41.25888233098664,10.203287035901297,41.25888233098664,25.715474199223486,17.297899163823494,40.00019864795565,6.772219953712171,8.444915818439044,8.444915818439044,48.75777032372944,40.15105117544252,24.567731941058604,24.2653791946581,53.893663179589815,587.4428209448677,39.7024810889804,39.7024810889804,587.4428209448677,40.15105117544252,24.567731941058604,24.2653791946581,53.893663179589815,217.33748308382206,217.33748308382206,181.11456922423764,181.11456922423764,181.11456922423764,181.11456922423764,181.11456922423764,181.11456922423764
10,0.155249242599345,1.1397243183394106,1.4447135982409425,47.023751540129695,11.62893436181395,47.023751540129695,29.308551302484688,19.71483633319259,45.58919913748226,7.7184637703891585,9.624875924604146,9.624875924604146,55.570416545962075,45.76112943154201,28.00044153966838,27.655842761879015,61.42391853017179,669.5228686647697,45.24988319552152,45.24988319552152,669.5228686647697,45.76112943154201,28.00044153966838,27.655842761879015,61.42391853017179,247.70481475731228,247.70481475731228,206.42067895043022,206.42067895043022,206.42067895043022,206.42067895043022,206.42067895043022,206.42067895043022
12,0.12033730677144219,1.108303576094298,1.6011812473624976,52.11659199329549,12.888389539364264,52.11659199329549,32.482772218686975,21.850023610191144,50.526672435346676,8.554400998676583,10.667284406702686,10.667284406702686,61.588891382939515,50.71722339509204,31.032989490633796,30.65106943289212,68.07634856471421,742.0345896180772,50.15060736344578,50.15060736344578,742.0345896180772,50.71722339509204,31.032989490633796,30.65106943289212,68.07634856471421,274.53213201130484,274.53213201130484,228.7767766605748,228.7767766605748,228.7767766605748,228.7767766605748,228.7767766605748,228.7767766605748
14,0.07861262340340737,1.0707513610630666,1.714466999922053,55.80391181078967,13.800260641185275,55.80391181078967,34.78097256426065,23.395942519872307,54.101503280135184,9.159636512412208,11.42200929732373,11.42200929732373,65.94638927464787,54.305535979634406,33.22861573495198,32.81967431330779,72.89284288187149,794.5345467894304,53.69883109254902,53.69883109254902,794.5345467894304,54.305535979634406,33.22861573495198,32.81967431330779,72.89284288187149,293.95565400665015,293.95565400665015,244.96304498893167,244.96304498893167,244.96304498893167,244.96304498893167,244.96304498893167,244.96304498893167
16,0.03954096234233249,1.0355868661080991,1.7754795074950336,57.78979814870842,14.291368668880008,57.78979814870842,36.01871837801447,24.228530793799788,56.02680623361225,9.485599270578279,11.828482812873053,11.828482812873053,68.29321460007735,56.23809981747022,34.4111180340692,33.987623668806904,75.48687072174735,822.8095413242851,55.609804204801,55.609804204801,822.8095413242851,56.23809981747022,34.4111180340692,33.987623668806904,75.48687072174735,304.41661450750354,304.41661450750354,253.68051207238508,253.68051207238508,253.68051207238508,253.68051207238508,253.68051207238508,253.68051207238508
18,0.009006207043892725,1.0081055863395034,1.7898708099370535,58.25821834714525,14.407208591535289,58.25821834714525,36.31067120966573,24.42491724202825,56.48093634886542,9.562485614447882,11.924359601578129,11.924359601578129,68.84677114742051,56.69394259111034,34.69004032233319,34.26311328692897,76.09873606988141,829.4788951024562,56.0605542741059,56.0605542741059,829.4788951024562,56.69394259111034,34.69004032233319,34.26311328692897,76.09873606988141,306.8840896595735,306.8840896595735,255.73674136563724,255.73674136563724,255.73674136563724,255.73674136563724,255.73674136563724,255.73674136563724
20,0.010329753056219911,0.9907032222494021,1.773230778814786,57.71660463902604,14.27326797525328,57.71660463902604,35.97309896945443,24.197844214852367,55.95584563648435,9.47358531094707,11.813501480544048,11.813501480544048,68.20671801721667,56.16687160703563,34.367534727297176,33.94457673765683,75.39126303353831,821.7674141658772,55.539371760444205,55.539371760444205,821.7674141658772,56.16687160703563,34.367534727297176,33.94457673765683,75.39126303353831,304.0310564828139,304.0310564828139,253.35921371849878,253.35921371849878,253.35921371849878,253.35921371849878,253.35921371849878,253.35921371849878
22,0.018765090407675915,0.9831114186330917,1.7432834265244663,56.74185306535817,14.032212727681527,56.74185306535817,35.36556436048895,23.78917695392606,55.01083078449842,9.313589894586794,11.613988199561788,11.613988199561788,67.05480331021315,55.218292825775514,33.78711582067517,33.371300991457645,74.11801155344241,807.8889283270629,54.60139056140097,54.60139056140097,807.8889283270629,55.218292825775514,33.78711582067517,33.371300991457645,74.11801155344241,298.89640324733676,298.89640324733676,249.080336022558,249.080336022558,249.080336022558,249.080336022558,249.080336022558,249.080336022558
24,0.018840155602763458,0.9830438599575129,1.7137240686105706,55.779730258511734,13.794280563564989,55.779730258511734,34.765900898510914,23.385804337999783,54.0780594338629,9.155667360035888,11.417059789198225,11.417059789198225,65.91781267476374,54.2820037197146,33.21421675318807,32.8054525384465,72.86125616987157,794.1902505195744,53.67556173652732,53.67556173652732,794.1902505195744,54.2820037197146,33.21421675318807,32.8054525384465,72.86125616987157,293.8282739756792,293.8282739756792,244.85689496312975,244.85689496312975,244.85689496312975,244.85689496312975,244.85689496312975,244.85689496312975
26,0.014120713734073373,0.987291357639334,1.6919449623177334,55.07084561568189,13.618973985259954,55.07084561568189,34.32407349764538,23.08860251435163,53.39080071695909,9.03931125798397,11.271964459526963,11.271964459526963,65.0800867682828,53.592153147820405,32.79210915118216,32.388539774655584,71.9352885232598,784.0971706593934,52.993418218909945,52.993418218909945,784.0971706593934,53.592153147820405,32.79210915118216,32.388539774655584,71.9352885232598,290.0941155262705,290.0941155262705,241.74509625550016,241.74509625550016,241.74509625550016,241.74509625550016,241.74509625550016,241.74509625550016
28,0.007928860246062512,0.9928640257785437,1.6798712866825112,54.67786148101459,13.521789337978456,54.67786148101459,34.07913779399081,22.923842841999768,53.009805339379966,8.974806965867277,11.191528011718606,11.191528011718606,64.61567694677419,53.209720924485225,32.55810550561214,32.15741598975303,71.4219601587448,778.5018734624513,52.615258552592955,52.615258552592955,778.5018734624513,53.209720924485225,32.55810550561214,32.15741598975303,71.4219601587448,288.0240113960789,288.0240113960789,240.02000948045745,240.02000948045745,240.02000948045745,240.02000948045745,240.02000948045745,240.02000948045745
30,0.002535532531053249,0.9977180207220521,1.676037855216682,54.553087734152406,13.490932894908411,54.553087734152406,34.00136990773459,22.87153110766339,52.88883806206745,8.954326642347585,11.16598917670729,11.16598917670729,64.46822531095107,53.08829744395016,32.48380858351909,32.08403343283206,71.25897672567213,776.7253483193663,52.49519162287206,52.49519162287206,776.7253483193663,53.08829744395016,32.48380858351909,32.08403343283206,71.25897672567213,287.36674657052157,287.36674657052157,239.47228879253018,239.47228879253018,239.47228879253018,239.47228879253018,239.47228879253018,239.47228879253018
32,0.0010153317616098413,1.0009137985854488,1.6775694162379375,54.60293826855574,13.503260890304164,54.60293826855574,34.0324403114596,22.892431080436623,52.9371678074746,8.962509093367009,11.176192641822103,11.176192641822103,64.52713628404662,53.136809455058334,32.5134922418527,32.113351777198474,71.32409307780458,777.4351188439427,52.54316165471991,52.54316165471991,777.4351188439427,53.136809455058334,32.5134922418527,32.113351777198474,71.32409307780458,287.62934189704276,287.62934189704276,239.69111823128299,239.69111823128299,239.69111823128299,239.69111823128299,239.69111823128299,239.69111823128299
34,0.0026382228288349386,1.0023744005459514,1.6815526379757242,54.73258751499115,13.535323040334227,54.73258751499115,34.113246956315194,22.946786881292166,53.06286184761779,8.983789679851395,11.202729399732505,11.202729399732505,64.68034955166814,53.26297752443854,32.59069229558255,32.189601737190586,71.493445043348,779.2810612145677,52.66792016643889,52.66792016643889,779.2810612145677,53.26297752443854,32.59069229558255,32.189601737190586,71.493445043348,288.31228916347476,288.31228916347476,240.26024095327105,240.26024095327105,240.26024095327105,240.26024095327105,240.26024095327105,240.26024095327105
36,0.002786075080775903,1.0025074675726984,1.6857690766872337,54.869827703354865,13.569262423943862,54.869827703354865,34.198784816857604,23.004325205294624,53.19591525301526,9.006316241153563,11.230819880428047,11.230819880428047,64.84253343075974,53.39653271340643,32.67241239968551,32.27031611972467,71.67271253845469,781.2350832055811,52.7999832683777,52.7999832683777,781.2350832055811,53.39653271340643,32.67241239968551,32.27031611972467,71.67271253845469,289.0352228793626,289.0352228793626,240.86268571647005,240.86268571647005,240.86268571647005,240.86268571647005,240.86268571647005,240.86268571647005
38,0.002083035129454804,1.0018747316165093,1.688929441273433,54.972693904142766,13.594701149222741,54.972693904142766,34.262898359999966,23.047452141073453,53.29564331720923,9.023200666959136,11.251874653537207,11.251874653537207,64.96409577827694,53.49663688149623,32.733664404198834,32.33081430162906,71.80707963869152,782.6996893159928,52.89896906636209,52.89896906636209,782.6996893159928,53.49663688149623,32.733664404198834,32.33081430162906,71.80707963869152,289.57708634997937,289.57708634997937,241.31423860862006,241.31423860862006,241.31423860862006,241.31423860862006,241.31423860862006,241.31423860862006
40,0.001087051697738969,1.0009783465279651,1.690581799528281,55.02647624835677,13.608001477890806,55.02647624835677,34.29641934764849,23.070000535854113,53.34778492480429,9.032028484002787,11.262882886037593,11.262882886037593,65.02765317582401,53.54897513044705,32.76568927111625,32.362445041547346,71.87733184573933,783.4654408394745,52.950722589081096,52.950722589081096,783.4654408394745,53.54897513044705,32.76568927111625,32.362445041547346,71.87733184573933,289.8603930869881,289.8603930869881,241.55032755611134,241.55032755611134,241.55032755611134,241.55032755611134,241.55032755611134,241.55032755611134
42,0.00017990468321135144,1.0001619142148903,1.6908555287530596,55.0353858170567,13.610204806766323,55.0353858170567,34.30197242546071,23.073735896878393,53.35642268951652,9.03349089780364,11.264706506877486,11.264706506877486,65.03818207723413,53.55764547071347,32.77099450196992,32.36768498142818,71.88896980749354,783.5922950312216,52.95929606375697,52.95929606375697,783.5922950312216,53.55764547071347,32.77099450196992,32.36768498142818,71.88896980749354,289.9073256049626,289.9073256049626,241.58943798775405,241.58943798775405,241.58943798775405,241.58943798775405,241.58943798775405,241.58943798775405
44,0.00044901530364177924,0.9995958862267224,1.6901722307452678,55.01314525963038,13.604704735546779,55.01314525963038,34.288110525952995,23.064411482401496,53.33486062421486,9.02984033971106,11.260154283826127,11.260154283826127,65.01189925206778,53.53600208851444,32.75775129172767,32.35460475411807,71.8599184846476,783.2756345921653,52.937894482794526,52.937894482794526,783.2756345921653,53.53600208851444,32.75775129172767,32.35460475411807,71.8599184846476,289.79017006171154,289.79017006171154,241.4918083683848,241.4918083683848,241.4918083683848,241.4918083683848,241.4918083683848,241.4918083683848
