cyclo no.,Relative error,58 R. PCA II Rtotal[mmHg*s/ml],58 R1[mmHg*s/ml],58 R2[mmHg*s/ml],70 L. PCA II Rtotal[mmHg*s/ml],70 R1[mmHg*s/ml],70 R2[mmHg*s/ml],61 R. MCA Rtotal[mmHg*s/ml],61 R1[mmHg*s/ml],61 R2[mmHg*s/ml],67 L. MCA Rtotal[mmHg*s/ml],67 R1[mmHg*s/ml],67 R2[mmHg*s/ml],63 R. ACA II Rtotal[mmHg*s/ml],63 R1[mmHg*s/ml],63 R2[mmHg*s/ml],65 L. ACA II Rtotal[mmHg*s/ml],65 R1[mmHg*s/ml],65 R2[mmHg*s/ml]
0,0,29.738800001186,5.9477600002372,23.7910400009488,14.5996000036821,2.91992000073642,11.67968000294568,29.4500000165314,5.89000000330628,23.56000001322512,29.4500000165314,5.89000000330628,23.56000001322512,14.5996000036821,2.91992000073642,11.67968000294568,29.738800001186,5.9477600002372,23.7910400009488
2,1.2121194189748405,60.69921383660172,12.139842767320344,48.559371069281376,24.93224761546783,4.986449523093566,19.945798092374265,51.84769837543308,10.369539675086617,41.47815870034647,50.31493166885107,10.062986333770214,40.251945335080855,27.79516347599534,5.559032695199068,22.236130780796273,62.181079281787916,12.436215856357583,49.74486342543033
4,0.12861262103528937,65.89650063396716,13.179300126793432,52.71720050717373,27.07700203952782,5.4154004079055635,21.661601631622254,57.03845127652894,11.407690255305788,45.63076102122315,56.13895338407925,11.22779067681585,44.9111627072634,29.780638440058485,5.956127688011697,23.824510752046788,65.4415078249314,13.088301564986281,52.353206259945125
6,0.08790765625152822,61.437800364709005,12.287560072941801,49.150240291767204,25.406329641406217,5.081265928281243,20.325063713124973,53.46717342000695,10.69343468400139,42.77373873600556,51.697413949311866,10.339482789862373,41.35793115944949,27.846346220546877,5.569269244109376,22.277076976437503,60.89963215293813,12.179926430587626,48.719705722350504
8,0.012310181214984665,61.799187157750886,12.359837431550178,49.43934972620071,25.270787686219734,5.054157537243947,20.21663014897579,53.177612510224364,10.635522502044873,42.54209000817949,51.12464986865597,10.224929973731195,40.89971989492478,27.896604855327638,5.579320971065528,22.31728388426211,61.43861413975404,12.287722827950807,49.15089131180323
10,0.07109400852432553,65.69823721977014,13.139647443954026,52.5585897758161,26.61971566745136,5.323943133490272,21.295772533961088,56.0804508624215,11.2160901724843,44.8643606899372,54.28830492744183,10.857660985488366,43.43064394195346,29.527093211310273,5.905418642262054,23.621674569048217,65.36973976139102,13.073947952278203,52.295791809112814
12,0.10883718233556383,71.30191614200055,14.260383228400109,57.041532913600435,28.797999108387433,5.759599821677487,23.038399286709947,60.73150605975326,12.146301211950652,48.58520484780261,59.60603245531083,11.921206491062167,47.68482596424867,31.96908239438528,6.3938164788770555,25.575265915508222,70.91960454231922,14.183920908463843,56.73568363385537
14,0.11251394745002571,77.2204991272656,15.44409982545312,61.77639930181248,31.220834882557917,6.2441669765115835,24.976667906046334,65.8879397680889,13.177587953617781,52.710351814471124,65.64189145835405,13.128378291670812,52.513513166683246,34.59783032849505,6.91956606569901,27.67826426279604,76.73457925054204,15.346915850108408,61.38766340043363
16,0.09226531340682215,82.30338933733515,16.46067786746703,65.84271146986812,33.38397140215797,6.676794280431594,26.707177121726374,70.47998229578057,14.095996459156114,56.383985836624454,71.09271417757354,14.218542835514707,56.87417134205883,36.88901430758236,7.3778028615164715,29.511211446065886,81.69706565135948,16.339413130271897,65.35765252108759
18,0.06125343912400327,85.77324725428419,17.154649450856837,68.61859780342735,34.933387378369844,6.986677475673968,27.946709902695872,73.75440464995424,14.750880929990847,59.00352371996339,75.01192009360608,15.002384018721216,60.00953607488486,38.48447275881505,7.696894551763011,30.787578207052043,85.06215828896616,17.012431657793233,68.04972663117293
20,0.02999217959480809,87.39757635002087,17.479515270004175,69.9180610800167,35.738814034910305,7.147762806982061,28.591051227928244,75.43634479877339,15.087268959754677,60.34907583901871,77.03671397488503,15.407342794977005,61.62937117990802,39.26764500015614,7.853529000031228,31.414116000124913,86.61879478153199,17.3237589563064,69.2950358252256
22,0.005294776173731202,87.48083577468071,17.496167154936142,69.98466861974457,35.89451209969871,7.1789024199397415,28.715609679758966,75.7329764555383,15.14659529110766,60.58638116443064,77.40381691677611,15.480763383355221,61.923053533420884,39.36049215932869,7.872098431865738,31.488393727462952,86.67576130724439,17.335152261448876,69.3406090457955
24,0.01066720472436395,86.64360462872895,17.32872092574579,69.31488370298317,35.63472573984528,7.126945147969057,28.507780591876227,75.15112118673818,15.030224237347637,60.12089694939055,76.72322018859543,15.344644037719087,61.37857615087635,39.02850124006398,7.805700248012796,31.222800992051184,85.84363202579036,17.168726405158072,68.67490562063229
26,0.015543927169940802,85.518881269231,17.1037762538462,68.4151050153848,35.21388025607857,7.042776051215713,28.171104204862853,74.23757667966225,14.847515335932451,59.390061343729805,75.64989805642607,15.129979611285213,60.51991844514085,38.549213196814755,7.709842639362951,30.839370557451804,84.73989900617389,16.947979801234776,67.7919192049391
28,0.014609731187293034,84.54205794114313,16.908411588228624,67.6336463529145,34.818592561816374,6.9637185123632745,27.854874049453098,73.38992816462499,14.677985632925,58.7119425317,74.6551958489706,14.931039169794122,59.72415667917649,38.118986121160304,7.62379722423206,30.49518889692824,83.78661992181618,16.757323984363236,67.02929593745294
30,0.010258736507281721,83.90424156711401,16.7808483134228,67.1233932536912,34.54161670907463,6.908323341814927,27.633293367259707,72.80228595935358,14.560457191870718,58.24182876748287,73.96591466416793,14.793182932833584,59.17273173133434,37.829193672027486,7.565838734405497,30.263354937621987,83.16729892499346,16.633459784998692,66.53383913999477
32,0.0052100682545333545,83.61444363358163,16.722888726716327,66.89155490686531,34.40024809568658,6.880049619137316,27.520198476549265,72.50716736268929,14.501433472537858,58.00573389015143,73.61908394664954,14.72381678932991,58.89526715731964,37.690257191726495,7.538051438345299,30.152205753381196,82.88850393592998,16.577700787185996,66.31080314874399
34,0.0010985164696076391,83.58710053223274,16.717420106446546,66.86968042578619,34.368558714520574,6.873711742904115,27.49484697161646,72.4460234027004,14.48920468054008,57.95681872216032,73.546299348076,14.7092598696152,58.8370394784608,37.66858159941262,7.533716319882523,30.134865279530093,82.86535809483908,16.573071618967816,66.29228647587126
36,0.001641553176407106,83.7100765829892,16.74201531659784,66.96806126639136,34.40488972802869,6.880977945605738,27.523911782422953,72.52830593605952,14.505661187211906,58.022644748847625,73.64201783779548,14.728403567559097,58.91361427023639,37.71649881998871,7.543299763997742,30.173199055990967,82.9877831974543,16.59755663949086,66.39022655796344
38,0.002483517035465253,83.8847556945988,16.77695113891976,67.10780455567904,34.469488419109304,6.89389768382186,27.57559073528744,72.66877467991507,14.533754935983014,58.135019743932055,73.80661992303908,14.761323984607815,59.04529593843126,37.79062047092409,7.558124094184818,30.23249637673927,83.15943542200168,16.631887084400336,66.52754833760135
40,0.002424497711463909,84.0437162636565,16.8087432527313,67.2349730109252,34.53330787114509,6.906661574229019,27.626646296916075,72.80576042785225,14.561152085570448,58.24460834228179,73.96766950602395,14.793533901204789,59.174135604819156,37.86041379435829,7.572082758871658,30.28833103548663,83.31476259531505,16.66295251906301,66.65181007625203
42,0.0017714483372890811,84.15325236012438,16.830650472024878,67.32260188809951,34.5803381220028,6.9160676244005606,27.664270497602242,72.90572370928724,14.581144741857448,58.324578967429794,74.08559642066758,14.817119284133517,59.26847713653407,37.90992476421397,7.581984952842794,30.327939811371177,83.42125414050724,16.684250828101447,66.73700331240579
44,0.0009515195767475142,84.20688974628911,16.841377949257822,67.36551179703129,34.605843850007986,6.9211687700015965,27.684675080006386,72.95919613956931,14.591839227913862,58.36735691165545,74.14904092648193,14.829808185296386,59.319232741185544,37.93531853435331,7.587063706870661,30.348254827482645,83.47296638286387,16.694593276572775,66.7783731062911
46,0.0002454688684565735,84.20688974628911,16.841377949257822,67.36551179703129,34.605843850007986,6.9211687700015965,27.684675080006386,72.95919613956931,14.591839227913862,58.36735691165545,74.14904092648193,14.829808185296386,59.319232741185544,37.93531853435331,7.587063706870661,30.348254827482645,83.47296638286387,16.694593276572775,66.7783731062911
48,0.0,84.20688974628911,16.841377949257822,67.36551179703129,34.605843850007986,6.9211687700015965,27.684675080006386,72.95919613956931,14.591839227913862,58.36735691165545,74.14904092648193,14.829808185296386,59.319232741185544,37.93531853435331,7.587063706870661,30.348254827482645,83.47296638286387,16.694593276572775,66.7783731062911
50,0.0,84.20688974628911,16.841377949257822,67.36551179703129,34.605843850007986,6.9211687700015965,27.684675080006386,72.95919613956931,14.591839227913862,58.36735691165545,74.14904092648193,14.829808185296386,59.319232741185544,37.93531853435331,7.587063706870661,30.348254827482645,83.47296638286387,16.694593276572775,66.7783731062911
52,0.0,84.20688974628911,16.841377949257822,67.36551179703129,34.605843850007986,6.9211687700015965,27.684675080006386,72.95919613956931,14.591839227913862,58.36735691165545,74.14904092648193,14.829808185296386,59.319232741185544,37.93531853435331,7.587063706870661,30.348254827482645,83.47296638286387,16.694593276572775,66.7783731062911
54,0.0,84.20688974628911,16.841377949257822,67.36551179703129,34.605843850007986,6.9211687700015965,27.684675080006386,72.95919613956931,14.591839227913862,58.36735691165545,74.14904092648193,14.829808185296386,59.319232741185544,37.93531853435331,7.587063706870661,30.348254827482645,83.47296638286387,16.694593276572775,66.7783731062911
56,0.0,84.20688974628911,16.841377949257822,67.36551179703129,34.605843850007986,6.9211687700015965,27.684675080006386,72.95919613956931,14.591839227913862,58.36735691165545,74.14904092648193,14.829808185296386,59.319232741185544,37.93531853435331,7.587063706870661,30.348254827482645,83.47296638286387,16.694593276572775,66.7783731062911
