cycle no,q[0],v[0],q[1],v[1],q[2],v[2],q[3],v[3],q[4],v[4],q[5],v[5],q[6],v[6],q[7],v[7],q[8],v[8],q[9],v[9],q[10],v[10],q[11],v[11],q[12],v[12],q[13],v[13],q[14],v[14],q[15],v[15],q[16],v[16],q[17],v[17],q[18],v[18],q[19],v[19],Qtree0d[58],Vtree0d[58],Qtree0d[61],Vtree0d[61],Qtree0d[63],Vtree0d[63],Qtree0d[65],Vtree0d[65],Qtree0d[67],Vtree0d[67],Qtree0d[70],Vtree0d[70],Qtree0d[74],Vtree0d[74],Qtree0d[75],Vtree0d[75],Qtree0d[78],Vtree0d[78],Qtree0d[79],Vtree0d[79],Qtree0d[80],Vtree0d[80],Qtree0d[81],Vtree0d[81],Qtree0d[82],Vtree0d[82],Qtree0d[83],Vtree0d[83],Qtree0d[14],Vtree0d[14],Qtree0d[26],Vtree0d[26],Qtree0d[28],Vtree0d[28],Qtree0d[30],Vtree0d[30],Qtree0d[32],Vtree0d[32],Qtree0d[8],Vtree0d[8],Qtree0d[19],Vtree0d[19],Qtree0d[22],Vtree0d[22],Qtree0d[43],Vtree0d[43],Qtree0d[44],Vtree0d[44],Qtree0d[45],Vtree0d[45],Qtree0d[46],Vtree0d[46],Qtree0d[23],Vtree0d[23],Qtree0d[24],Vtree0d[24],Qtree0d[36],Vtree0d[36],Qtree0d[51],Vtree0d[51],Qtree0d[37],Vtree0d[37],Qtree0d[52],Vtree0d[52],Qtree0d[41],Vtree0d[41],Qtree0d[42],Vtree0d[42],Qtree0d[54],Vtree0d[54],Qtree0d[55],Vtree0d[55]
1,28.31969673346759,43.30108434298464,79.50122280316448,68.92176201836355,81.2763315660164,73.29364131222279,86.75144044754711,144.12058091754648,111.04021030275221,186.42882118804607,104.96832767033234,104.86472767227006,76.82207280452164,98.547715601166,13.39504746425197,4.618351595480806,2.779588748906034,7.180385971046625,8.559537339107424,4.613241243076438,29.216017208742805,14.117984867452838,31.1446788935696,4.040399791437842,-19.526810016738427,1.2307696495008864,-9.823427894056534,10.08007101454874,8.170639614839391,11.347706644814918,67.54286579968861,30.90096499551775,78.55570374230852,11.66450627083406,0.0,5.3540317898482,0.11217646088897214,2.6068584496484117,0.20893394184594763,2.6021515620814673,2.1208179736485677,2.9514194078143356,4.277331522131948,5.97348930259292,2.0956789404651506,2.937386924108783,2.0799505877033995,2.922640179670985,4.3387975232694105,6.03102990038388,2.16567410819506,2.9933825393758857,0.33792503472113056,0.4837489576381663,0.3422623223036392,0.4878052883411249,0.40451704083019274,0.5795828492610361,0.40966159983245737,0.5843943973953025,0.4423744691863976,0.6149918265771871,0.4499795274248472,0.6221042021315455,0.4419008821219434,0.6145489022082441,0.4494771775826329,0.6216343838738702,9.388159347930925,12.450388984502084,14.081714574118395,18.884020714633824,11.504498153220323,14.851175971060202,11.503099862817232,14.849952686350134,1.9202384463449835,2.708611069966539,2.5054687015108246,2.4681151320698542,2.5051233987465604,2.4679048423042604,3.64944578148776,5.103289343735294,0.15042136919642396,0.21068690019122147,2.443279478677285,2.7580495382659667,2.442844006092176,2.757725835900118,0.15040562420405318,0.2106709910259785,5.512430548706411,7.286478392992822,2.355406347519046,3.2068569145980668,2.379693766444483,3.014521428991186,2.379693766444483,3.014521428991186,3.8336623463100477,4.660309665468312,3.8336623463100477,4.660309665468312,3.5394360447730056,4.631801465243924,1.5193254496385278,2.0263152299370137,3.5394360447730056,4.631801465243924,1.5193254496385278,2.0263152299370137
2,42.71100070063244,48.895230804911584,40.73717904127693,54.31802441179883,43.44256632398352,68.42566565156504,51.515189528032714,132.2553897833199,76.8321952695026,162.89309137717117,85.14768179478487,95.99331042704968,101.0702249214814,99.3106713125545,18.24362378121575,4.617588185223979,19.191232504320908,7.228295227100203,21.206702962272036,5.5411932725940165,25.996448364837143,22.45614750101709,26.12345681810389,4.1116580270429015,30.496883389418787,1.0664217750973863,31.802186094232784,10.868520513459154,36.54530612811391,16.44663805027581,76.53578723856755,79.83605555114875,77.7031632958579,14.295049905884365,0.0,5.440041559051869,0.12825172789077835,2.50071202467264,0.2511288799378589,2.4948973141616815,1.877282380038818,2.5927849282649045,3.7393127872592378,5.202181913874399,1.8211267764302268,2.548494843283202,1.7501162119814282,2.4820929043590043,3.856882663243595,5.312118898363009,1.9519583110745724,2.662602321603495,0.26714799091886093,0.39506571351618824,0.2755475542253612,0.40291843466339367,0.3187846688587408,0.47240127024655604,0.32878770255365297,0.4817531945062231,0.3930442458478667,0.5418267864358249,0.40685005722658957,0.5547336266623197,0.39220073372863257,0.5410382098798545,0.40596750512351126,0.5539085564566003,9.030267683917135,12.171546197809208,13.633518620116185,18.534470436976385,10.89624983538447,14.37523781154745,10.894738796303626,14.373915128983196,1.8913987821039744,2.6910020704465873,1.8570423302243606,1.9451910871682336,1.8568673414697914,1.9450844485185887,3.590565812446835,5.065426593695998,0.15141499815134063,0.2038291986899263,2.1391825427420983,2.4045370928964314,2.1388927558561788,2.4043214823163463,0.15140083568771534,0.2038148877331785,5.240932265263649,7.072689109345421,2.2664789645276824,3.1375319599216684,2.2527746748744257,2.9191960559577876,2.2527746748744257,2.9191960559577876,3.4391719512490004,4.368907363429428,3.4391719512490004,4.368907363429428,3.1536656839470467,4.325127151460328,1.3032107673975248,1.852020510715651,3.1536656839470467,4.325127151460328,1.3032107673975248,1.852020510715651
3,52.43418790691728,54.66548888262361,44.571902566545134,56.607720556653256,46.126263076302536,67.00865177117812,50.91758832569681,126.87086538870349,70.51088568863035,141.00951215735182,77.06534207924476,86.58003219724144,88.48904676481867,90.82996741644257,15.922729566407702,4.564640659596346,16.621187027625485,7.866716308514008,18.220660046444777,7.145646299706317,21.15938559841491,26.588925368920755,20.833893761956453,3.8917876982047397,40.2259979383212,0.8806030266399831,41.219627747363056,11.846022555130924,45.34443008505118,21.437531608986706,77.10998587832253,116.13456022975869,78.038095513267,15.582169969892021,0.0,5.54466380597851,0.1021418018458303,2.3918737868668822,0.19986940230711808,2.386532984046129,0.9985967445185299,2.596562810503037,2.3806379699705076,5.208359112977377,1.1283319408909138,2.5551332461100307,1.1315165940278025,2.5053925290276804,2.1879550085629993,5.301464866978309,0.9999131365187309,2.6456007418219696,0.2758006752423434,0.3558566549600187,0.28567354565586267,0.3642989280351548,0.3288867659501606,0.425254588029618,0.3406642366801249,0.43532551364269195,0.41609739472625207,0.49982862088583135,0.4317434489915758,0.5132074978561885,0.4151454503914806,0.49901461327555674,0.43075353570347624,0.5123610234664133,9.05655893654852,11.552467083500115,13.648665898793176,17.587216511867595,10.972994153206661,13.648961861432847,10.97152420885373,13.647793312396395,1.8785584976342755,2.5494553779367255,1.990813097302125,1.7174971182910412,1.9908080774260597,1.7174944986301242,3.5689732468690463,4.799604139737981,0.15936845491429188,0.19100409855144754,2.30033019142665,2.196287659188614,2.300208079951923,2.1962066783362895,0.1593590158683108,0.19099527324889287,5.2669889227967674,6.716943969806917,2.2699699009042114,2.9787565000525613,2.264749695496081,2.7714066370084596,2.264749695496081,2.7714066370084596,3.468420781201536,4.147683383023389,3.468420781201536,4.147683383023389,3.1680239615129127,4.119897567784414,1.3044730103873816,1.764750955671394,3.1680239615129127,4.119897567784414,1.3044730103873816,1.764750955671394
4,57.38009411568402,58.74749647172706,51.75237045943231,60.3008666546766,52.62995902209525,66.62213341605195,55.40350515437531,124.33713799730495,68.93831682364753,125.11942452162388,73.16139889692808,80.28114465679629,80.68461351035403,84.34315491316548,14.559559036887388,4.497192921750149,15.091151814903517,8.363665812672322,16.34073733287878,8.40661691104601,19.370939770733315,29.77986093860517,19.446136421638172,3.9286128011592925,45.523266875139555,0.837216160785867,46.2852042508743,12.589561101348774,49.5800059233795,25.236939286143855,72.59924333464737,143.6226557278546,72.61904579553598,15.847264483693452,0.0,5.24670295555857,0.07120605278832436,2.3123449622723298,0.13902215394857143,2.308062105041417,1.0016993659573392,2.5690669953087264,2.369330841594439,5.1222749008785255,1.1279885032553076,2.5206532216707145,1.1312923701010107,2.4710418609446823,2.1822045294089225,5.223583005291455,0.9981275826559417,2.6087418249167347,0.246627952968317,0.3249885999967827,0.2561478122263987,0.3331285853101691,0.2938914167433186,0.3882220872298912,0.30525003553756874,0.3979342898784103,0.378381973649145,0.4604658968384445,0.3933532433531256,0.47326708984096405,0.3774609133628246,0.4596783412259752,0.3923963366366006,0.4724488836072455,8.401079527675355,10.790191079368721,12.664888065619497,16.42787250490441,10.17380853118803,12.747817762897077,10.172443170219228,12.746732440228035,1.7431799794927823,2.380498370352872,1.7496261170142793,1.5574210517565972,1.749627001163716,1.5574214634075993,3.3119355210786283,4.481808977037812,0.14723034252203543,0.17758196866521989,2.0806393618174037,2.0173094421272495,2.0805532188454205,2.017252238529819,0.1472242105616563,0.17757623452402382,4.882884567859046,6.272775530191739,2.105164285063103,2.781811318165169,2.0991372805599613,2.5880800268401005,2.0991372805599613,2.5880800268401005,3.205749835710287,3.8700449451574808,3.205749835710287,3.8700449451574808,2.929353134085994,3.8453538391702367,1.2058541049635547,1.6477075086024842,2.929353134085994,3.8453538391702367,1.2058541049635547,1.6477075086024842
5,60.402143389026705,61.607421897783645,56.713214479175186,62.93430628334483,57.2607696341901,66.45053538705653,59.008981577555915,122.88551915427225,68.1937480657123,114.25980208916555,70.88770797555016,76.28332017854909,75.87142603569218,79.88211135052939,14.367542396028707,4.442471817697112,14.713847384028899,8.718848172332653,15.531748155786453,9.309356662062692,17.483106074356268,32.34952044959542,17.431687267189968,3.903300249493432,47.807061492331535,0.7694644722732743,48.30723937760041,13.126230511663557,50.53998256512485,28.048088414302278,66.16562543754281,163.0006968835731,65.83915448582893,15.573674672743975,0.0,4.836349923823442,0.048433007436498914,2.2580841699502283,0.09441010645659861,2.2547460999929285,0.8923390329975044,2.452890197732109,2.1074253440047257,4.884948888854799,0.9925428334525214,2.407443870885392,0.9744872790095147,2.3469140898416283,1.9656459219131452,4.979471291889714,0.9137014036009239,2.484093071078897,0.22335935570169663,0.30724349287684927,0.23197194030860566,0.31504658460029716,0.26611417371931534,0.36695447550913735,0.2763910093909344,0.3762653662060369,0.3426035238018449,0.4362542508623793,0.35607245044843944,0.4484571942478721,0.3417698249386841,0.43549891390969386,0.35520694547019405,0.4476730406199182,7.612687633516407,10.222912554450849,11.484219843953843,15.559055956398442,9.204410965470673,12.087934284878374,9.203156286967138,12.086872142274412,1.5848733146206782,2.251608845844037,1.5635671464224115,1.4924553541528751,1.5635472624053357,1.4924437669000299,3.010486410410127,4.239880974982158,0.13358471543255376,0.16802759966859282,1.8695438129752555,1.9228855352322338,1.8694558631890308,1.9228225555743066,0.13357949981055098,0.16802247102156237,4.421016995494779,5.944367743857193,1.9084889448524005,2.6342788892231317,1.90026541452282,2.4535032173314857,1.90026541452282,2.4535032173314857,2.8953642411013023,3.6719675301459285,2.8953642411013023,3.6719675301459285,2.651049670721495,3.6397037541829094,1.0922484693648975,1.5587377825466897,2.651049670721495,3.6397037541829094,1.0922484693648975,1.5587377825466897
6,62.54949006484951,63.53776373663501,59.948637233673885,64.71509264000605,60.30456745459795,66.3482593491981,61.44586058993918,121.96306846235868,67.66501064782871,106.89036679562975,69.43127940854399,73.70390333669783,72.70288460613867,76.94758794885622,14.219123713266221,4.400711555265102,14.47741601951739,8.962374393202237,15.090670698532689,9.926154594295625,16.61567683734532,34.10865064902823,16.64124530421112,3.9308271791578075,49.618701058810245,0.7449091268955058,49.99163908369474,13.494923166612116,51.64152920208539,29.97152137388853,62.76576980293031,176.29232909998882,62.74408309939994,15.528947261500658,0.0,4.6560755803169815,0.03275177863834891,2.2213776837881283,0.06381232937225378,2.218769677552376,0.8525194409082953,2.3511762081575145,2.0123533236775084,4.681023124619396,0.948664289475178,2.3085971855710903,0.9235866367081593,2.2368180677636107,1.8762483825277667,4.769863355499137,0.8708490682637577,2.3766864796944303,0.2130989660143355,0.2946036233686928,0.22135032040957353,0.30207954541846627,0.25384546060596286,0.35182664396994234,0.2636915936315328,0.3607474571966561,0.3272167273129705,0.4183026795673024,0.340066669671009,0.4299450120277018,0.3264169044465958,0.4175780205130521,0.3392368056941909,0.4291931349086079,7.274478564801704,9.794220026839959,10.973071335025008,14.905195679350582,8.798391610978863,11.584798930816278,8.797173765251161,11.583768008794998,1.514219275211073,2.156428730504617,1.505290293844879,1.440025481275125,1.5052796603787595,1.4400192867145416,2.8763377603807867,4.060802859448273,0.12755269181418366,0.16092692899124064,1.7917111436787454,1.8485925280879951,1.7916295611971207,1.848534133242923,0.1275472437453203,0.1609215717604474,4.224409956153952,5.6953076983175865,1.8231738886005153,2.5232507318340462,1.81609355676546,2.351028558808982,1.81609355676546,2.351028558808982,2.767613245230502,3.5200486369144297,2.767613245230502,3.5200486369144297,2.529311354842576,3.485267931200702,1.0413810801485655,1.492271329119865,2.529311354842576,3.485267931200702,1.0413810801485655,1.492271329119865
7,63.52922858959953,64.73964903096775,62.199107247624,65.84243781389021,62.43078948633107,66.29594130439122,63.17809991867689,121.38556232732653,67.40905354823416,101.90197383323137,68.54119400108834,72.0245408138892,70.68075263369839,74.96920180263359,14.50602613358297,4.378461578765038,14.61357290485894,9.111798954260024,14.867440285107007,10.313713508544268,15.580315017681158,35.278684387932685,15.546791465606072,3.898955343378695,49.625410837942965,0.7072226940516714,49.77994839316735,13.717579890039321,50.50776183129028,31.18334971079721,56.295509721290934,184.8569945004455,55.600386656585336,14.881687114481764,0.0,4.198538589634082,0.02239385616331133,2.1965128506607163,0.04354301346169937,2.194421765397011,0.8809020703356913,2.2569542149801025,2.0629900589373884,4.488001355983933,0.9732856637844779,2.213002663067534,0.9548309871125841,2.128051396803662,1.9326540463362796,4.5779254805295695,0.9016139784127533,2.28170293753605,0.1865872603934885,0.29262461329633865,0.19368086084601133,0.3000847994268953,0.22227915076827162,0.34943910540248496,0.23074547523949973,0.3583429221684422,0.2851180817046907,0.41552474865244193,0.296093220616009,0.4270669962434272,0.2844362570041187,0.4148076974243266,0.29538648373435183,0.4263237457832322,6.420530000416532,9.639262562716606,9.69753248891561,14.656688937422139,7.739970938867197,11.4241518249469,7.73892279709015,11.423109780398232,1.3454175451591655,2.1133825605151455,1.269685166462964,1.4706209219274988,1.2696318196309484,1.4705816521616328,2.554326672242911,3.981256521810415,0.11133777248170999,0.1585153476924661,1.5298254532813687,1.8597454591827323,1.5297201002560368,1.8596543431473096,0.1113319982868653,0.15850887433894376,3.7251119282677347,5.610688899158936,1.612040466635719,2.48166184792877,1.6007712364445155,2.317927924062258,1.6007712364445155,2.317927924062258,2.434670309053532,3.4813058519930733,2.434670309053532,3.4813058519930733,2.2423977714301926,3.4330694297497226,0.9269457052096779,1.4687474416856552,2.2423977714301926,3.4330694297497226,0.9269457052096779,1.4687474416856552
8,64.36254258004563,65.36807591522722,63.41959643253699,66.44488022277845,63.579468509426,66.2336181040504,64.09054896239725,120.94697686242694,66.89333810327388,98.50750557543876,67.62679960001267,70.9382738050438,68.96331060895697,73.93120263144678,14.56906016561112,4.369841364515574,14.660272293585672,9.188081248947343,14.873074807316941,10.505771465201143,15.407354905619641,35.87754234274976,15.427543077086291,3.920065890561408,50.26943104814853,0.7044195438917034,50.40061442371793,13.835450398669165,50.9623857166231,31.808509323616356,54.94838190843697,189.58197146327632,55.00971607103989,14.83562613937666,0.0,4.164197165187849,0.014466011071189572,2.1798721506571876,0.028157019603812235,2.178204255907079,0.8557111475718439,2.206063151597762,2.0042098880144263,4.3877812519132355,0.9445332008987382,2.161943405514821,0.9208056825551449,2.0699464345744136,1.8785368545435122,4.476832576245219,0.8765184364779898,2.231418364083302,0.18842234248284798,0.2941798062796613,0.1954517482404779,0.3015727211549741,0.2245073008675932,0.35133352880083657,0.23290003599484094,0.36016026924779304,0.28652344343570624,0.416556608896316,0.29729488694216494,0.4278850500557613,0.28585666309797075,0.41585534894086285,0.2966047338505241,0.4271592087823911,6.3814451689236575,9.57519844416622,9.631929969363263,14.552854900673763,7.705422215281283,11.360659338020154,7.704395275454006,11.359638420084192,1.333993995641936,2.095705170954375,1.3092799228633862,1.49771250802818,1.3092392314923327,1.4976826050613545,2.5329386598357533,3.948347631835474,0.11066418799578846,0.15762894184730086,1.5479262819255886,1.8734134231698036,1.5478226424355517,1.873323860176374,0.11065720764318474,0.1576211167442055,3.7065435257859654,5.577361158022067,1.602006485635953,2.4648105269939524,1.5934972414742936,2.3047587370845055,1.5934972414742936,2.3047587370845055,2.4343563533988086,3.470948396641526,2.4343563533988086,3.470948396641526,2.239135723493398,3.4198149424100497,0.9265624232955859,1.463786216951743,2.239135723493398,3.4198149424100497,0.9265624232955859,1.463786216951743
9,64.38889720170258,65.65151386730315,64.27602167100011,66.72412839045057,64.38093930879228,66.19677292069237,64.71782361581127,120.66383180429237,66.6031644270693,96.25773945584206,67.04796943158796,70.24094537196856,67.87617598865843,73.26116015430044,14.747967698144578,4.374078215981704,14.72648599397849,9.217789889449055,14.670058937979583,10.58978937728062,14.541822166327766,36.13044972949252,14.45829911715051,3.845239948466434,49.62622782015365,0.6686462433670828,49.59417381979355,13.877788058187749,49.48950305936834,32.084894056260445,50.04265515851667,192.00749106060243,49.329652203812955,14.202721636839726,0.0,3.7915954284396203,0.009845397133712639,2.168865173251962,0.019092762572778785,2.1674493838991147,0.853221128609524,2.182853373515987,2.0211896908339555,4.340689199362477,0.9521568902680281,2.1377725343857366,0.9319821594716469,2.0429928326295683,1.881252023428394,4.430531979861055,0.8717084892045192,2.2088844787312154,0.16865182882314594,0.301517965893259,0.17471425129613632,0.30908037368311764,0.20101507258108062,0.3601155435224664,0.20825552387347848,0.3691474245843485,0.25414281917258885,0.42638766307705667,0.26336051924871773,0.4378859819026666,0.2535763082070743,0.4256809928536378,0.26277478982386493,0.43715533840189263,5.686667680803732,9.698315984969442,8.593281645393123,14.725459048620277,6.8456964117681345,11.531750034156799,6.84482479168648,11.530710565516646,1.1959832266996233,2.1123712295991215,1.1264736420522796,1.569791627692112,1.1264100151527692,1.5697316071004808,2.2697190791062907,3.9814222056571955,0.09788260126631226,0.15970330194987178,1.3432215838921848,1.9373445826288578,1.3431092636479374,1.937225031659145,0.09787614933658545,0.1596948753263489,3.3013568015855417,5.656399524259325,1.430462508969492,2.495214222125381,1.4186679864639034,2.3392906716307493,1.4186679864639034,2.3392906716307493,2.1660956305851795,3.5374080875320724,2.1660956305851795,3.5374080875320724,2.010948161163559,3.4747480912208286,0.8365167252786349,1.4872996289085845,2.010948161163559,3.4747480912208286,0.8365167252786349,1.4872996289085845
10,64.55822347472211,65.58273842027266,64.49214560589981,66.69291657023972,64.56998662263608,66.1352935925051,64.81313320647742,120.40076231682023,66.00163942357142,94.7393155703438,66.26924450814256,69.812921024274,66.69409718759567,73.16898197642621,14.75374404010128,4.386634499456453,14.752554886534929,9.202527263431127,14.742086961342508,10.55032369250235,14.717908863565047,36.025916695625334,14.739526789945208,3.8565899719317627,49.84156719662897,0.6786039174545567,49.83833415226677,13.857138336573,49.78670592496317,31.98987547234867,49.91002160888943,192.16838848026333,50.00382228682306,14.171467750940362,0.0,3.8313604376921786,0.005765486708548288,2.1617476512902813,0.011215532194078124,2.1605654256792675,0.8555161325898334,2.1951394375191584,2.027343041695778,4.3665669585266444,0.9541756547425144,2.1490763689630423,0.9351129870675237,2.0559666319909917,1.887197455460349,4.4570901131294205,0.8748865973781503,2.2228519616922604,0.1750396166957729,0.3108507823662878,0.18118223459998475,0.3185134707860369,0.20869344730946227,0.3713319494645265,0.21603315475869658,0.38048796369797966,0.262157064519269,0.43802574388390786,0.2713941821399983,0.4495486859909486,0.261594093158235,0.4373234601120237,0.2708130726740951,0.4488237757865883,5.792269481853932,9.857271253839139,8.745272892817587,14.958237429012582,6.9868652557798345,11.736819425747077,6.9860110680275245,11.735800807705424,1.2141550561618684,2.1419410379187758,1.1903119101113777,1.6376454235866669,1.1902571148090801,1.637593799041289,2.3045679179452194,4.037658703709869,0.09965338622254159,0.16249275523990714,1.3934725427020571,1.998527628765221,1.3933627222814222,1.9984108088341535,0.09964599675473666,0.1624831044209121,3.3678873576516,5.754991147135031,1.4570316989039347,2.5359915781837348,1.4479609932581725,2.3807548439828277,1.4479609932581725,2.3807548439828277,2.2238436738882177,3.613538491342002,2.2238436738882177,3.613538491342002,2.064136152354642,3.5486895714829494,0.8605196951572499,1.5206897073283183,2.064136152354642,3.5486895714829494,0.8605196951572499,1.5206897073283183
