cycle no,1 Ascending aorta [ml/s],2 Aortic arch I [ml/s],3 Brachiocephalic [ml/s],4 R. subclavian I [ml/s],5 R. com. carotid [ml/s],6 R. vertebral [ml/s],7 R. subclavian II [ml/s],8 R. radius [ml/s],9 R. ulnar I [ml/s],10 Aortic arch II [ml/s],11 L. com. carotid [ml/s],12 Thoracic aorta I [ml/s],13 Thoracic aorta II [ml/s],14 Intercoastals [ml/s],15 L. subclavian I [ml/s],16 L. vertebral [ml/s],17 L. subclavian II [ml/s],18 L. ulnar I [ml/s],19 L. radius [ml/s],20 Celiac I [ml/s],21 Celiac II [ml/s],22 Hepatic [ml/s],23 Splenic [ml/s],24 Gastric [ml/s],25 Abdominal aorta I [ml/s],26 Sup. mesenteric [ml/s],27 Abdominal aorta II [ml/s],28 R. renal [ml/s],29 Abdominal aorta III [ml/s],30 L. renal [ml/s],31 Abdominal aorta IV [ml/s],32 Inf. mesenteric [ml/s],33 Abdominal aorta V [ml/s],34 R. com. iliac [ml/s],35 R. ext. iliac [ml/s],36 R. int. iliac [ml/s],37 R. deep femoral [ml/s],38 R. femoral [ml/s],39 R. ext. carotid I [ml/s],40 L. int. carotid I [ml/s],41 R. post. tibial [ml/s],42 R. ant. tibial [ml/s],43 R. interosseous [ml/s],44 R. ulnar II [ml/s],45 L. ulnar II [ml/s],46 L. interosseous [ml/s],47 R. int. carotid I [ml/s],48 L. ext. carotid I [ml/s],49 L. com. iliac [ml/s],50 L. ext. iliac [ml/s],51 L. int. iliac [ml/s],52 L. deep femoral [ml/s],53 L. femoral [ml/s],54 L. post. tibial [ml/s],55 L. ant. tibial [ml/s],56 Basilar [ml/s],57 R. PCA I [ml/s],58 R. PCA II [ml/s],59 R. PCoA [ml/s],60 R. int. carotid II [ml/s],61 R. MCA [ml/s],62 R. ACA I [ml/s],63 R. ACA II [ml/s],64 ACoA [ml/s],65 L. ACA II [ml/s],66 L. ACA I [ml/s],67 L. MCA [ml/s],68 L. int. carotid II [ml/s],69 L. PCoA [ml/s],70 L. PCA II [ml/s],71 L. PCA I [ml/s],72 L. ext. carotid II [ml/s],73 R. ext. carotid II [ml/s],74 L. sup. thy. asc. ph. lyng. fac. occ. [ml/s],75 R. sup. thy. asc. ph. lyng. fac. occ. [ml/s],76 L. superf. temp. [ml/s],77 R. superf. temp. [ml/s],78 L. maxillary [ml/s],79 R. maxillary [ml/s],80 L. superf. temp. fron. bran. [ml/s],81 R. superf. temp. fron. bran. [ml/s],82 L. superf. temp. pari. bran. [ml/s],83 R. superf. temp. pari. bran. [ml/s]
1,77.01836403108298,69.9519367820109,7.542004221096088,3.8885401267154776,3.7323735402698266,1.267836840233957,2.7538654679156536,1.2087368452420526,1.6168134462246782,67.14043112465083,3.3351408057632397,61.844422099713675,54.984058675108734,7.702009975159006,5.942228566100732,3.328793191594052,2.753869632698718,1.6168389481938896,1.2087412981279544,9.441784783233738,6.337080287306686,3.1274788309482244,4.417932268378463,1.9352168494929352,46.156789942713765,11.723244247934822,34.67013794543081,9.165363106867336,25.59698437622574,9.164412625381285,16.779213929469513,1.6518371129049902,15.494858104363686,7.835859864754908,6.0120935308038215,1.8981883818697733,2.749975247865807,3.3718184044133004,0.9198884598296394,2.50346152884142,2.4868575246156577,0.9854065424388248,0.12058532727446176,1.5097976753993254,1.5098376333280323,0.12057279533059644,3.0058121845250176,0.8656608258336299,7.835859864754908,6.0120935308038215,1.8981883818697733,2.749975247865807,3.3718184044133004,2.4868575246156577,0.9854065424388248,4.620999295108525,2.173699865929158,1.287420711013725,-0.841798588638131,3.8902766918076486,2.652769997469483,1.2520443274991795,1.2249425458926777,0.028332083365567712,1.1419382847608779,0.8638977616076597,2.694254201347431,3.5539645520174594,-1.0103594747019213,1.4037981931608783,2.4478198615561246,0.7166744282623505,0.757795576424932,0.15937181441300677,0.16817451380889856,0.5355168510035393,0.5652778474089263,0.18968783136293613,0.20017725210875328,0.2707616766204531,0.28542865640071335,0.26980061248818626,0.28442422003130663
2,100.98501514593603,90.23146969369378,10.787896730100059,5.661344823078516,5.128998609272914,1.7629555046755292,3.908670414529853,1.7139250553496979,2.200452582494531,85.64848234178099,4.597613236509983,77.12529862704211,68.18388742566506,9.002460545351191,8.569969226404025,4.674467783559639,3.9084707649242585,2.2003062385984076,1.7138824252072835,11.053249607922302,7.483572189843752,3.5713189728087826,5.224049090076919,2.260649342058162,57.175324165275214,13.600183436564748,43.592361906217505,10.859826873542072,32.739245651070654,10.858479679186622,21.906010171626015,1.8811656109342225,20.051564831712216,10.03218403243166,7.791535877104197,2.2459838331672373,3.4092265466375866,4.389833083984557,1.3059518231836285,3.3458765541412583,3.1199369672805335,1.2759120220068054,0.1490353249118525,2.0525434824435584,2.0524129294175477,0.14902062489096862,4.007607253693017,1.242310783691856,10.03218403243166,7.791535877104197,2.2459838331672373,3.4092265466375866,4.389833083984557,3.1199369672805335,1.2759120220068054,6.431630107453024,3.0511902827855417,1.7304759205079343,-1.2590257901920978,5.269190826641419,3.582681433209907,1.69900423397649,1.6769131020518357,0.021068733617255125,1.5494388219111357,1.1995819591418155,3.6165913050925447,4.814133230966141,-1.4619657641298265,1.8741207094447847,3.3852781532023872,1.0158301186485288,1.0626080480725668,0.23253036647526687,0.24319594829915805,0.7396129560412885,0.7734367862902922,0.2770445237382803,0.28978104431154766,0.37057348869418855,0.387442756846003,0.36955700937077546,0.38638754043196105
3,88.55993723877108,79.89288306522052,8.932323826959838,4.974460155870903,4.000582363375633,1.1767422622426993,3.8711125565374247,1.7233367448351888,2.183541283667305,76.62849526644295,3.547493349358227,70.04349323830566,62.15402387056722,8.358867443908357,6.94540639285745,3.151630036977346,3.8709173759727005,2.1833754070905425,1.7232784466590902,10.22693428993186,6.929435163575651,3.3101840987447564,4.846960983542107,2.0913354789997816,52.2698166871797,12.621301752802639,39.780467613013634,10.114443094067033,29.71744471592591,10.112839623944762,19.797991554896715,1.7436273989169633,18.259488025370942,9.179114969343946,7.1310235182541595,2.0895679656765243,3.180121648116373,4.010368306180377,1.2867755757675696,2.3104909456655487,2.8783393265563246,1.1801209560023627,0.14589061017067134,2.0437565017435366,2.0435901142171624,0.14588711164582183,2.8488926486983037,1.2281276717340515,9.179114969343946,7.1310235182541595,2.0895679656765243,3.180121648116373,4.010368306180377,2.8783393265563246,1.1801209560023627,4.3342283962043515,2.125760092420334,1.095467389525705,-0.9874214729928675,3.831601906599613,2.639528484889065,1.2001445460509303,1.220415908795884,-0.021302612981782564,1.2098019490543963,0.9733129262068744,2.3900857965173277,3.3628603036469364,-1.0539743793020326,1.125103270029798,2.2113714400906264,1.0029812611985747,1.0459369170848687,0.23396219301806326,0.24382485928962255,0.7283146965299734,0.7593969884973412,0.27883796760639035,0.2906105496197828,0.365802306896115,0.3813372284460554,0.36484296425474266,0.38033984957330497
4,80.78017289792074,73.10439334002939,7.961162518501806,4.550140790166642,3.4576190066226773,0.9466022557734465,3.682177481396411,1.641491257009393,2.07641267688564,70.3474909145075,3.065506606797965,64.62203916456458,57.38756076242642,7.739244068545165,6.113100060551031,2.513837832972302,3.6820249293405802,2.0762851461284035,1.6414630453620205,9.452609528405725,6.417661754293185,3.048583381716551,4.492342349954971,1.9348074581067793,48.30335910405192,11.675599843619054,36.76955203253706,9.386000667987412,27.43879480313611,9.384598082436316,18.261937765880816,1.605295845359261,16.876862983430126,8.491394883013355,6.597547191261605,1.9383149368498855,2.954069363777587,3.7067209552330898,1.2219422765178012,1.8977337115947555,2.6653788422141576,1.0911616277213445,0.13629757073728266,1.9457535594424913,1.9456314156424135,0.13629184335716926,2.3605325766179903,1.1678967938900897,8.491394883013355,6.597547191261605,1.9383149368498855,2.954069363777587,3.7067209552330898,2.6653788422141576,1.0911616277213445,3.4704856328061484,1.7133995423010067,0.8774310393540206,-0.8040988503702335,3.173901290349644,2.200226587578747,0.9801814125782685,1.009349448389069,-0.03017942465145195,0.9772309349876661,0.8056572196435112,1.9468921728394772,2.7481977622766323,-0.8401927810761228,0.8981290722298836,1.764227645314843,0.9533395735491241,0.9928146368554533,0.22330093025799833,0.23244811666859674,0.6914220059428035,0.7200650660635384,0.26612423741202845,0.2770449456728325,0.3472889680341688,0.3616513431743136,0.3463918049156339,0.36071940553195514
5,75.91077002971451,68.74516057398583,7.349920189689254,4.224233408234665,3.1551853728708994,0.8389986083364496,3.4360405713417697,1.5268396376156306,1.931859511536807,66.13954480167789,2.800633161260107,60.78709118815678,53.903522223747686,7.209574648122326,5.6028072652598,2.2206364545784223,3.435938196496631,1.9317668527483112,1.526829505507271,8.819150089388017,5.9847305594956,2.8432339777568774,4.186409872766102,1.8044428509493857,45.322314868326046,10.87809118148886,34.53580927786145,8.73780424678294,25.833685838655583,8.736544413283264,17.231317008681113,1.4973764623739405,15.87616684467627,7.972288710555737,6.196362248697657,1.8046608371835242,2.752952318526789,3.4841901607253254,1.1499086038614426,1.694185837002726,2.4933557249307783,1.0227030542894198,0.12690625273437828,1.8084457443901516,1.808358010093078,0.12690126422483758,2.1108551596800873,1.1001312415948046,7.972288710555737,6.196362248697657,1.8046608371835242,2.752952318526789,3.4841901607253254,2.4933557249307783,1.0227030542894198,3.064425715033222,1.5037093842514737,0.7726272551721012,-0.7051939946901206,2.8221400748063723,1.9621668422318468,0.8641506172148331,0.8857183717001847,-0.02317967862599119,0.8380691479682392,0.6951112522886121,1.7443552142666472,2.433584977901279,-0.7321975135609661,0.8150993604567539,1.5711633118118329,0.896870139565566,0.9329671577868738,0.2105514076353652,0.2189588778095536,0.6486197625660275,0.6747538027463857,0.2509392989751637,0.2609785907678934,0.3254361934117545,0.33853849322433827,0.3246160482479408,0.3376875606665118
6,72.73244937470828,65.87438927234942,7.019311546861013,4.021634225163182,3.0233241325211986,0.8008541660488206,3.265309536643914,1.4488718854667983,1.8365871590328653,63.360495929943035,2.6833256969517363,58.24577271551632,51.62955633644296,6.9014309900376345,5.333745179901146,2.1157788547820173,3.26517443320916,1.8364784563801302,1.4488457006649083,8.446884379483839,5.7267020517292035,2.727904358550984,4.004279078464864,1.7277924977884809,43.390840477394306,10.4184485967262,33.05252467778326,8.35434396370494,24.729400749369805,8.353109205012121,16.493683523008414,1.4369408922552664,15.181183519981566,7.62052804996725,5.9203426134585575,1.7253634824348922,2.626025469423037,3.3301049142628756,1.098040966146221,1.6228874348320736,2.381269950410474,0.9769394209367478,0.12136732526533245,1.7183914268413267,1.7182885675500343,0.12136158734521177,2.0245755294765275,1.0509066656674797,7.62052804996725,5.9203426134585575,1.7253634824348922,2.626025469423037,3.3301049142628756,2.381269950410474,0.9769394209367478,2.9199932594606643,1.4313483600493655,0.7389261807310276,-0.6694742868698815,2.6997135468185234,1.876483789917447,0.8261289567939217,0.8440270201585465,-0.019958976031902415,0.7872547073867676,0.656623619947566,1.6727049955511357,2.321954656800776,-0.6925530494304105,0.7861190540789103,1.5020450696777061,0.8564981826362164,0.8905833909894598,0.20127164714762888,0.20920995320097904,0.6189955130819239,0.643664216100866,0.23986777853435107,0.2493455265720343,0.3105219443220525,0.3228873786422019,0.3097409371239934,0.3220770102116533
7,70.6142602262081,63.627708258666644,6.9982637776867165,3.912168089148568,3.08604537471971,0.8471754380885026,3.0682150520639984,1.3571835905039,1.7111881187282616,60.89290863635902,2.733806621644904,55.617584173028064,49.1809548089495,6.457363156003271,5.291262002083686,2.2276084608979256,3.06810879310044,1.7111028800883368,1.3571689523240178,7.927837585400713,5.375577200464813,2.5528092868776184,3.7548738001764272,1.6210611419699834,41.26823288628359,9.74499723670833,31.52903941495485,7.815083118732943,23.7162130396093,7.814072623798353,15.91063399180197,1.3448356161396782,14.574764655913253,7.289518829078221,5.675917175692976,1.6153564246216792,2.475169353798433,3.2029685390720375,1.0464115196900976,1.7132635413905213,2.2674972677690595,0.9364513260807477,0.11229470905873282,1.5986648767197964,1.598587217210458,0.11228793834760097,2.1333766825097236,1.003336915177613,7.289518829078221,5.675917175692976,1.6153564246216792,2.475169353798433,3.2029685390720375,2.2674972677690595,0.9364513260807477,3.069984395353601,1.5007321756943035,0.7813271793834938,-0.6961131623669932,2.830837471255649,1.9617925945667052,0.8711760923497842,0.880351300855017,-0.01172415653388872,0.8287465178532493,0.6848532313264787,1.7620439815990525,2.4387851210806892,-0.7227083936840384,0.8369852533341906,1.5847190876265025,0.815621053406013,0.8463692173733857,0.19254348757417097,0.19980538083370997,0.5861330693915268,0.6082708643598395,0.22956202014082625,0.23824003506157557,0.2934104466127986,0.30450775979354716,0.29272152669590745,0.303795336284494
8,68.9124442036298,62.03324562578984,6.911713454803274,3.8094462533974487,3.105768848467747,0.868510010091752,2.950051168409516,1.3069478190437944,1.6470631288671826,59.30652359695325,2.74933197130753,54.124937148658255,47.87681844515568,6.305668343564585,5.225777594090242,2.2864167003161233,2.94987046149643,1.6469349180751918,1.3068962174482877,7.746291486599552,5.244230543018431,2.503619691484754,3.6617943669123107,1.5835198339969585,40.172532983106805,9.525070945002346,30.663633630357285,7.616033095183691,23.053901286226708,7.614993797645792,15.462600364823386,1.3194187121876955,14.168300088776954,7.0901937852637,5.520356804538158,1.5749214595019487,2.4071551884898925,3.1204066405601085,1.014327835120985,1.7570551081247603,2.211144229610204,0.914842043011733,0.10939600944754954,1.5382729342766008,1.5381523491872955,0.10938857071371019,2.186622927551824,0.9732442349690121,7.0901937852637,5.520356804538158,1.5749214595019487,2.4071551884898925,3.1204066405601085,2.211144229610204,0.914842043011733,3.150550088295719,1.539275693521645,0.8036972450341361,-0.7119505853943248,2.8983705711053145,2.0045701680482266,0.8956671225005992,0.9013713116978803,-0.008466674920154483,0.8518823987398153,0.7013372604686894,1.8063650349346099,2.4993226366344112,-0.7407948157219817,0.8610279542755738,1.6276144622179156,0.7907929619863395,0.820043389399529,0.18745160631104205,0.1943495459353946,0.5677181802834823,0.5887510904342431,0.22353530082001122,0.23177698156321463,0.284309316539324,0.2948437801984239,0.28365089035194485,0.2941625324407032
9,67.74031691337088,60.69458257576391,6.948292668938285,3.7633368760465404,3.1661149259557293,0.9031046055938011,2.833437067237183,1.2532894969909332,1.566693040609262,57.77273985648908,2.7963058742117086,52.40894311023312,46.25638613574674,5.980255203848492,5.231501784862787,2.3715084969701237,2.8333131715625086,1.566604050834299,1.2532596238012759,7.366981458722007,4.992012025332706,2.370288293866817,3.4829119726155775,1.5058201539137295,38.76362807183864,9.026883140503232,29.688310499130615,7.2278017193721595,22.441633924067762,7.226972523392261,15.143698637142027,1.2490443819065762,13.819394413336271,6.891570228482733,5.380313467482118,1.4959602098292455,2.3068034282879077,3.051466944255009,0.986148168043911,1.8238297515284931,2.140943885941463,0.8923425146450583,0.10290168666760924,1.4614239357408063,1.4613425908185884,0.10289464406331886,2.2699490862866294,0.9479712697583487,6.891570228482733,5.380313467482118,1.4959602098292455,2.3068034282879077,3.051466944255009,2.140943885941463,0.8923425146450583,3.26332080075831,1.595734404467754,0.8297972587029356,-0.741151654983665,3.0065052725944668,2.0783155050499214,0.9298747443307315,0.9346829904962295,-0.0077293973011335,0.8917795461054208,0.7324247088034918,1.866951084096771,2.5913964111621457,-0.7698071736478702,0.8872767982239373,1.6838188759875095,0.7681823041957351,0.7949930640088636,0.18305781756433329,0.1894718643546939,0.5482440592907905,0.5674115830617328,0.2184082708410758,0.2260794711369179,0.27398397193800966,0.28358291918744366,0.2733988429479512,0.28297971006022804
10,66.59112582662732,59.6195428275898,6.92157653530732,3.704069340497168,3.206777747121035,0.9285440375795437,2.7619419882216807,1.2260570636371557,1.529425725247288,56.71637395350498,2.8314139155991587,51.43167036967696,45.43540436112999,5.907872849670863,5.216826208366586,2.4420819614689004,2.7617466429360302,1.5292943997177315,1.2259937087114943,7.279769999931635,4.925802067845874,2.3515738149474252,3.4362618277309767,1.487875114824653,38.091118052718734,8.926233005556657,29.14005016376498,7.126865834513481,22.00350871182147,7.126001421825737,14.84112842439649,1.2396562404591531,13.562913067163821,6.772181256548976,5.288348580272815,1.4760295547846831,2.2713748897787647,3.005846031964848,0.969322633320247,1.8755963580827062,2.113916623597184,0.8830603337057074,0.1015750040202016,1.4267987230231498,1.4266752981039186,0.10156724260954268,2.3325229080234418,0.932651174116042,6.772181256548976,5.288348580272815,1.4760295547846831,2.2713748897787647,3.005846031964848,2.113916623597184,0.8830603337057074,3.3615297768590104,1.6432282569014285,0.8549077375944355,-0.7622950873660876,3.0904990197444078,2.134916639758636,0.9576945818280285,0.9620887792359574,-0.007231852867987871,0.9224455942352628,0.7551076049409985,1.9201523805310967,2.6675986044251063,-0.7939039040309631,0.9127152536403068,1.7339197484648896,0.7553939029926567,0.781090530762859,0.18104843085941918,0.18719361179796315,0.5385518099882158,0.5569000623289768,0.2160807429937689,0.22342977207113277,0.26934896004588776,0.27853224019852424,0.2687866102832933,0.27795220116816116
