cycle no.,t_total [s],t_1d_lw [s],t_stn [s],t_0d [s],t_1d_bif [s],t_reg [s],t_out [s]
1,82.56255742162466,17.348531637340784,9.940616086125374,39.96574128046632,5.756641007959843,9.241043034940958,0.30998437479138374
2,145.67112563923,33.611886367201805,18.59808549284935,66.61644357442856,8.576223473995924,17.520358450710773,0.748128280043602
3,206.956126075238,49.828657533973455,27.21472443640232,91.5774057880044,11.3881268016994,25.900467187166214,1.0467443279922009
4,268.64859802275896,66.06836254522204,35.76747067272663,116.93787556514144,14.210569702088833,34.31038576737046,1.3539337702095509
5,329.83835595846176,82.26109964028001,44.21045710518956,142.1856150738895,17.01473071053624,42.5151223950088,1.6513310335576534
6,391.3506768345833,98.47688797861338,52.58859083801508,167.7712326720357,19.817701637744904,50.743910402059555,1.9523533061146736
7,453.2030846327543,114.70568597689271,60.97557010501623,193.59864788129926,22.62560125440359,59.0467328466475,2.250846568495035
8,514.802947036922,130.9116260819137,69.41817389056087,219.29311141744256,25.423044998198748,67.20048091188073,2.5565097369253635
9,576.6239313557744,147.1341640613973,77.87742331624031,244.9882059544325,28.232048593461514,75.53819083049893,2.853898599743843
10,638.2254690937698,163.34533374384046,86.37326247617602,270.5496414862573,31.036589581519365,83.76395623385906,3.156685572117567
11,700.0998891331255,179.58616646379232,94.89722088351846,296.04072316735983,33.86409116536379,92.25408355146646,3.4576039016246796
12,761.4858777597547,195.8013886809349,103.44639969617128,321.3274360820651,36.67057241871953,100.47558392211795,3.764496959745884
13,822.4729042872787,212.02823292836547,112.01878621056676,346.18149262294173,39.478609189391136,108.69950222969055,4.066281106323004
14,883.3913328386843,228.25156211480498,120.60902795568109,370.94607267156243,42.288058176636696,116.92174734920263,4.37486457079649
15,944.699593808502,244.61665852740407,129.234396930784,395.3593570627272,45.119047574698925,125.68872603029013,4.681407682597637
16,1009.5856896266341,261.93649888038635,137.95265946537256,421.0505765751004,48.1667818389833,135.35022484883666,5.128948017954826
17,1070.3615053594112,278.31352204456925,146.61644412204623,444.98353830352426,50.98725648969412,144.03204114735126,5.428703252226114
18,1131.1562136821449,294.687000002712,155.29364385083318,468.8761335089803,53.82211911305785,152.74012869223952,5.7371885143220425
19,1192.1241706311703,311.1172206029296,163.983488406986,492.58828017115593,56.67148970067501,161.72093122452497,6.0427605248987675
20,1252.5466786846519,327.4642530865967,172.66676012426615,516.2203130014241,59.50053118169308,170.33961828798056,6.355203002691269
21,1312.9212219566107,343.81452506408095,181.35792529210448,539.7865950837731,62.32969579845667,178.9725761152804,6.659904602915049
22,1393.5700798556209,364.4932132959366,191.2190245948732,570.1811217740178,66.33798563852906,194.2642275430262,7.074507009238005
23,1461.9783001691103,382.6167901828885,200.3132257759571,596.4600569568574,69.70088715851307,205.46022384241223,7.427116252481937
24,1542.436102811247,403.76937674731016,210.28046599775553,626.80841813609,73.79512966796756,219.93923991546035,7.843472346663475
25,1603.5754528529942,420.2267847172916,218.98515509068966,650.4013195037842,76.64891261607409,229.16362268850207,8.149658236652613
26,1664.19535555318,436.598950445652,227.66970485076308,673.9393016174436,79.48959552124143,238.03599685803056,8.461806260049343
