cycle no.,Relative error,Adjusting coefficient,Total adjusted PR,8 R. radius [mmHg*s/ml],14 Intercoastals [mmHg*s/ml],19 L. radius [mmHg*s/ml],22 Hepatic [mmHg*s/ml],23 Splenic [mmHg*s/ml],24 Gastric [mmHg*s/ml],26 Sup. mesenteric [mmHg*s/ml],28 R. renal [mmHg*s/ml],30 L. renal [mmHg*s/ml],32 Inf. mesenteric [mmHg*s/ml],36 R. int. iliac [mmHg*s/ml],37 R. deep femoral [mmHg*s/ml],41 R. post. tibial [mmHg*s/ml],42 R. ant. tibial [mmHg*s/ml],43 R. interosseous [mmHg*s/ml],44 R. ulnar II [mmHg*s/ml],45 L. ulnar II [mmHg*s/ml],46 L. interosseous [mmHg*s/ml],51 L. int. iliac [mmHg*s/ml],52 L. deep femoral [mmHg*s/ml],54 L. post. tibial [mmHg*s/ml],55 L. ant. tibial [mmHg*s/ml],74 L. sup. thy. asc. ph. lyng. fac. occ. [mmHg*s/ml],75 R. sup. thy. asc. ph. lyng. fac. occ. [mmHg*s/ml],78 L. maxillary [mmHg*s/ml],79 R. maxillary [mmHg*s/ml],80 L. superf. temp. fron. bran. [mmHg*s/ml],81 R. superf. temp. fron. bran. [mmHg*s/ml],82 L. superf. temp. pari. bran. [mmHg*s/ml],83 R. superf. temp. pari. bran. [mmHg*s/ml]
0,0,0,0,32.548839851293,8.0493008274949,32.548839851293,20.2867553390307,13.6461900526146,31.5558732145879,5.342556323818799,6.6621342363796,6.6621342363796,38.464659440891,31.6748797043649,19.3813096061124,19.1427856673823,42.516328914575496,463.429477980943,31.321005942366,31.321005942366,463.429477980943,31.6748797043649,19.3813096061124,19.1427856673823,42.516328914575496,171.456000039671,171.456000039671,142.880000023371,142.880000023371,142.880000023371,142.880000023371,142.880000023371,142.880000023371
2,0.017940817258831315,1.016146735532948,1.016146735532948,33.074397360276116,8.1792707591816,33.074397360276116,20.614320212311654,13.866531474426516,32.065397553895096,5.428821167849382,6.769705955979421,6.769705955979421,39.08573812424798,32.186325609989225,19.694254486604486,19.451879164917433,43.20282883339098,470.9123512000735,31.826737941943282,31.826737941943282,470.9123512000735,32.186325609989225,19.694254486604486,19.451879164917433,43.20282883339098,174.22445472784872,174.22445472784872,145.187045596696,145.187045596696,145.187045596696,145.187045596696,145.187045596696,145.187045596696
4,0.11937190346686932,1.1074347131201825,1.1253161685529403,36.627735752300296,9.058008366726572,36.627735752300296,22.829013790488933,15.35627830535351,35.510334341182414,6.012065012598054,7.49700737326806,7.49700737326806,43.28490318671714,35.6442542682912,21.810101067488702,21.54168622264879,47.844312355086686,521.5046845560039,35.24603440228718,35.24603440228718,521.5046845560039,35.6442542682912,21.810101067488702,21.54168622264879,47.844312355086686,192.94220904005536,192.94220904005536,160.78517418914387,160.78517418914387,160.78517418914387,160.78517418914387,160.78517418914387,160.78517418914387
6,0.19429629137653096,1.174866662238878,1.3220964509112354,43.03270564867266,10.641952056347877,43.03270564867266,26.821047234237046,18.04157943702197,41.719907982411584,7.0633747545142125,8.807984029411703,8.807984029411703,50.853989732311334,41.877246040181156,25.62396064425304,25.308608991400604,56.21068756373501,612.6984680862512,41.409390795371806,41.409390795371806,612.6984680862512,41.877246040181156,25.62396064425304,25.308608991400604,56.21068756373501,226.6813691398857,226.6813691398857,188.90114093709605,188.90114093709605,188.90114093709605,188.90114093709605,188.90114093709605,188.90114093709605
8,0.21558990155441266,1.1940309113989713,1.5786240302388879,51.382380745648284,12.706819712905213,51.382380745648284,32.02515947377092,21.542203538264282,49.81485975172013,8.433887795685092,10.517005198226041,10.517005198226041,60.72123570834564,50.00272625623647,30.595801081708828,30.219261460242265,67.11729850208934,731.5809102617801,49.44409263187397,49.44409263187397,731.5809102617801,50.00272625623647,30.595801081708828,30.219261460242265,67.11729850208934,270.66456179126436,270.66456179126436,225.55380147742633,225.55380147742633,225.55380147742633,225.55380147742633,225.55380147742633,225.55380147742633
10,0.1995659711640424,1.179609374047638,1.8621597041666542,60.61113798845159,14.989083647676308,60.61113798845159,37.7771783206307,25.411385231378745,58.76207552999746,9.948693103456106,12.405957918735178,12.405957918735178,71.6273388453207,58.98368461979451,36.091093762480604,35.646924095298296,79.17219447381808,862.9796996190998,58.32471515983829,58.32471515983829,862.9796996190998,58.98368461979451,36.091093762480604,35.646924095298296,79.17219447381808,319.27845431147165,319.27845431147165,266.0653785748521,266.0653785748521,266.0653785748521,266.0653785748521,266.0653785748521,266.0653785748521
12,0.1629635072073799,1.146667156486642,2.135277372900784,69.50080124863726,17.187489924621417,69.50080124863726,43.317849645006426,29.138400845651713,67.38054205723547,11.407839631698279,14.225504490169005,14.225504490169005,82.13271696046907,67.63465392208464,41.38447185911641,40.87515708985086,90.7841551101004,989.5504782679296,66.87903528522511,66.87903528522511,989.5504782679296,67.63465392208464,41.38447185911641,40.87515708985086,90.7841551101004,366.1061173327854,366.1061173327854,305.08843108996757,305.08843108996757,305.08843108996757,305.08843108996757,305.08843108996757,305.08843108996757
14,0.11740235690796666,1.10566212121717,2.360895309508507,76.84440333486121,19.003556568455654,76.84440333486121,47.89490552506424,32.21722608787945,74.50011305976571,12.613216165688819,15.728601469984639,15.728601469984639,90.81103405584166,74.7810749232813,45.75724294120293,45.19411289304954,100.37660151194218,1094.1084808531841,73.94561601841995,73.94561601841995,1094.1084808531841,74.7810749232813,45.75724294120293,45.19411289304954,100.37660151194218,404.78966628074966,404.78966628074966,337.3247218777519,337.3247218777519,337.3247218777519,337.3247218777519,337.3247218777519,337.3247218777519
16,0.07095442191524767,1.063858979723723,2.5116596752082434,81.7516085293037,20.217104302039285,81.7516085293037,50.95342532585894,34.27458527537995,79.25761426906435,13.418683281064474,16.733013912338905,16.733013912338905,96.61013403830397,79.55651807052531,48.679253790398676,48.080162831918436,106.78654887262951,1163.977132147541,78.66770761239843,78.66770761239843,1163.977132147541,79.55651807052531,48.679253790398676,48.080162831918436,106.78654887262951,430.6391213721446,430.6391213721446,358.86593445245376,358.86593445245376,358.86593445245376,358.86593445245376,358.86593445245376,358.86593445245376
18,0.02950328917628525,1.0265529602586567,2.5783516747473185,83.92235574166357,20.753928269116454,83.92235574166357,52.3063896035789,35.184676976079054,81.36213855094675,13.77498904495008,17.17732496576079,17.17732496576079,99.17541908800655,81.66897913316907,49.971832081716194,49.35683348482411,109.62204786100355,1194.8841706794399,80.75656812627007,80.75656812627007,1194.8841706794399,81.66897913316907,49.971832081716194,49.35683348482411,109.62204786100355,442.07386484776197,442.07386484776197,368.39488734815546,368.39488734815546,368.39488734815546,368.39488734815546,368.39488734815546,368.39488734815546
