cyclo no.,Relative error,58 R. PCA II Rtotal[mmHg*s/ml],58 R1[mmHg*s/ml],58 R2[mmHg*s/ml],70 L. PCA II Rtotal[mmHg*s/ml],70 R1[mmHg*s/ml],70 R2[mmHg*s/ml],61 R. MCA Rtotal[mmHg*s/ml],61 R1[mmHg*s/ml],61 R2[mmHg*s/ml],67 L. MCA Rtotal[mmHg*s/ml],67 R1[mmHg*s/ml],67 R2[mmHg*s/ml],63 R. ACA II Rtotal[mmHg*s/ml],63 R1[mmHg*s/ml],63 R2[mmHg*s/ml],65 L. ACA II Rtotal[mmHg*s/ml],65 R1[mmHg*s/ml],65 R2[mmHg*s/ml]
0,0,29.738800001186,5.9477600002372,23.7910400009488,14.5996000036821,2.91992000073642,11.67968000294568,29.4500000165314,5.89000000330628,23.56000001322512,29.4500000165314,5.89000000330628,23.56000001322512,14.5996000036821,2.91992000073642,11.67968000294568,29.738800001186,5.9477600002372,23.7910400009488
2,0.4685375701109655,38.271953902563325,7.654390780512665,30.61756312205066,15.203794208675026,3.040758841735005,12.16303536694002,38.94291560149477,7.788583120298953,31.154332481195812,36.93130546736543,7.386261093473087,29.54504437389235,15.008180940116045,3.001636188023209,12.006544752092836,42.27917058270051,8.455834116540101,33.823336466160406
4,0.11886007261431161,35.42019895795133,7.084039791590265,28.33615916636106,13.6127410728384,2.72254821456768,10.89019285827072,35.76540698896094,7.153081397792188,28.61232559116875,34.16418600547112,6.832837201094225,27.3313488043769,13.402694811400215,2.680538962280043,10.722155849120172,38.572974960141046,7.71459499202821,30.85837996811284
6,0.10031283350683727,32.4571852190647,6.49143704381294,25.96574817525176,12.409831917808978,2.4819663835617956,9.927865534247182,32.63233007659637,6.526466015319273,26.105864061277092,31.079790333074023,6.215958066614805,24.86383226645922,12.198210848967467,2.439642169793493,9.758568679173973,35.491779886482206,7.098355977296441,28.393423909185763
8,0.03007091034249117,31.84048810947216,6.3680976218944325,25.47239048757773,12.09405191751507,2.418810383503014,9.675241534012056,31.961786599937184,6.392357319987437,25.56942927994975,30.276586200185918,6.0553172400371835,24.221268960148734,11.868080674667173,2.3736161349334344,9.494464539733737,35.13656500740604,7.027313001481208,28.109252005924834
10,0.04829994678746389,33.030285488281535,6.606057097656307,26.424228390625228,12.47908738195697,2.495817476391394,9.983269905565576,33.167759869911194,6.6335519739822395,26.534207895928958,31.31497870489809,6.262995740979617,25.05198296391847,12.232117301429767,2.4464234602859536,9.785693841143814,36.66394980554281,7.332789961108563,29.331159844434254
12,0.08392896757750459,35.457469143611455,7.091493828722291,28.365975314889162,13.343254470022396,2.6686508940044793,10.674603576017917,35.67312212837741,7.134624425675482,28.538497702701928,33.659306852704496,6.731861370540899,26.927445482163595,13.073435730339558,2.6146871460679115,10.458748584271646,39.42107605553161,7.884215211106322,31.536860844425288
14,0.10288901998342916,38.58321581765213,7.716643163530426,30.866572654121704,14.477011902499026,2.8954023804998053,11.581609521999221,38.92368228644907,7.784736457289815,31.13894582915926,36.776162638561146,7.3552325277122295,29.420930110848918,14.18542447310461,2.837084894620922,11.348339578483689,42.82698575624357,8.565397151248714,34.261588604994856
16,0.10074560159785484,41.86734440462487,8.373468880924975,33.4938755236999,15.678470009032122,3.1356940018064243,12.542776007225697,42.35270844789896,8.470541689579793,33.88216675831917,40.1106956050953,8.02213912101906,32.08855648407624,15.368133796108605,3.073626759221721,12.294507036886884,46.31601105569204,9.263202211138408,37.05280884455363
18,0.08396889002395876,44.81401839021319,8.962803678042638,35.85121471217055,16.76656185857301,3.3533123717146016,13.413249486858406,45.43573191880757,9.087146383761514,36.348585535046055,43.14194113433916,8.628388226867832,34.51355290747133,16.44206431619965,3.2884128632399303,13.153651452959721,49.381935417612226,9.876387083522445,39.50554833408978
20,0.06004409067245266,47.05220535356375,9.41044107071275,37.641764282851,17.606201516902637,3.5212403033805275,14.08496121352211,47.77897790553611,9.555795581107223,38.22318232442889,45.47331789706945,9.09466357941389,36.37865431765556,17.273091964099873,3.4546183928199747,13.818473571279899,51.656258682986746,10.331251736597348,41.325006946389394
22,0.0349835734499596,48.40120898478875,9.68024179695775,38.720967187831,18.12895284346531,3.6257905686930623,14.503162274772249,49.190786492656535,9.838157298531307,39.35262919412523,46.9050551380684,9.38101102761368,37.52404411045472,17.79283852961162,3.5585677059223237,14.234270823689295,52.97290030446704,10.594580060893408,42.37832024357363
24,0.013233205399066653,48.888773143786146,9.77775462875723,39.11101851502892,18.339328132795384,3.6678656265590766,14.671462506236306,49.69992607715368,9.939985215430735,39.75994086172294,47.45413980364617,9.490827960729234,37.96331184291694,18.004749187816916,3.6009498375633835,14.403799350253534,53.38332105631633,10.676664211263267,42.70665684505307
26,0.005679017600138939,48.70949674826504,9.741899349653007,38.96759739861203,18.301397513594736,3.660279502718947,14.641118010875788,49.51149639120083,9.902299278240166,39.609197112960665,47.312116993417106,9.462423398683422,37.84969359473369,17.97116127504705,3.59423225500941,14.37692902003764,53.11047271846692,10.622094543693384,42.48837817477354
28,0.013724253780700902,48.13861750521138,9.627723501042276,38.5108940041691,18.11057439395612,3.6221148787912245,14.488459515164898,48.91480301497474,9.782960602994947,39.13184241197979,46.75662991814594,9.351325983629188,37.40530393451675,17.785638731929893,3.5571277463859783,14.228510985543913,52.45446127306582,10.490892254613163,41.96356901845265
30,0.016637843521418654,47.43956493867522,9.487912987735044,37.951651950940175,17.861905649283397,3.5723811298566797,14.289524519426719,48.18548800860066,9.637097601720132,38.54839040688053,46.05649337519565,9.21129867503913,36.84519470015652,17.54175298930704,3.508350597861408,14.033402391445632,51.69375615228449,10.338751230456898,41.35500492182759
32,0.015610804789141588,46.80373087909585,9.36074617581917,37.44298470327668,17.627610520405977,3.5255221040811953,14.102088416324781,47.52282525806771,9.504565051613543,38.01826020645417,45.409412340578335,9.081882468115667,36.32752987246267,17.310888787021284,3.462177757404257,13.848711029617029,51.02382901152329,10.204765802304658,40.81906320921863
34,0.011866045548150144,46.334228030131264,9.266845606026253,37.06738242410501,17.449025944218757,3.4898051888437513,13.959220755375005,47.03403793343597,9.406807586687194,37.627230346748775,44.92446520094511,8.984893040189021,35.939572160756086,17.13422740571356,3.426845481142712,13.707381924570848,50.54444089620445,10.10888817924089,40.43555271696356
36,0.007154368449997649,46.060214777385,9.212042955477,36.848171821908,17.340388055044887,3.4680776110089773,13.872310444035909,46.74878798577778,9.349757597155556,37.39903038862222,44.635199642125116,8.927039928425023,35.70815971370009,17.026152573142323,3.4052305146284643,13.620922058513857,50.27721936686675,10.05544387337335,40.2217754934934
38,0.0028757409434529207,45.96173442762946,9.192346885525891,36.769387542103566,17.296705429688487,3.4593410859376976,13.83736434375079,46.646298877213674,9.329259775442734,37.31703910177094,44.52453906572331,8.904907813144662,35.61963125257865,16.982086049484664,3.396417209896933,13.585668839587733,50.19465183182553,10.038930366365106,40.155721465460424
40,0.001113656434450824,45.993356219831085,9.198671243966217,36.79468497586487,17.302534923392475,3.4605069846784953,13.842027938713981,46.67934277664189,9.335868555328378,37.343474221313514,44.548316238895126,8.909663247779026,35.6386529911161,16.987016508002764,3.3974033016005527,13.58961320640221,50.24496146911431,10.048992293822861,40.195969175291445
42,0.0027836063353334894,46.10227305120331,9.220454610240662,36.88181844096265,17.338895480029073,3.467779096005815,13.87111638402326,46.79294352883172,9.358588705766344,37.43435482306538,44.6536881367214,8.93073762734428,35.72295050937712,17.02232002870296,3.4044640057405924,13.61785602296237,50.37083744287192,10.074167488574384,40.296669954297535
44,0.0034356225421631444,46.24044326628373,9.248088653256746,36.99235461302698,17.388011101618737,3.4776022203237473,13.91040888129499,46.937045262864785,9.387409052572957,37.54963621029183,44.79176003251932,8.958352006503864,35.833408026015455,17.07047491367312,3.4140949827346243,13.656379930938497,50.52169915311193,10.104339830622386,40.417359322489546
46,0.0033033708297109726,46.371477067911755,9.274295413582351,37.097181654329404,17.436087077080042,3.4872174154160085,13.948869661664034,47.07369727356412,9.414739454712825,37.6589578188513,44.92492744667188,8.984985489334376,35.9399419573375,17.11783072463835,3.42356614492767,13.69426457971068,50.66030185427621,10.132060370855243,40.52824148342097
48,0.0025934817870208694,46.47317994219247,9.294635988438495,37.17854395375398,17.474418489457886,3.494883697891577,13.979534791566309,47.179748803472926,9.435949760694585,37.74379904277834,45.02978822967643,9.005957645935286,36.023830583741145,17.155732211785306,3.4311464423570612,13.724585769428245,50.764850814731716,10.152970162946342,40.61188065178537
50,0.0016473952916802816,46.53673275327379,9.307346550654758,37.22938620261903,17.49922253342873,3.4998445066857458,13.999378026742983,47.246000686765285,9.449200137353056,37.796800549412225,45.09655190467987,9.019310380935973,36.07724152374389,17.18037441396471,3.436074882792942,13.744299531171768,50.82766830905106,10.165533661810212,40.66213464724085
52,0.0007404576831572834,46.563706385557914,9.312741277111583,37.25096510844633,17.510630571325244,3.502126114265049,14.008504457060196,47.27409686754938,9.454819373509876,37.819277494039504,45.126157004721776,9.025231400944355,36.10092560377742,17.19182362017562,3.4383647240351234,13.753458896140494,50.85174331062475,10.17034866212495,40.6813946484998
54,0.00011629773798202178,46.56211656982444,9.312423313964889,37.249693255859555,17.511287501365537,3.5022575002731076,14.00903000109243,47.27240458490411,9.454480916980822,37.81792366792329,45.126325019415404,9.025265003883082,36.101060015532326,17.192643801155295,3.4385287602310592,13.754115040924237,50.846420762177225,10.169284152435445,40.67713660974178
56,0.00050417495148105,46.54259524366011,9.308519048732022,37.234076194928086,17.504953035519378,3.500990607103876,14.003962428415504,47.252017865707295,9.45040357314146,37.80161429256584,45.10766661840391,9.021533323680782,36.086133294723126,17.18651912543548,3.4373038250870964,13.749215300348386,50.82334881962854,10.164669763925708,40.658679055702834
58,0.0006672865997876229,46.54259524366011,9.308519048732022,37.234076194928086,17.504953035519378,3.500990607103876,14.003962428415504,47.252017865707295,9.45040357314146,37.80161429256584,45.10766661840391,9.021533323680782,36.086133294723126,17.18651912543548,3.4373038250870964,13.749215300348386,50.82334881962854,10.164669763925708,40.658679055702834
60,0.0,46.54259524366011,9.308519048732022,37.234076194928086,17.504953035519378,3.500990607103876,14.003962428415504,47.252017865707295,9.45040357314146,37.80161429256584,45.10766661840391,9.021533323680782,36.086133294723126,17.18651912543548,3.4373038250870964,13.749215300348386,50.82334881962854,10.164669763925708,40.658679055702834
62,0.0,46.54259524366011,9.308519048732022,37.234076194928086,17.504953035519378,3.500990607103876,14.003962428415504,47.252017865707295,9.45040357314146,37.80161429256584,45.10766661840391,9.021533323680782,36.086133294723126,17.18651912543548,3.4373038250870964,13.749215300348386,50.82334881962854,10.164669763925708,40.658679055702834
64,0.0,46.54259524366011,9.308519048732022,37.234076194928086,17.504953035519378,3.500990607103876,14.003962428415504,47.252017865707295,9.45040357314146,37.80161429256584,45.10766661840391,9.021533323680782,36.086133294723126,17.18651912543548,3.4373038250870964,13.749215300348386,50.82334881962854,10.164669763925708,40.658679055702834
