cycle no,1 Ascending aorta [mmHg],2 Aortic arch I [mmHg],3 Brachiocephalic [mmHg],4 R. subclavian I [mmHg],5 R. com. carotid [mmHg],6 R. vertebral [mmHg],7 R. subclavian II [mmHg],8 R. radius [mmHg],9 R. ulnar I [mmHg],10 Aortic arch II [mmHg],11 L. com. carotid [mmHg],12 Thoracic aorta I [mmHg],13 Thoracic aorta II [mmHg],14 Intercoastals [mmHg],15 L. subclavian I [mmHg],16 L. vertebral [mmHg],17 L. subclavian II [mmHg],18 L. ulnar I [mmHg],19 L. radius [mmHg],20 Celiac I [mmHg],21 Celiac II [mmHg],22 Hepatic [mmHg],23 Splenic [mmHg],24 Gastric [mmHg],25 Abdominal aorta I [mmHg],26 Sup. mesenteric [mmHg],27 Abdominal aorta II [mmHg],28 R. renal [mmHg],29 Abdominal aorta III [mmHg],30 L. renal [mmHg],31 Abdominal aorta IV [mmHg],32 Inf. mesenteric [mmHg],33 Abdominal aorta V [mmHg],34 R. com. iliac [mmHg],35 R. ext. iliac [mmHg],36 R. int. iliac [mmHg],37 R. deep femoral [mmHg],38 R. femoral [mmHg],39 R. ext. carotid I [mmHg],40 L. int. carotid I [mmHg],41 R. post. tibial [mmHg],42 R. ant. tibial [mmHg],43 R. interosseous [mmHg],44 R. ulnar II [mmHg],45 L. ulnar II [mmHg],46 L. interosseous [mmHg],47 R. int. carotid I [mmHg],48 L. ext. carotid I [mmHg],49 L. com. iliac [mmHg],50 L. ext. iliac [mmHg],51 L. int. iliac [mmHg],52 L. deep femoral [mmHg],53 L. femoral [mmHg],54 L. post. tibial [mmHg],55 L. ant. tibial [mmHg],56 Basilar [mmHg],57 R. PCA I [mmHg],58 R. PCA II [mmHg],59 R. PCoA [mmHg],60 R. int. carotid II [mmHg],61 R. MCA [mmHg],62 R. ACA I [mmHg],63 R. ACA II [mmHg],64 ACoA [mmHg],65 L. ACA II [mmHg],66 L. ACA I [mmHg],67 L. MCA [mmHg],68 L. int. carotid II [mmHg],69 L. PCoA [mmHg],70 L. PCA II [mmHg],71 L. PCA I [mmHg],72 L. ext. carotid II [mmHg],73 R. ext. carotid II [mmHg],74 L. sup. thy. asc. ph. lyng. fac. occ. [mmHg],75 R. sup. thy. asc. ph. lyng. fac. occ. [mmHg],76 L. superf. temp. [mmHg],77 R. superf. temp. [mmHg],78 L. maxillary [mmHg],79 R. maxillary [mmHg],80 L. superf. temp. fron. bran. [mmHg],81 R. superf. temp. fron. bran. [mmHg],82 L. superf. temp. pari. bran. [mmHg],83 R. superf. temp. pari. bran. [mmHg]
1,99.2729428699679,99.26573045760613,99.3377538733522,99.30293662932911,99.18792047242663,98.33572237524479,98.37989895146781,91.30310326948268,94.98505713243944,99.24667690053627,99.15148868899726,99.21874052158341,99.14666578550407,98.76953884620158,99.29123209640308,97.9225656212703,98.36865606666753,94.97953302519738,91.29987611164985,98.92686740680894,98.81571986357106,98.81484137533306,97.84144268538176,98.06479284337159,99.06395411086177,98.8705530311537,99.07532309498059,98.59310223888488,99.09870848846916,98.58186328234147,99.08113656502759,98.79579447489161,98.97368974641049,98.81245700863957,98.44296554356991,98.02247557974653,95.64924270557405,96.06757491391579,99.20497282425548,95.7655823346161,90.97726298181668,89.19227457630642,93.43222480701239,92.2918833225721,92.28806327812701,93.42920222532172,95.68955075511194,99.113011522453,98.81245700863957,98.44296554356991,98.02247557974653,95.64924270557405,96.06757491391579,90.97726298181668,89.19227457630642,95.3017010036689,93.75666153105169,90.91836491142959,93.21103030671983,91.82160514328619,90.41020374467868,90.64216909554457,89.42878494393513,89.83304164189401,88.35251506759414,91.05752421932685,90.345130016171,91.97034545343533,93.4677903809249,92.76158397516043,94.1561753308114,98.7229751733018,98.78335774851845,94.72810584574017,94.78241060869718,97.58254723902013,97.64111339379264,94.61624276311679,94.67027079285401,93.07009472709811,93.12187691493659,93.04661307164301,93.09835537173983
2,99.42023376954609,99.41219827842373,99.52578563386595,99.48245635184638,99.31154775818031,98.2692093777719,98.22008392555388,88.49973648799023,93.69753246408477,99.38656999661083,99.2648916232421,99.35234486066182,99.2622152991777,98.84284844027808,99.45993998202057,97.70747756991034,98.20591827411687,93.69219617527924,88.49819422080336,99.00158842939184,98.90181002843022,98.93907592565571,97.75469465166674,98.06129474521492,99.16946183469052,98.9725249850431,99.20064902420813,98.6015220071215,99.24017491254448,98.58847431583929,99.22284211415828,98.90883631849269,99.09367916841451,98.9025384602201,98.45730187759943,97.9880192917707,95.04471170721499,95.45385501939111,99.37259814033561,94.89061098506734,89.19051643041365,86.75078084327954,91.7862938252281,90.14649762638227,90.14420849174707,91.78471678654437,94.82701606461397,99.25140634395586,98.9025384602201,98.45730187759943,97.9880192917707,95.04471170721499,95.45385501939111,89.19051643041365,86.75078084327954,94.2947456233743,92.29803248228569,88.66702806382192,91.8396001475277,89.69553428752032,87.72467152008711,88.21533703874918,86.84871130345988,87.42745188840854,85.41128057470199,88.89522958771,87.75574675413677,89.9867393822326,92.14618867782137,91.13742105519947,92.89075362451358,98.70579550783991,98.78574168745942,92.93162431468194,93.00464227853226,97.16426419204784,97.24229681129202,92.82167628213513,92.89447515816855,91.08943629323497,91.16018602088687,91.05364461474059,91.12434725587066
3,94.68184004214422,94.67442160246345,94.76710503493847,94.72777487604218,94.59761614249439,93.73915315804433,93.53789215813292,84.21124056396363,89.23193940328056,94.65214863186361,94.54835509679874,94.62162744685638,94.54253697770122,94.16954552993082,94.70984633042923,93.30327185565997,93.52534208317444,89.22670262123275,84.20929623306868,94.3191114071658,94.21740046444069,94.23860570641426,93.17958639701698,93.44267344291544,94.4590942842806,94.28280060850963,94.48131410878928,93.96233641763845,94.51280890872748,93.95045440916708,94.49421193658341,94.2098883328161,94.37704473962428,94.20354734936518,93.79787728712134,93.38079088193248,90.67981619950078,91.06221869124546,94.63282909848196,90.85481718263986,85.33266502496207,83.06272592643276,87.45372791149178,85.88560911390044,85.88304743129093,87.45155328273182,90.82833945588017,94.52007081037053,94.20354734936518,93.79787728712134,93.38079088193248,90.67981619950078,91.06221869124546,85.33266502496207,83.06272592643276,90.59476937542684,88.93318275182475,86.14543731152692,88.32490395405365,86.58854711357466,84.73829705967499,85.56374202008845,84.3823274981211,84.71049886034658,83.16037568791104,85.90483775789538,84.60138821675659,86.64296494574604,88.53687733325197,88.22400404053055,89.45038217182046,93.99665605255353,94.0718503805864,88.37319206290104,88.44241782588324,92.52661617539691,92.60023042449107,88.27573589936614,88.34482286471057,86.79070693510722,86.85818891568083,86.75543638946318,86.82287813479377
4,89.15366675319926,89.14679146019228,89.22651152023985,89.18904516343022,89.07676501399374,88.2829055630762,88.07432333515372,79.29610544631252,84.01746412792258,89.12683555416541,89.02960281375871,89.09925506150367,89.02802619442869,88.68535751028168,89.17413043218625,87.89301765216567,88.06280965331307,84.01230691932719,79.29382327399018,88.82823221851658,88.72749397958607,88.73919225401261,87.76089780472802,87.99641891830487,88.95154173680982,88.7888276473986,88.9692157360657,88.501236802904,88.99615939372438,88.49021002962871,88.97759103777759,88.71199944706866,88.86888611353096,88.70757042035638,88.33083994098912,87.94716069316803,85.42969092655748,85.79236812360053,89.10025069349838,85.65467621617778,80.46743592243108,78.36768007899147,82.35804587208071,80.89153097112127,80.88871557875738,82.35554077313047,85.62880928141529,88.99750485682868,88.70757042035638,88.33083994098912,87.94716069316803,85.42969092655748,85.79236812360053,80.46743592243108,78.36768007899147,85.44485235989345,83.92629353939957,81.46935964189517,83.3141370465394,81.79055806182315,80.12577222143094,80.8737182983889,79.76183029943506,80.02349387413749,78.65462724954605,81.09019129224137,79.98045178711394,81.81549939836398,83.50336273700731,83.29459283437565,84.39688189687126,88.50193711182139,88.57162810455358,83.23031790823751,83.29459110584948,87.11771025504957,87.18596512451192,83.12999631156372,83.19414275518136,81.7658291536748,81.82850004001958,81.73270060019063,81.7953353497578
5,84.64759379842401,84.64147291151615,84.712115364213,84.6758873941856,84.55765228629492,83.72206914201095,83.65654788719732,75.65036789849715,79.9584492172447,84.62351070743699,84.51070855940472,84.59891828600239,84.53467862178923,84.23158854410933,84.66270149483506,83.3149298074157,83.64554461068852,79.95321162625835,75.64769891055937,84.3600466416814,84.26796307384993,84.27323218675798,83.38550505987442,83.59440487968787,84.46570840151836,84.32378787926338,84.48165062226433,84.06994394992779,84.50574334586862,84.05969968533239,84.48778965620383,84.24505909188736,84.38721693390612,84.23811680169278,83.88864781993968,83.55010175486629,81.22659155234672,81.51637191384694,84.58056742257841,80.96460990389978,76.57635200437787,74.61135872355628,78.46510157589455,77.14041591443922,77.13727071727817,78.46226880810191,80.94948449244578,84.48208323673624,84.23811680169278,83.88864781993968,83.55010175486629,81.22659155234672,81.51637191384694,76.57635200437787,74.61135872355628,80.75045100450097,79.17134085650201,76.72240629224005,78.53613094211146,76.91572827386074,75.12369574230559,76.02733367120163,74.8866916887736,75.14196144581106,73.77332024934715,76.19660466496289,74.98507795702835,76.9312072493575,78.70575240831666,78.50359744733328,79.65342880070463,84.0216312764752,84.09138865314867,79.15923195296449,79.22360137398046,82.74607569296535,82.81439174267827,79.06115821103305,79.12538866812233,77.86508182044183,77.9278476116246,77.83414696345626,77.89687677594229
6,81.52308731688204,81.51716292370256,81.583319721574,81.54888465171487,81.4335318208214,80.60693921692909,80.582327195566,73.03554999786707,77.08019499271947,81.49981578433153,81.38705041852013,81.47563690258305,81.41277076164221,81.12318968594323,81.53506590364047,80.20499970232221,80.5703708623469,77.07380020230453,73.03172225419091,81.24556037556262,81.154893140394,81.15469319225605,80.30594509978829,80.5020903640276,81.34448295914997,81.2062189178615,81.35783822223739,80.96832720036915,81.37981294486366,80.95818694618315,81.36126798278652,81.12422186961858,81.26314551622573,81.11864088686137,80.78210763347296,80.45978829184547,78.23665497111335,78.50577738429574,81.45492324884128,77.89140311111468,73.77328997167331,71.90068323145523,75.6576015151128,74.4273804502783,74.42305391286644,75.65350674037293,77.87221900187942,81.36036255449184,81.11864088686137,80.78210763347296,80.45978829184547,78.23665497111335,78.50577738429574,73.77328997167331,71.90068323145523,77.67847199101492,76.11470680692675,73.72578654273322,75.4884858734262,73.90416190022276,72.1641995384207,73.01794580107735,71.8788300102096,72.12193121570888,70.77563740008415,73.15519149227727,72.04051473967522,73.93123088375032,75.6572400555378,75.45141725893629,76.5960766499122,80.92061285518793,80.9893274379248,76.32630458148242,76.38987314949699,79.70805162772841,79.77540447997609,76.22628112860097,76.28972396341054,75.09760892575986,75.15972312961348,75.06839638039463,75.13047608060843
7,79.78568826647833,79.78036570881785,79.84135028748797,79.80719430606635,79.67936505351972,78.78318154977981,78.90926963132868,71.93453188917194,75.68279355318853,79.76437273528714,79.63298011235231,79.74253559805649,79.68490081486244,79.42760903734485,79.79473776695937,78.34794539953957,78.89785576504255,75.67661768759926,71.9307127865229,79.53677158270554,79.45606158314645,79.45410556661903,78.67617055274098,78.85402242900852,79.62297204877271,79.50331736209885,79.63654767680917,79.28899505139627,79.6572958074563,79.2794858653286,79.6397191018636,79.42280418876139,79.54788704597209,79.41270913860649,79.09535693619517,78.81067197461552,76.7318498035993,76.92429984539014,79.70342395313952,75.84675706962463,72.45638019665809,70.65609252665865,74.39178672071205,73.26161089966514,73.25732601464374,74.38778217834943,75.82897002968437,79.60953840722439,79.41270913860649,79.09535693619517,78.81067197461552,76.7318498035993,76.92429984539014,72.45638019665809,70.65609252665865,75.60391628255637,73.91298832077287,71.37602961360537,73.25960283185702,71.50750162008764,69.60019682342438,70.58317171380179,69.37688518948306,69.63839055972285,68.19887563507169,70.73367072296313,69.48943323724275,71.55030681058659,73.43468607420017,73.20687000194138,74.43826588732276,79.19558290623321,79.26596485653045,74.86338827565059,74.92865625878731,78.06228173540327,78.13130604435686,74.77049464616299,74.8356293063046,73.78479808084003,73.8486579036844,73.75684120388436,73.82066649152124
8,79.29214258536761,79.28696399597223,79.34505946100555,79.31262622085912,79.18257860727986,78.27907576992187,78.45365894306406,71.79876706253962,75.36717091583563,79.2712476391585,79.13595732156196,79.24933479869594,79.19173730071371,78.94023315261768,79.29891812413543,77.83773848872923,78.44100984455874,75.35972221991945,71.7937659749113,79.04600426054076,78.96562928925823,78.95983459534642,78.2055774894225,78.37552406031982,79.12917507698731,79.0095248648188,79.1406828254154,78.80473572172781,79.1599633125223,78.79521799130417,79.14193413807887,78.92719605183981,79.05146385367087,78.91893871176022,78.60920044463992,78.3318408076971,76.31740215073059,76.49928746526335,79.20771709887158,75.30889430818372,72.15315558862362,70.40376007565206,74.11772575945837,73.05481300813247,73.0493081273621,74.1124154221046,75.2884313701124,79.1142941434372,78.91893871176022,78.60920044463992,78.3318408076971,76.31740215073059,76.49928746526335,72.15315558862362,70.40376007565206,75.06311076259071,73.34929015376112,70.7746263586309,72.69406833028769,70.91854264768165,69.00464540997199,69.96983054863796,68.74490446710816,69.01133710057938,67.54360090065522,70.12754322423551,68.89507426678047,70.97064024554908,72.87378147857375,72.63380230045419,73.88502522830372,78.71561366893513,78.7867224082855,74.53526667868982,74.60145413381026,77.62505939110953,77.69488803194228,74.44641275509098,74.51248866838691,73.51765302409919,73.58259118622325,73.49072924002701,73.55563403888266
9,79.66268938777989,79.65791094452244,79.7126349881147,79.68030546640537,79.54257437488953,78.59464029507646,78.86476926694436,72.57674230358695,75.96146849864486,79.64315991984745,79.49615428448087,79.62301722066191,79.56952578544043,79.34238955311255,79.66792985421046,78.13375411944207,78.85284773031195,75.95448472474621,72.57202299852678,79.43813135350877,79.36606160561885,79.36061390880786,78.66011772856847,78.81717255849506,79.51216893587969,79.40730582436416,79.52425229476748,79.21883267349642,79.54283938556458,79.20983146715723,79.52567493718186,79.3277013159338,79.44013046711883,79.31479876523954,79.01892077280314,78.77018424578566,76.86147679674195,76.98168833877338,79.56887072651212,75.48265413911298,72.82338465882192,71.11540378258294,74.80370553220985,73.80096543928805,73.79576422127263,74.79875879656319,75.46281843966963,79.47513005096324,79.31479876523954,79.01892077280314,78.77018424578566,76.86147679674195,76.98168833877338,72.82338465882192,71.11540378258294,75.22547835596062,73.43134044363485,70.74748724898514,72.7484206830589,70.87074875919866,68.85294046361582,69.89149970420229,68.62186399377487,68.90015613514802,67.36592003162393,70.06751109956386,68.73457014805737,70.92429671799265,72.93393112311632,72.69829167256228,73.99527654066767,79.09420253763416,79.16644116692538,75.06241442396879,75.1299109216177,78.05604236299571,78.12705606698734,74.9822116327481,75.04960204097215,74.1623455777791,74.22871349394494,74.13607019030543,74.20240566232559
10,80.82513410243232,80.82051304987145,80.87252848774398,80.8416840638055,80.69992968737498,79.73932221290568,80.0562459832107,73.98543950473129,77.2529452674538,80.80605047611017,80.65318427218655,80.7859414234942,80.73263679435017,80.50821925917715,80.82836706085502,79.26909989467771,80.04340288359576,77.24500664614023,73.97983645822663,80.60251396780367,80.53023524680576,80.52193162241694,79.8392091454589,79.99022797675245,80.67490297717677,80.56930718512203,80.68532229836977,80.38766044247824,80.70273950354155,80.37871157044388,80.68547511140525,80.48928201052169,80.60150360383301,80.4785933575296,80.18880052592569,79.94333637322464,78.08344897904284,78.2010124370547,80.7278662140041,76.56574987666166,74.12990892830015,72.45477317470215,76.12126747918114,75.16358288068744,75.15747594392508,76.1153429661293,76.54571887119891,80.63304610984943,80.4785933575296,80.18880052592569,79.94333637322464,78.08344897904284,78.2010124370547,74.12990892830015,72.45477317470215,76.3075045239622,74.48037630394097,71.72414850746786,73.78746988762772,71.86480804827313,69.80996059247582,70.85856853205458,69.56713081495293,69.8565308210954,68.28052636829821,71.05796701183313,69.68076890174886,71.91925872786759,73.97711113143399,73.73376776373831,75.05502385591353,80.26411266491434,80.33756209385464,76.31471699872738,76.38358766826212,79.2559857578875,79.32827632269041,76.24176992232552,76.31055562191163,75.47111220316908,75.53897258677839,75.44544219954543,75.51327125932617
