cycle no,q[0],v[0],q[1],v[1],q[2],v[2],q[3],v[3],q[4],v[4],q[5],v[5],q[6],v[6],q[7],v[7],q[8],v[8],q[9],v[9],q[10],v[10],q[11],v[11],q[12],v[12],q[13],v[13],q[14],v[14],q[15],v[15],q[16],v[16],q[17],v[17],q[18],v[18],q[19],v[19],Qtree0d[58],Vtree0d[58],Qtree0d[61],Vtree0d[61],Qtree0d[63],Vtree0d[63],Qtree0d[65],Vtree0d[65],Qtree0d[67],Vtree0d[67],Qtree0d[70],Vtree0d[70],Qtree0d[74],Vtree0d[74],Qtree0d[75],Vtree0d[75],Qtree0d[78],Vtree0d[78],Qtree0d[79],Vtree0d[79],Qtree0d[80],Vtree0d[80],Qtree0d[81],Vtree0d[81],Qtree0d[82],Vtree0d[82],Qtree0d[83],Vtree0d[83],Qtree0d[14],Vtree0d[14],Qtree0d[26],Vtree0d[26],Qtree0d[28],Vtree0d[28],Qtree0d[30],Vtree0d[30],Qtree0d[32],Vtree0d[32],Qtree0d[8],Vtree0d[8],Qtree0d[19],Vtree0d[19],Qtree0d[22],Vtree0d[22],Qtree0d[43],Vtree0d[43],Qtree0d[44],Vtree0d[44],Qtree0d[45],Vtree0d[45],Qtree0d[46],Vtree0d[46],Qtree0d[23],Vtree0d[23],Qtree0d[24],Vtree0d[24],Qtree0d[36],Vtree0d[36],Qtree0d[51],Vtree0d[51],Qtree0d[37],Vtree0d[37],Qtree0d[52],Vtree0d[52],Qtree0d[41],Vtree0d[41],Qtree0d[42],Vtree0d[42],Qtree0d[54],Vtree0d[54],Qtree0d[55],Vtree0d[55]
1,28.51481745924447,43.388142354179834,79.42136298854234,69.02441025377232,81.26577885089365,73.26783478972412,86.96077222874503,144.04105815935813,112.23710721859587,186.07799563035616,106.5430048596233,104.6136655434285,79.11973393927374,97.40219602135832,13.930549639013497,4.611589687745852,3.3182747339950707,7.172323811028642,9.094327420341163,4.596455514424777,29.98616929550023,14.19714177867323,32.06415866348809,4.1239932831618455,-19.763917616895913,1.265430974512145,-10.062535313893969,10.06443902284454,7.83321706721387,11.274852108383236,66.63794993052124,30.647629492216332,77.55114579903986,11.521148670556238,0.0,5.286260654573039,0.118079072803957,2.604018849933698,0.22040763329306806,2.599079391731042,2.23768986767129,3.0880372595780217,4.723837291767596,6.446993650753734,2.252125688575853,3.11129759608003,2.2112438103133263,3.073051441368727,4.695226679559818,6.4202138464275915,2.315379230698364,3.160714522684782,0.3356525231268859,0.48634868375790846,0.33579031051826197,0.486477532912558,0.40176508331297783,0.5826791500990243,0.40192894786621713,0.5828323906024107,0.44040625837729647,0.618821375908617,0.44063809331232634,0.6190381731827586,0.4399225580201019,0.6183689903129721,0.4401535365982631,0.6185849868711097,9.284875681593133,12.320276616898198,13.935050566061904,18.695414211815287,11.382575180680629,14.699814684845611,11.380817089998311,14.698273881505733,1.8998808687968856,2.674020584054382,2.4108569940509694,2.500308115532282,2.410612215438922,2.500152854425612,3.6098354061096214,5.046374201098772,0.14715732883567942,0.20904048930639668,2.368277423417481,2.7730234025917215,2.3679684298885637,2.7727882009308313,0.14715259636775183,0.2090357083666307,5.439628711134748,7.1790435776508925,2.3255191780185664,3.1480784737682543,2.346057249207138,3.0125361530726873,2.346057249207138,3.0125361530726873,3.7609348736420847,4.663632544842305,3.7609348736420847,4.663632544842305,3.4864910259481467,4.615949518056545,1.4979172312167381,2.018434158116164,3.4864910259481467,4.615949518056545,1.4979172312167381,2.018434158116164
2,43.03751812587683,49.07952603440864,40.90752490181636,54.52457678526636,43.67377200092487,68.36261572435791,51.93848887222457,132.0143241764787,78.0959912864356,161.70363076753594,86.68470867877122,95.34504123122849,103.10102710351109,97.66060352036521,19.74348510017428,4.609533839524058,20.709193156754854,7.230897607085746,22.764174002780344,5.55288008162634,27.939207843457513,22.907364172596395,28.15687642950252,4.3374291449202635,29.428036459153617,1.1448120452478028,30.759116680377403,10.866155281640303,35.604377824979096,16.413689111021803,75.45310907985119,79.22074003277329,76.61183123808964,14.125470406240495,0.0,5.365715896235338,0.13322700438313487,2.4933343939911277,0.2607614990038247,2.4872588975447694,2.0930174277066875,2.8561002412892695,4.505823840194303,6.044383583572358,2.103603413033194,2.8748168284836373,2.0413331225266065,2.8166016380270347,4.472556996561203,6.013286168714521,2.2098654051570934,2.9653385656096836,0.2649185792696945,0.4036669324168167,0.2651573085869506,0.40389011130701374,0.31609671999876054,0.48271098685143804,0.3163813835887952,0.48297711044853175,0.39141007959917207,0.5531212954793421,0.39179145015733063,0.5534778198663732,0.390555699195943,0.5523225633494735,0.3909359397008351,0.5526780313950012,8.905900905443996,12.016882469250392,13.45998693415742,18.31301459282044,10.745794158081203,14.192166749534389,10.743846917941813,14.19045945533218,1.866092259931924,2.6505547575854624,1.7846578652842455,2.007747435370251,1.7846575078102804,2.0077474550696244,3.5431159279609674,4.99887700584357,0.14619888763629732,0.20229452790993174,2.060475572245687,2.444279692868907,2.060382420643165,2.444208806442757,0.14619888733979985,0.20229452772537979,5.1420830892423215,6.939653617867988,2.223148114964362,3.065708577875305,2.2256174783653107,2.9195877787270144,2.2256174783653107,2.9195877787270144,3.3888298502898304,4.380008865837872,3.3888298502898304,4.380008865837872,3.1094435529402857,4.309386971104477,1.2850178217529127,1.8432200322572527,3.1094435529402857,4.309386971104477,1.2850178217529127,1.8432200322572527
3,52.724671499348375,54.867360828099635,44.932164381601154,56.81084928703348,46.51906892536066,66.92115399988704,51.413519159026784,126.50846086672777,71.515940676222,139.15118972291606,78.1543751834641,85.7174701916468,89.76776802594804,89.14650210184821,19.397328499461455,4.563470743680341,20.0838752978965,7.876400970294209,21.660408778786355,7.187117773874882,25.289891973478067,27.645409059276204,25.242780734737053,4.377074621980344,36.99960649072223,1.050487500397525,37.970302146490084,11.843189730096196,41.99783624441676,21.40299248396551,72.25082816893371,114.75002333272596,72.60214367094832,14.856523537547526,0.0,5.180512402930441,0.10500906592635363,2.381161896639606,0.20537209627888095,2.375616975114442,1.6349773504078178,2.7919969212701656,4.276698109194202,5.844409718584805,1.592719144387792,2.801922558910879,1.6355701103253595,2.75053889335493,4.292798608279942,5.806371673364408,1.5516616377723504,2.8870643609319893,0.2478014004957981,0.3794914514889189,0.24804729853100904,0.3797259500442251,0.2955145719490083,0.4536276591321338,0.29580818879683934,0.4539076642487429,0.3750723315013244,0.5294971478625596,0.37545278678243493,0.5298599626947991,0.3742127309974263,0.5286774046210583,0.3745922146689414,0.5290392929253511,8.397480174946834,11.575330378931406,12.678815268191304,17.62126835717766,10.152468379935701,13.700362783153142,10.150778488705637,13.698848279140776,1.749770822820292,2.538802249533912,1.6791737782562752,1.9024405983940476,1.6792486450375084,1.9024896972999912,3.3233134669698696,4.7897144679415495,0.13938867246815287,0.19340183861250754,1.971397875328084,2.3424070211840635,1.9713818720016745,2.3423944026219146,0.13938667365383908,0.1933997834669553,4.858264086623449,6.696977754760192,2.0975610366280653,2.9540136098320113,2.101391024640298,2.816069787090133,2.101391024640298,2.816069787090133,3.2104264814150274,4.238981549655006,3.2104264814150274,4.238981549655006,2.9547341947652743,4.174382128859704,1.2213922252597225,1.7855550890727856,2.9547341947652743,4.174382128859704,1.2213922252597225,1.7855550890727856
4,57.738488563577924,58.907357339626586,52.11921000920726,60.44860560022202,53.00466591706059,66.51686224568718,55.801771915125954,123.90432320753229,69.47874606010393,122.89934916948701,73.67654140266517,79.37654049785363,81.21843606480682,82.9107273039984,18.907577902471832,4.505372688312211,19.44064570376966,8.369026761787941,20.693568279944007,8.432962932399233,23.771438538910807,31.14354804292199,23.82907321242917,4.455048722411498,41.535409067764796,1.0079544115322119,42.301069566738484,12.585173019739202,45.6216971531491,25.19727033412255,68.20169532281636,141.20723525667646,68.35575009603339,15.165228371185126,0.0,4.9556459435230344,0.07169394213703478,2.300140577087779,0.1399363140071581,2.295771292353767,1.56484734580424,2.6745044298964076,4.043926194238578,5.549719775740838,1.5216767885739622,2.680695870548124,1.56280096755836,2.631741091260551,4.055182895836937,5.509888207708184,1.4849907896241332,2.765487432426253,0.23227723504082165,0.35888898840803446,0.23251050935566944,0.3591114453973083,0.27696303704174446,0.4289785297837421,0.2772416451145536,0.42924421782627015,0.35286737871714347,0.5013625778619482,0.3532241145446581,0.5017027702317558,0.35205608482438194,0.5005889095570428,0.3524119530277591,0.5009282745399718,7.897858994140387,10.946820719919389,11.918952748194506,16.657548095711654,9.559986563170325,12.969621472381254,9.558411215995488,12.968209707853013,1.6415877828703276,2.3957633866900827,1.575767692913036,1.8021287735602647,1.5758243089222441,1.802165892446562,3.118404607725597,4.520540528519489,0.13070716036934388,0.182446877779901,1.8543710588659057,2.2184169114457344,1.8543443761092462,2.218395947928533,0.13070423979828047,0.18244387437767573,4.572365013873908,6.337481588035599,1.9724333435033596,2.793418807448999,1.977320813501114,2.6644463698562517,1.977320813501114,2.6644463698562517,3.026868676850927,4.018066175656186,3.026868676850927,4.018066175656186,2.7867325655586317,3.957988576428156,1.1537210853504325,1.6950453677325146,2.7867325655586317,3.957988576428156,1.1537210853504325,1.6950453677325146
5,60.672706515457726,61.73243043436493,57.08924034218,63.043306671799975,57.63479595335698,66.34528444602948,59.37784982204483,122.44590315615109,68.60147396728331,111.94293102562044,71.26410345479412,75.40010041981661,76.1938695951853,78.56548108923619,19.338118527697677,4.455563885856824,19.671428870001233,8.722487514638042,20.462266569309897,9.336486933358545,22.62349000473385,33.86501999336462,22.6713063932254,4.514519846860063,43.04403852310006,0.9728157409015721,43.52289275837464,13.114169315589619,45.667932154895524,27.97109421041736,60.41140164276238,160.0024598395501,59.80082889598362,14.68315088292899,0.0,4.427436596396309,0.04862515737895589,2.245534387604254,0.09474824801799785,2.2421376524135352,1.5740481448110548,2.516953890741353,4.19671372331207,5.2151821364041195,1.5372874446310503,2.5171551967405814,1.5659490663571396,2.470093615370252,4.215592771170633,5.17494829019666,1.5166542072252163,2.603373758893101,0.19903306239940907,0.3477808839710043,0.19924063533637434,0.34800531138941976,0.23732727437385492,0.41570072166395683,0.23757509628896128,0.4159686658825314,0.301318500747765,0.4848844593608043,0.30163529261038285,0.4852269740237026,0.3006383325174012,0.4841491002535321,0.30095435747612254,0.4844907857376706,6.877478528450552,10.486057424253014,10.387684479675636,15.941601142088173,8.30620526456786,12.449612073096567,8.304866382914392,12.448239160012754,1.4355233486892127,2.2847053405068922,1.3097336906110595,1.777591270417175,1.309734833628708,1.7775920657765858,2.7263116377831964,4.312426271027226,0.11172237960751039,0.17471843467994455,1.5590904181213994,2.1632642950054266,1.5590315080797366,2.163210407966729,0.11171895129290178,0.174714495587471,3.979559428375186,6.078207286715184,1.7195491736001005,2.6750757845148105,1.7213564803576715,2.555213151838512,1.7213564803576715,2.555213151838512,2.6332807695605474,3.865637640145947,2.6332807695605474,3.865637640145947,2.439450909294536,3.798243677309775,1.0138793777277098,1.626903602564964,2.439450909294536,3.798243677309775,1.0138793777277098,1.626903602564964
6,62.78624385872595,63.589221290366424,60.25567549861838,64.75974720025295,60.60739106563998,66.23931430221839,61.73485788412437,121.51810743089483,67.90573032840328,104.55780920821755,69.62631926291438,72.86315926254815,72.83219053816553,75.78982420016466,19.454772385040297,4.419076310032141,19.706598826520004,8.956488234724198,20.3039177693566,9.927402883609384,21.778985913130295,35.66353759435183,21.792390208970787,4.544500174897547,44.58751232051584,0.9453377902497486,44.9516449297791,13.471035505192669,46.563019669148396,29.838206922371885,57.27938202875831,172.61079826992196,57.3274325178619,14.656528750969898,0.0,4.285538235946924,0.032348877773885246,2.2089022449458184,0.06300980081479642,2.206280787138783,1.49489444977211,2.4071719851346405,3.995095280588836,4.9950831154493365,1.4560598762060206,2.403071038806712,1.482696291582736,2.3579507535520228,4.011511230239875,4.955441720285484,1.4400902703039897,2.4888715249103077,0.19461183785875066,0.33926311378741564,0.1948236289418833,0.3394921037475554,0.23208684090605125,0.4055505596854194,0.23233975616741273,0.4058240133762576,0.29276818780547736,0.4711584636988865,0.2930890525708872,0.47150538386924074,0.29212652421015317,0.4704647041107547,0.29244664201269305,0.4708108166732537,6.623484269335314,10.11534437933701,9.998397141480845,15.371809630675049,8.009522635918648,12.020684948952871,8.008210241235629,12.019339212017893,1.3800519098262976,2.2007580464605194,1.3002060457569078,1.7492797325085048,1.3001966680725496,1.7492722682675252,2.6212724981613067,4.154417132442299,0.10756413352668931,0.16863385023007108,1.5229596262297274,2.109535610044885,1.522880558622586,2.1094633935829563,0.10755814691505293,0.16862697220339035,3.835583445167013,5.866646908759745,1.6558603698949075,2.580214013921132,1.6588249790274625,2.465933229747339,1.6588249790274625,2.465933229747339,2.5447408756328302,3.738003132021786,2.5447408756328302,3.738003132021786,2.354398817246346,3.6697878233634875,0.9793808728597713,1.5727919229645526,2.354398817246346,3.6697878233634875,0.9793808728597713,1.5727919229645526
7,63.6804494879397,64.73670604679727,62.45374071899469,65.83511809086058,62.681396643440294,66.18660313348047,63.41613292581219,120.94569758864031,67.60152166939551,99.61074412737756,68.70249523085924,71.22252882370192,70.77976864058546,73.89432611933799,19.979149822313797,4.398955966918631,20.07370865541879,9.099700656171834,20.29859505267807,10.30167563628085,21.05299790245024,36.84600480400722,21.054184340774924,4.544904614310232,44.242048657185705,0.9210602145531402,44.376198635167114,13.681852902836106,45.01714897234022,30.989651896794175,50.174737218605074,180.7060953023728,49.30303750394106,13.903907636577305,0.0,3.769220181109771,0.022150024149230424,2.1843093476379365,0.04305320825557735,2.1822049117480407,1.5630028645978737,2.3184748196141824,4.2059455621401005,4.816565015205725,1.5252794369443823,2.3108253565824493,1.554078242614123,2.264072438704073,4.2275871568707455,4.776480972182032,1.5046083048069399,2.4024152413475037,0.16350214135356458,0.33990566715383136,0.1636867492567933,0.3401477113808677,0.19501659020253187,0.406330790955893,0.1952370489027014,0.4066198397296818,0.24436620784733823,0.47103135146040476,0.24464388212057425,0.4713954169195362,0.24384801598730615,0.4703519695462508,0.2441250654994386,0.4707152158651069,5.654632649957309,10.008877072004204,8.546915742487675,15.193107758113609,6.814132496020859,11.922681333138273,6.813066982232065,11.921340447619073,1.186103645637789,2.1661095127628918,1.0488667553056372,1.7871640039440844,1.0488274939310593,1.7871232278765998,2.251893295365831,4.090554684052538,0.08996334159074332,0.16680487179537096,1.244460313103616,2.128503580158113,1.2443713279915496,2.1284013800388584,0.08995831267409261,0.16679800101596634,3.272288480508794,5.814266061209191,1.4163240099163952,2.5526966943005207,1.4155975202281355,2.4436253708272337,1.4155975202281355,2.4436253708272337,2.169500209943596,3.7192452915149974,2.169500209943596,3.7192452915149974,2.025329125637723,3.640612706906353,0.8467031721090287,1.5603545303813369,2.025329125637723,3.640612706906353,0.8467031721090287,1.5603545303813369
8,64.44574015537808,65.28006559652634,63.598410559266505,66.36882516734894,63.75625894560033,66.12011558843102,64.2602546174919,120.50333655411373,67.01839748766854,96.25074086267753,67.7228887611757,70.16954783245546,69.00940365388162,72.93905443145125,20.184147524676487,4.393181982545465,20.26453362769123,9.164256515938574,20.45061546351707,10.463838148635372,20.925302308109785,37.411480207807195,20.946754338290894,4.567311329911886,44.68962075921044,0.9186743891278937,44.80499055200346,13.783040986052743,45.29303899579354,31.533844979070853,48.79280741205853,184.8381629611521,48.868438196972825,13.832083329191391,0.0,3.742903883440029,0.014170860583093725,2.167899647976891,0.02756875935227956,2.1662286479805437,1.5338796832082722,2.2868093279784145,4.1430838948900375,4.762460357786169,1.4946912294002803,2.277170858001502,1.5211372676363728,2.2296018336298338,4.162913367056719,4.721810475200128,1.4790131914399611,2.37191178147516,0.16666667380827832,0.3437392690624768,0.16686202736129133,0.34399540701622255,0.19884980782752276,0.4109790876842095,0.1990832182906435,0.4112851242432167,0.2470663708874637,0.4741972788035692,0.2473569252291384,0.47457823832036056,0.2465661104617785,0.47354137265005136,0.2468560510563756,0.47392152746878746,5.6433121050569754,9.976525459244192,8.522181580898383,15.134765374128623,6.813647049397293,11.900436012933945,6.81259749358407,11.899115239660377,1.1802717668420175,2.1544257173776566,1.0893069378024909,1.8274205329997022,1.0892660870005355,1.8273781980257904,2.2410756141383144,4.068905034848565,0.08978066142390323,0.16644440134214714,1.2662537920355512,2.1518908074230847,1.266154172029245,2.1517764845423852,0.08977345869070533,0.16643456083815408,3.271212062367614,5.80207294963548,1.4139425140632533,2.5448511830875846,1.4145498953702274,2.4377208130283345,1.4145498953702274,2.4377208130283345,2.1793813456284803,3.723432808497073,2.1793813456284803,3.723432808497073,2.0337133617103778,3.643371735480224,0.8519754412340237,1.5634069475776202,2.0337133617103778,3.643371735480224,0.8519754412340237,1.5634069475776202
9,64.39694659303234,65.4978227350996,64.38494789253284,66.58611993921454,64.48943596939675,66.07843717483833,64.824320196244,120.21354656755798,66.68329486415627,94.03104677558152,67.11065850153703,69.49486856811684,67.89996354471002,72.32818772278793,20.57773454700494,4.398627027920796,20.543569248466852,9.185422936836611,20.45820326611235,10.527959326149984,20.350385365726066,37.657000095543935,20.298675367773697,4.521477363819339,43.74617941061603,0.8949698476777105,43.694011153947855,13.810662832449498,43.4994605496414,31.733617174211492,43.43152040213316,186.74056710666324,42.577432324948916,13.116559017808601,0.0,3.3289226823912417,0.00969133557714312,2.157085271768423,0.018786409043912506,2.1556624171014804,1.5692465656326728,2.273902846607604,4.268999652494942,4.738519450562636,1.5304625036776165,2.262895989180095,1.5644577597101827,2.213706918217299,4.295205749645744,4.696672093551018,1.5014527096908306,2.361600833199069,0.14362196922176368,0.3533361994747452,0.1437909921558197,0.3536084718670305,0.17141112254741342,0.4224960911609208,0.17161314573708422,0.42282152182266663,0.21089749309557287,0.4861012813037624,0.21114610029965597,0.4865017518678628,0.21049178968577809,0.48544776958476915,0.21073990291998984,0.48584744443529826,4.871517598521804,10.13536524061094,7.3649226619185315,15.359139548755975,5.863896426077759,12.117229842314519,5.8630513011892145,12.115909556597414,1.0248682196280663,2.1774912415094487,0.9046490899203569,1.905347411662568,0.9045986270186926,1.9052790203669403,1.9451694555450654,4.113881711130448,0.07653467040790492,0.1688989065723442,1.0595532822556926,2.2204413684972715,1.0594586169941507,2.220303731161319,0.0765290454450341,0.1688896280502021,2.8229958834816498,5.904912758060049,1.2229809468045842,2.585676062672552,1.220862623253973,2.480405974082427,1.220862623253973,2.480405974082427,1.8809877453081114,3.805752281703254,1.8809877453081114,3.805752281703254,1.7714711610920844,3.717449914928161,0.746055935139222,1.5964553016280412,1.7714711610920844,3.717449914928161,0.746055935139222,1.5964553016280412
10,64.49155384942993,65.34348090590082,64.52871167084669,66.48411895597611,64.60762382847989,66.01027340010636,64.85315436038273,119.93801023740217,66.02612854384343,92.52596297225944,66.27791637756842,69.08402158810179,66.67486828929744,72.28833502379793,20.77285940885781,4.4131179481733325,20.75908534870294,9.158085932142525,20.717650493290627,10.4583842020246,20.647585077439377,37.52583659065623,20.678667851358625,4.542403285416642,43.70214868219128,0.9086360077190923,43.680239633751704,13.772102880666775,43.54169765718623,31.550646545413958,43.09387726920029,186.27732260979855,43.16921345327267,13.034066139379686,0.0,3.3610090978549496,0.005635989670103943,2.150078062253326,0.010954151633152697,2.1488910458501636,1.5846409131774657,2.3000242933526565,4.318998859586722,4.79896762827936,1.5453103562587494,2.28877932980023,1.5782981786804624,2.237822137995225,4.34421314598478,4.755638267557838,1.5184393419282987,2.3910855686009556,0.14978851182048863,0.36514123357052863,0.14996731060630608,0.36542926052648883,0.17883427309815605,0.4367006382838965,0.17904809601611138,0.4370450859143677,0.2181490286803167,0.500032098609057,0.21840894958266366,0.5004508044264285,0.21775090029289096,0.49939076136585664,0.21801033973440662,0.49980869161084474,4.975404836238955,10.324604407416173,7.514767364461447,15.635338438779876,6.0013479897881,12.362118772364251,6.000520846557432,12.360826634592796,1.0432150048355615,2.2125563555303214,0.9567145578886208,1.9863818891554659,0.95666499485072,1.9863147916869592,1.9801864188082938,4.18050166403826,0.07813166954768165,0.17218698954185133,1.1011299927503853,2.291428261227635,1.1010320507244888,2.291285931342719,0.07812472168511748,0.17217552886671136,2.8889784316267204,6.023694915617118,1.2497643985659133,2.634875420191342,1.248762961755773,2.529289090397549,1.248762961755773,2.529289090397549,1.935650992739914,3.897220797739966,1.935650992739914,3.897220797739966,1.8242004949785682,3.808240873226915,0.7704822766039979,1.6383858122909514,1.8242004949785682,3.808240873226915,0.7704822766039979,1.6383858122909514
