cycle no,1 Ascending aorta [ml/s],2 Aortic arch I [ml/s],3 Brachiocephalic [ml/s],4 R. subclavian I [ml/s],5 R. com. carotid [ml/s],6 R. vertebral [ml/s],7 R. subclavian II [ml/s],8 R. radius [ml/s],9 R. ulnar I [ml/s],10 Aortic arch II [ml/s],11 L. com. carotid [ml/s],12 Thoracic aorta I [ml/s],13 Thoracic aorta II [ml/s],14 Intercoastals [ml/s],15 L. subclavian I [ml/s],16 L. vertebral [ml/s],17 L. subclavian II [ml/s],18 L. ulnar I [ml/s],19 L. radius [ml/s],20 Celiac I [ml/s],21 Celiac II [ml/s],22 Hepatic [ml/s],23 Splenic [ml/s],24 Gastric [ml/s],25 Abdominal aorta I [ml/s],26 Sup. mesenteric [ml/s],27 Abdominal aorta II [ml/s],28 R. renal [ml/s],29 Abdominal aorta III [ml/s],30 L. renal [ml/s],31 Abdominal aorta IV [ml/s],32 Inf. mesenteric [ml/s],33 Abdominal aorta V [ml/s],34 R. com. iliac [ml/s],35 R. ext. iliac [ml/s],36 R. int. iliac [ml/s],37 R. deep femoral [ml/s],38 R. femoral [ml/s],39 R. ext. carotid I [ml/s],40 L. int. carotid I [ml/s],41 R. post. tibial [ml/s],42 R. ant. tibial [ml/s],43 R. interosseous [ml/s],44 R. ulnar II [ml/s],45 L. ulnar II [ml/s],46 L. interosseous [ml/s],47 R. int. carotid I [ml/s],48 L. ext. carotid I [ml/s],49 L. com. iliac [ml/s],50 L. ext. iliac [ml/s],51 L. int. iliac [ml/s],52 L. deep femoral [ml/s],53 L. femoral [ml/s],54 L. post. tibial [ml/s],55 L. ant. tibial [ml/s],56 Basilar [ml/s],57 R. PCA I [ml/s],58 R. PCA II [ml/s],59 R. PCoA [ml/s],60 R. int. carotid II [ml/s],61 R. MCA [ml/s],62 R. ACA I [ml/s],63 R. ACA II [ml/s],64 ACoA [ml/s],65 L. ACA II [ml/s],66 L. ACA I [ml/s],67 L. MCA [ml/s],68 L. int. carotid II [ml/s],69 L. PCoA [ml/s],70 L. PCA II [ml/s],71 L. PCA I [ml/s],72 L. ext. carotid II [ml/s],73 R. ext. carotid II [ml/s],74 L. sup. thy. asc. ph. lyng. fac. occ. [ml/s],75 R. sup. thy. asc. ph. lyng. fac. occ. [ml/s],76 L. superf. temp. [ml/s],77 R. superf. temp. [ml/s],78 L. maxillary [ml/s],79 R. maxillary [ml/s],80 L. superf. temp. fron. bran. [ml/s],81 R. superf. temp. fron. bran. [ml/s],82 L. superf. temp. pari. bran. [ml/s],83 R. superf. temp. pari. bran. [ml/s]
1,79.31821688203333,69.74348295961641,10.079650661517924,3.538985759971509,6.617449343206243,0.9810933914101743,2.687312114834443,1.1763714300507706,1.585235123883281,65.63151544825168,4.682091085414212,60.9060318214311,54.18184024650599,7.617976950699959,5.411673753598565,2.860815099104844,2.6877250927805956,1.585497788556169,1.1765639059225523,9.290623628240937,6.204287608032485,3.110529654761074,4.3263180296451464,1.8947256433816595,45.543923189077816,11.62603925476546,34.16929386683222,9.051538221262943,25.215730243045925,9.050200737687815,16.533823295188128,1.6432788663853826,15.28089686698127,7.7345357318809445,5.925359197547464,1.8885564529072216,2.7211236484623025,3.3188228534861426,0.8929115967749595,3.761827201721749,2.4542474480706784,0.9694204181408369,0.11885255820180374,1.4800250707444769,1.4802923603326312,0.11885238738417131,5.77508412075431,0.8824839447753143,7.7345357318809445,5.925359197547464,1.8885564529072216,2.7211236484623025,3.3188228534861426,2.4542474480706784,0.9694204181408369,3.850488305042401,1.5901873438434087,1.5865900675724418,-0.0038978273339313786,5.8008776513886655,3.496353811032522,2.3219113413439083,1.6223166865567897,0.6986632898788745,1.523088530554902,0.8245113862859264,3.454604993091071,4.273950055783203,-0.4970481169174215,1.7635969464704717,2.255113905125569,0.7370509528472178,0.7382068035451028,0.1632498754694558,0.16349993480365096,0.5497481974520586,0.5505776001759255,0.19427781733800126,0.19457598466291526,0.2774805175469889,0.2778883471226464,0.27649396782818214,0.2769005025266179
2,103.01708476226426,89.43758623793197,13.61426187516011,5.023171156241362,8.596009886207858,1.2492124937197149,3.782614286642594,1.6574355799615208,2.130780700225578,83.40819889580195,6.068974216327938,75.99031404886439,67.1775543154945,8.87472206350783,7.465373810843418,3.6921771186534262,3.782861510248688,2.1308765491344395,1.6576004113035692,10.859573123526074,7.335881932201663,3.5253479839460966,5.120848495302441,2.216136299256892,56.363326388564694,13.423479876141597,42.957316379265194,10.701882750597948,32.26223839435335,10.70009901307623,21.587742547120456,1.8567525415105501,19.7580809772311,9.885537604244881,7.6729938068794405,2.2179653867642966,3.358051597805968,4.322460990025753,1.2578302808995494,4.753575951263548,3.072673141326486,1.2559801149373864,0.14415468219927802,1.987683694467737,1.9877801237025532,0.1441552110858582,7.370760942735702,1.2458201732002476,9.885537604244881,7.6729938068794405,2.2179653867642966,3.358051597805968,4.322460990025753,3.072673141326486,1.2559801149373864,4.919680512030837,2.0450769514039577,2.035706701056578,-0.0077455260480701294,7.382240224621804,4.36639994616568,3.036423956677185,2.1008845543275765,0.9333874566405324,1.9927620718046721,1.0602156642991363,4.346469986460563,5.400237030728964,-0.6456817763849972,2.224547124443052,2.8652226357686827,1.0256691680538224,1.026890532411544,0.2348422471916604,0.2351261566364017,0.7463700093508326,0.7472477677226192,0.279831781263433,0.28017112137012684,0.37386756306294583,0.3743057872939973,0.3728487146564373,0.3732858287703018
3,89.81128518766862,78.17335830562786,11.869004806618014,4.504530547672625,7.39941127588971,1.0169080017394538,3.545753272000815,1.5830884017136644,1.991023833179817,73.12663603101107,5.307774131904256,66.9449293584156,59.404826847679004,7.949078000347821,6.495759010865805,3.0113445692988514,3.545733467247501,1.990954090757187,1.58312372457324,9.703883530108694,6.572165585811439,3.142711560156845,4.596908820434428,1.982687334093114,49.99952844317624,12.007476504414896,38.10698917489686,9.627065981167721,28.524690102400754,9.625302118253535,19.067814622533355,1.655190352872932,17.591162975481026,8.838545727811068,6.882496196136631,1.9920430202405155,3.0441380035232495,3.8878633100593265,1.1894115979801447,4.07532281172066,2.7792127613129125,1.1465718620601142,0.1313244949581487,1.8640289850073928,1.8639581015810236,0.1313238070556768,6.245803550890143,1.179726630553984,8.838545727811068,6.882496196136631,1.9920430202405155,3.0441380035232495,3.8878633100593265,2.7792127613129125,1.1465718620601142,4.018823035574877,1.7128894063136992,1.5907893373464699,-0.1201751925967845,6.374146626931367,4.00660959100171,2.3861096748986745,1.5909740172599975,0.7941066258105282,1.5972873475970002,0.8037078381192357,4.02351877365785,4.820015242013463,-0.7399261434215056,1.5644675714075937,2.300432367437765,0.967388061164343,0.9684244637103387,0.22739824859676913,0.2276439098698062,0.6991074268206782,0.6998525463708745,0.271217619891609,0.2715113204029317,0.35077446350570907,0.351148084198944,0.3499208664803836,0.35029360027844325
4,81.31795194981268,70.83293486208292,10.792822703393545,4.121281953063501,6.7182781813465775,0.9179146579089742,3.2810344845475776,1.4739786366995313,1.8443247152170745,66.34183013403891,4.838676901176107,60.852325598222784,54.095391743870664,7.301460626978635,5.907692557867479,2.7085258742310563,3.2809494448068857,1.844231799168759,1.4739830027761223,8.897464137778941,6.032523053149239,2.8795971752386156,4.222563528579316,1.819861716013648,45.59537598704196,11.026103153312818,34.72224941622881,8.85263988882266,25.929188129470898,8.851019919695371,17.3022788409929,1.5166638000330097,16.023104919980145,8.068694248052406,6.285176627860451,1.8314361382484479,2.7990274353185547,3.55201022913407,1.1020413308971522,3.7012759532855957,2.550201954986029,1.0521414705262317,0.12073692541054806,1.729197991376364,1.729108304229558,0.12073340131661041,5.653361624587749,1.0949196999274766,8.068694248052406,6.285176627860451,1.8314361382484479,2.7990274353185547,3.55201022913407,2.550201954986029,1.0521414705262317,3.622340941643065,1.5576864867169267,1.4153129452304063,-0.13949346883535899,5.803963683649859,3.6871871332889232,2.1345972879120727,1.41093729025754,0.723930226310229,1.4250597835824783,0.7013579186165787,3.712027109175161,4.404768111428536,-0.6965271332141513,1.369467508123863,2.062919682336091,0.8962465384890156,0.8971875794313577,0.2122930266885379,0.21251583903062596,0.6469159819310096,0.647593495393122,0.2532325562060672,0.2534988227477258,0.32489091211368243,0.3252308059226322,0.32411465647856225,0.32445372318139926
5,76.22890803903593,65.79971519390908,10.616179360657481,3.87329980227411,6.771184493758643,0.9485522004264701,2.9717304938415654,1.3351165651955854,1.6578135018942544,61.153795584470316,4.85715973905758,55.69903007494629,49.44117459550144,6.588596554949094,5.7088121601234,2.786640587740495,2.971678281298645,1.6577514608551174,1.3351315319287964,8.0447405099396,5.460694197134094,2.5929342224986156,3.820504213961071,1.6461487846766616,41.63776412861048,9.941941671779281,31.788673702997936,7.994453145288628,23.83037248462339,7.993148538384789,15.973215438417956,1.365583757585407,14.75165205035494,7.4104396525953256,5.78472659403501,1.6546900674839693,2.5462919169968563,3.2778037856852467,1.0081554251833789,3.8093336307503027,2.337156319968017,0.969584557293079,0.10721605498180456,1.5535152667255898,1.5534584591745402,0.10721144199491232,5.79632457789655,1.0031110185767322,7.4104396525953256,5.78472659403501,1.6546900674839693,2.5462919169968563,3.2778037856852467,2.337156319968017,0.969584557293079,3.724652039090015,1.5968327828952302,1.4219776240603106,-0.17052021641147802,5.975518417793197,3.837872072141157,2.1564435566057045,1.4236032594293615,0.7339634049788558,1.4207014484558191,0.6868834402349107,3.8647600209123962,4.5410462265971026,-0.7267085095024116,1.4034726947509397,2.1278919700991477,0.8179537392209829,0.8188933656873196,0.1951614689008145,0.19538250127593332,0.5874098782480817,0.5880827539195175,0.23288878301397786,0.23315281803444918,0.29463729866579336,0.2949734067661603,0.29398143873562255,0.294316750351557
6,72.86480981951678,62.78836299962029,10.251442180996921,3.6656513393719914,6.6122659374731,0.9331881876989689,2.776694249790879,1.2466873877461586,1.5512062905577488,58.259689059993704,4.726374434587945,53.02226726003238,47.0526223670398,6.279271876963714,5.475187125939767,2.7450593549144404,2.7765327859378868,1.5510833531649837,1.2466485858027987,7.671818836748756,5.195759761606651,2.4844182155851002,3.6331179285443795,1.5682885916222247,39.60680368743002,9.486325514649538,30.207484532759594,7.599876791288093,22.641493519379104,7.5985392428977026,15.17040301494964,1.3088888741759723,13.996573451851836,7.0307977063349245,5.4837519082287685,1.5743763635066441,2.412451993668483,3.1089164550283366,0.9487486074167735,3.738332913712928,2.2173889713667267,0.9203144395162451,0.10183678963814041,1.4525582877350487,1.4524421134188843,0.10183009312982211,5.695360958971611,0.9451724213965094,7.0307977063349245,5.4837519082287685,1.5743763635066441,2.412451993668483,3.1089164550283366,2.2173889713667267,0.9203144395162451,3.666278795863234,1.5766581961345176,1.399099483334974,-0.17238277638680055,5.875016460023182,3.7603859308968204,2.133369350482331,1.4061395001827477,0.7288298459735156,1.3991337804303379,0.6704287468357972,3.7897709895396243,4.448732835538431,-0.7064723732625889,1.3863027939731518,2.0910903096510416,0.7695954553952772,0.7704778310461684,0.1840172086658919,0.18422782002589952,0.5522321742213175,0.5528642491808555,0.21958741498243695,0.2198391537478833,0.277020078856934,0.2773368410303576,0.27640313369529546,0.27671918311622523
7,70.71112194807591,60.21274106267785,10.503388588665747,3.572716148373417,6.93113435313306,1.001553733994901,2.5720491711691804,1.1518835736658661,1.4190505435706775,55.294127408982554,4.924566272309742,49.79602264415743,44.06148040597292,5.743450593934862,5.5050120954863155,2.9339583661534236,2.5719764648254246,1.4189885557182553,1.1518800244482947,7.042975344118456,4.778382453594191,2.264794781628738,3.3382085081649353,1.4402516953158935,37.02491399302371,8.665584597311762,28.361737683310686,6.959908097647679,21.402754506035674,6.958912940378097,14.447329893139766,1.1929372342317879,13.25797659163539,6.6297907202679225,5.187746684149418,1.4425997692029382,2.2358476134934953,2.9520073899666226,0.8899762405265772,3.9874281802345415,2.079813740349066,0.8706601779883227,0.09159268773134191,1.3269613764245913,1.3269060799813914,0.09158680327481294,6.068053033046017,0.8872960373314852,6.6297907202679225,5.187746684149418,1.4425997692029382,2.2358476134934953,2.9520073899666226,2.079813740349066,0.8706601779883227,3.9145730673001853,1.6835406634679777,1.485427185922412,-0.19200908186453758,6.2635649229129635,4.0160587029761805,2.267406627026598,1.494949712871776,0.7743064872852342,1.4826722451393135,0.708534442366417,4.045652499109915,4.741558614274639,-0.7532264667910297,1.4806370917569995,2.2325440116607576,0.7193946926211101,0.7202723485105691,0.17323603297653736,0.17344506032843005,0.5125789724966077,0.5132025355688354,0.20684241069155518,0.2070922512886985,0.2565248054772035,0.25683577297862253,0.2560108122992441,0.2563211235392394
8,68.95457213987308,58.555416090786316,10.423853185332032,3.452060338682139,6.975245260130511,1.0133913943352324,2.4447649051712315,1.0959175116853168,1.3516706176743032,53.64651955383008,4.937061575731522,48.26744245685373,42.71914318833665,5.592145892816892,5.412743178293905,2.9744341687301534,2.4445660583604214,1.3515347032361034,1.0958554898628208,6.862583385013642,4.642026866662163,2.2217413815288785,3.241147350028547,1.4016805561823285,35.8885697796629,8.451432847984716,27.44946389421532,6.753731547688269,20.700533837686315,6.752663123644448,13.965932341107907,1.1708408868511058,12.814239397278063,6.411731456152068,5.013820303560926,1.4017897865496567,2.161776109728424,2.8573603360817885,0.8550183477884943,4.0346838587141285,2.0161094468571807,0.845234287658985,0.0889827916354991,1.263085825909526,1.2629580280694754,0.08897490011866876,6.147835589910639,0.8527177087550203,6.411731456152068,5.013820303560926,1.4017897865496567,2.161776109728424,2.8573603360817885,2.0161094468571807,0.845234287658985,3.9667564573968455,1.7072273277061465,1.5097884083155353,-0.19110732852049736,6.341879842068615,4.051279703036288,2.310693773130549,1.5236558423331794,0.7888964370203913,1.5106792388699761,0.7219937556213109,4.083017646435496,4.7921668083104825,-0.7570092278190064,1.5054048069177057,2.261185614235897,0.6907987677552907,0.6916294639556809,0.167073513100719,0.16727471845967393,0.49158545953552785,0.4921756870822297,0.1995214098664499,0.19976209883931603,0.24611611623901905,0.2464115644034006,0.24562869660766343,0.2459235629494356
9,67.75680738817186,56.99367729958501,10.64133994695813,3.414919138061875,7.207451940205485,1.0588523879032155,2.324814003165393,1.0397184377044724,1.268841265310638,51.77009382747562,5.086507421494841,46.146840217092716,40.72715638387801,5.204388454108699,5.4579835436843025,3.1003629711269123,2.3247244003499445,1.2687763098422968,1.039698349687386,6.4085068573776445,4.345495659667611,2.0571599876086544,3.031816090713974,1.309672516495853,34.16142643660012,7.852268266588937,26.24857673013209,6.297988239874813,19.92698246294376,6.297211248282383,13.540996092622006,1.0837003335178201,12.363126958960914,6.158841387833195,4.832197320691876,1.3074253095137862,2.0419027352253343,2.7631987272504417,0.8217573611200636,4.210788877895531,1.9262439492523786,0.8145763274703933,0.0819634132334671,1.184143642793603,1.184084926161803,0.08195765184992573,6.408651173342344,0.8195065532388455,6.158841387833195,4.832197320691876,1.3074253095137862,2.0419027352253343,2.7631987272504417,1.9262439492523786,0.8145763274703933,4.130913532334915,1.7780227096394676,1.568473515360864,-0.20297474829673948,6.611070455059451,4.230147269081913,2.4015642882112895,1.5828192098506835,0.8204215482699873,1.572815455465226,0.752698490609558,4.264691008459479,5.004374109459933,-0.7958621797485245,1.5588933121960649,2.3535961756238253,0.6615907477783504,0.6623887334077908,0.1610922304083093,0.16128622574672705,0.467511898320733,0.46807413533233266,0.19249296773083,0.19272510799293888,0.23351106289194887,0.23379145140192553,0.2330991411691183,0.23337903019342024
10,66.56236937923359,55.80412299994974,10.684176000850174,3.341890407459702,7.330603586439702,1.0803197842947,2.242567590924886,1.006241060351685,1.2270237362706198,50.561047588115066,5.159824063799937,45.03007370674212,39.77858241166163,5.120671652045496,5.430514199112197,3.1680789424959284,2.2423695554307668,1.2268943444278642,1.0061739399672784,6.307602476553205,4.265398616036115,2.0386719599304413,2.975129740670238,1.287881978575261,33.37549699978862,7.7388328743018295,25.59990764965038,6.177716191702247,19.407876605940608,6.176874781180555,13.177167687063276,1.0745148568003986,12.045613053213973,6.009077852097506,4.713234972556874,1.2842988667678856,1.9966834958779582,2.7005920134843433,0.8010124910245116,4.3050659586557565,1.8882689780417738,0.7998768860901485,0.08062935999397089,1.1449415924733644,1.1448201297327691,0.08062175118245063,6.555059006308491,0.7984594323267316,6.009077852097506,4.713234972556874,1.2842988667678856,1.9966834958779582,2.7005920134843433,1.8882689780417738,0.7998768860901485,4.221627096151205,1.8150969304926416,1.606543432837984,-0.20220527636121516,6.757397864714716,4.317186395802538,2.461151623765826,1.6233295308813653,0.8392806833100971,1.6145098111454457,0.7755766003302513,4.353696300989656,5.116447854111624,-0.8131379101812596,1.5950297375034173,2.4067473764178517,0.6445454428739023,0.6453089793113533,0.15787388992626097,0.1580616796083575,0.4548887495098721,0.4554268123821947,0.18870408034817973,0.1889289309190487,0.2273797555130871,0.22764883814022527,0.22698759797233256,0.22725622353170233
