cycle no.,t_total [s],t_1d_lw [s],t_stn [s],t_0d [s],t_1d_bif [s],t_reg [s],t_out [s]
1,83.32678907364607,16.609407234936953,17.414655059576035,34.5303304977715,5.688204754143953,8.781289648264647,0.30290187895298004
2,149.40939947217703,32.57585970312357,33.672843012958765,57.097083788365126,8.493273790925741,16.961777720600367,0.6085614562034607
3,214.5252576842904,48.506447214633226,49.932591922581196,78.92033381015062,11.285943634808064,24.972163017839193,0.9077780842781067
4,280.06397246569395,64.44753827154636,66.19002815708518,101.05420950427651,14.087474167346954,33.07107636332512,1.2136460021138191
5,346.19680244103074,80.3688836582005,82.43081693351269,123.77999148517847,16.88740148767829,41.21641871333122,1.513290163129568
6,412.4873864725232,96.28785221278667,98.66951667889953,146.6403433457017,19.684721987694502,49.3879576921463,1.8169945552945137
7,479.5280350930989,112.2492224983871,114.94106412306428,169.92855774983764,22.5014458745718,57.78911929577589,2.1186255514621735
8,546.2767133377492,128.18872778490186,131.19027876481414,193.19885350763798,25.304971788078547,65.96965376287699,2.4242277294397354
9,612.7407498918474,144.1105126067996,147.43079510703683,216.42314304038882,28.093541223555803,73.960699159652,2.72205875441432
10,679.5177580565214,160.0658036582172,163.69399821013212,239.68040505051613,30.900533128529787,82.14787181094289,3.029146198183298
11,745.5788605473936,175.98780719190836,179.96547853574157,262.54795179888606,33.68543862551451,90.06455642729998,3.327627968043089
12,811.8779599629343,191.94888005405664,196.23931864276528,285.43696995824575,36.48486464843154,98.13346261531115,3.634464044123888
13,877.9698550589383,207.87987285107374,212.49234145134687,308.04179556667805,39.283576127141714,106.3308999799192,3.9413690827786922
14,944.1832606121898,223.85013822838664,228.77152291685343,330.5790938362479,42.09247278049588,114.63785091042519,4.252181939780712
15,1009.558125898242,239.78618919104338,245.04374565184116,352.6342159546912,44.882708840072155,122.65807380899787,4.55319245159626
16,1075.0373644195497,255.7276772558689,261.28850281983614,374.6127596311271,47.681248497217894,130.86398193985224,4.863194275647402
17,1140.383998323232,271.7018062695861,277.5665434859693,396.18570852279663,50.495160810649395,139.26749766618013,5.1672815680503845
18,1205.2641101628542,287.64289893582463,293.8438426144421,417.6430786177516,53.2915451079607,147.3671673387289,5.475577548146248
19,1269.962268922478,303.60313948243856,310.11405085772276,438.73987888917327,56.10261041671038,155.6242516450584,5.7783376313745975
20,1334.867392346263,319.6113988608122,326.3927944600582,459.89119186624885,58.91994025185704,163.9620367884636,6.0900301188230515
21,1399.0854635424912,335.5690437704325,342.6713999770582,480.73626881465316,61.71320902556181,172.00256408378482,6.392977871000767
22,1463.2644301466644,351.5351065509021,358.9429737627506,501.5378222130239,64.5089085958898,180.03667283058167,6.702946193516254
23,1527.4264058358967,367.4989586547017,375.22895112261176,522.1894154623151,67.3100704587996,188.19133566692472,7.007674470543861
24,1591.312128033489,383.42893857881427,391.50845304504037,542.7628656551242,70.10287289693952,196.19238451123238,7.316613346338272
25,1655.1132567562163,399.3719061240554,407.7767414264381,563.2631282694638,72.89351679757237,204.18711004778743,7.620854090899229
26,1718.8872926831245,415.30778297036886,424.0681482106447,583.7626074776053,75.67875331640244,212.13866243883967,7.931338269263506
27,1783.0795304439962,431.2652622163296,440.33667573332787,604.343478500843,78.4900429546833,220.40837086364627,8.23570017516613
