cycle no,1 Ascending aorta [mm^2],2 Aortic arch I [mm^2],3 Brachiocephalic [mm^2],4 R. subclavian I [mm^2],5 R. com. carotid [mm^2],6 R. vertebral [mm^2],7 R. subclavian II [mm^2],8 R. radius [mm^2],9 R. ulnar I [mm^2],10 Aortic arch II [mm^2],11 L. com. carotid [mm^2],12 Thoracic aorta I [mm^2],13 Thoracic aorta II [mm^2],14 Intercoastals [mm^2],15 L. subclavian I [mm^2],16 L. vertebral [mm^2],17 L. subclavian II [mm^2],18 L. ulnar I [mm^2],19 L. radius [mm^2],20 Celiac I [mm^2],21 Celiac II [mm^2],22 Hepatic [mm^2],23 Splenic [mm^2],24 Gastric [mm^2],25 Abdominal aorta I [mm^2],26 Sup. mesenteric [mm^2],27 Abdominal aorta II [mm^2],28 R. renal [mm^2],29 Abdominal aorta III [mm^2],30 L. renal [mm^2],31 Abdominal aorta IV [mm^2],32 Inf. mesenteric [mm^2],33 Abdominal aorta V [mm^2],34 R. com. iliac [mm^2],35 R. ext. iliac [mm^2],36 R. int. iliac [mm^2],37 R. deep femoral [mm^2],38 R. femoral [mm^2],39 R. ext. carotid I [mm^2],40 L. int. carotid I [mm^2],41 R. post. tibial [mm^2],42 R. ant. tibial [mm^2],43 R. interosseous [mm^2],44 R. ulnar II [mm^2],45 L. ulnar II [mm^2],46 L. interosseous [mm^2],47 R. int. carotid I [mm^2],48 L. ext. carotid I [mm^2],49 L. com. iliac [mm^2],50 L. ext. iliac [mm^2],51 L. int. iliac [mm^2],52 L. deep femoral [mm^2],53 L. femoral [mm^2],54 L. post. tibial [mm^2],55 L. ant. tibial [mm^2],56 Basilar [mm^2],57 R. PCA I [mm^2],58 R. PCA II [mm^2],59 R. PCoA [mm^2],60 R. int. carotid II [mm^2],61 R. MCA [mm^2],62 R. ACA I [mm^2],63 R. ACA II [mm^2],64 ACoA [mm^2],65 L. ACA II [mm^2],66 L. ACA I [mm^2],67 L. MCA [mm^2],68 L. int. carotid II [mm^2],69 L. PCoA [mm^2],70 L. PCA II [mm^2],71 L. PCA I [mm^2],72 L. ext. carotid II [mm^2],73 R. ext. carotid II [mm^2],74 L. sup. thy. asc. ph. lyng. fac. occ. [mm^2],75 R. sup. thy. asc. ph. lyng. fac. occ. [mm^2],76 L. superf. temp. [mm^2],77 R. superf. temp. [mm^2],78 L. maxillary [mm^2],79 R. maxillary [mm^2],80 L. superf. temp. fron. bran. [mm^2],81 R. superf. temp. fron. bran. [mm^2],82 L. superf. temp. pari. bran. [mm^2],83 R. superf. temp. pari. bran. [mm^2]
1,12.865583982851675,11.321723552857486,2.378385778365069,1.0258759756006084,0.5717586993308379,0.2668651294108138,0.29980740640308995,0.07741264718318626,0.14690397685397147,9.934227163991826,0.6741381316584896,8.320196262434127,6.16955065088027,0.5278330703782468,1.0259597709136397,0.06279257060536826,0.2998262752820816,0.1469113928789794,0.0774155419999416,0.6198344702396826,0.4411429000649589,0.403844273614198,0.23580949285842148,0.15450254495671611,4.599315195030973,0.826727610741255,4.051884266803859,0.44595571802373635,3.8296045297518897,0.44595152813986033,2.94980776864847,0.2069247350371062,2.0482237848868983,0.8758240246708981,0.6813149656795324,0.12698733719678612,0.12749002173934823,0.27514985538502174,0.341594415060274,0.2854473326205434,0.19739245043479747,0.0965284693735126,0.03155542875515037,0.11529319366181635,0.11529599213244791,0.03155613417489083,0.32374305320260977,0.6354285027663085,0.8758240246708981,0.6813149656795324,0.12698733719678612,0.12749002173934823,0.27514985538502174,0.19739245043479747,0.0965284693735126,0.05671071145220534,0.05620313274588932,0.051700991087782415,0.022780858322597856,0.10845012395061256,0.08519316820411892,0.04721213341668933,0.05072125490054717,0.04443675588904909,0.060852217836310805,0.04771443149404658,0.06451732135880917,0.07234354023688343,0.04323463288082905,0.03526083409860748,0.0593506550776067,0.11263734556398117,0.11259727748654587,0.01577151179797435,0.015770321187901924,0.07672341363233705,0.07670240920568455,0.017352512231178896,0.017351112954192633,0.024301483711984415,0.02429905392036427,0.024301169523215784,0.024298741345686662
2,12.861617221281094,11.318293640924454,2.377870605118855,1.0255962019348512,0.5715579179247635,0.2666949194466959,0.29959233655820183,0.07719109656566879,0.1466249611792798,9.931153528600376,0.6739918631582801,8.317560571084542,6.167497838889724,0.5277039238104178,1.0257135489127216,0.06277917540759718,0.29961499560486154,0.14663413067964784,0.07719473753615136,0.619623549660932,0.44102189788998847,0.40375491025281773,0.2356909320974753,0.15444467232215997,4.597770002710367,0.8264752113797437,4.050661215007365,0.4457808361136585,3.82854730190876,0.44577625375036095,2.9490226475571695,0.20686469788733874,2.0476395885648557,0.875564727781391,0.6811386415829773,0.1269499327204933,0.1273411536770269,0.2748473648692784,0.34149329688581137,0.2842840137705677,0.1970461998452293,0.09633808803315973,0.03152165560642315,0.11512011770358167,0.11512361886083892,0.03152253186822108,0.32337645396402587,0.6352865749677362,0.875564727781391,0.6811386415829773,0.1269499327204933,0.1273411536770269,0.2748473648692784,0.1970461998452293,0.09633808803315973,0.05653030822732465,0.056082757749895074,0.05156225567490704,0.022758752259296442,0.10792152350706599,0.08488569827778163,0.04703930842654894,0.050534932204335824,0.044300024136322905,0.06060344851060086,0.04757287546543219,0.06419160021582584,0.07199723051763926,0.043125265030774074,0.03517021068606024,0.05917519302474857,0.11257749995730316,0.11252682102433251,0.01575793141300829,0.015756404046925573,0.07664824761406751,0.07662151428833708,0.01733659206704264,0.017334792294166308,0.02427044703233892,0.024267282884430655,0.024269970263874008,0.02426680779249624
3,12.769808235516527,11.237460254895629,2.365143118955833,1.0187563455363802,0.56857570456763,0.2655842806712732,0.2979591220351702,0.07695674481897481,0.14602553962233425,9.86025258629529,0.6703878229628691,8.258216546824778,6.123559228293644,0.5257454076234085,1.0188360079889267,0.0626321019171366,0.29797458815068356,0.1460319629907485,0.07695933421884357,0.6162443307103725,0.43903562841993937,0.4020764558551586,0.23445450154372952,0.15370448159554786,4.565050633276893,0.8218746197983726,4.0217726521288615,0.44346227880293837,3.801193353231906,0.44345802016205405,2.92793249168649,0.20563983753435905,2.033018721793745,0.8701548361817028,0.6785837940288396,0.12657458658367501,0.12676370322872518,0.2736374835803551,0.3395888559184184,0.2838500764375583,0.19655548866984535,0.09614220462648888,0.03146544621653588,0.11489401429154115,0.11489649467634777,0.031466064153236016,0.32184688958759977,0.6316407143457637,0.8701548361817028,0.6785837940288396,0.12657458658367501,0.12676370322872518,0.2736374835803551,0.19655548866984535,0.09614220462648888,0.056481221442043615,0.05597574933645296,0.05151380439535896,0.02273488025588559,0.10768830601411712,0.08464515852882096,0.04705267319911715,0.050538709174620916,0.044297369480747605,0.060605769699683266,0.04754515280997998,0.06421983563173066,0.07198491243682191,0.043090187461373754,0.035166730137181884,0.05909929339387264,0.11182876695320575,0.11178941003970647,0.015733850981920584,0.015732645495042906,0.0762531798704892,0.07623232800795696,0.01730844429484286,0.017307023580938392,0.02422399529502988,0.024221482374214277,0.024223518875999342,0.024221007052270052
4,12.676654234750432,11.155472026861961,2.3521954128808655,1.0117987141066322,0.5654888710319382,0.26435130678299984,0.29629991674877554,0.07672344479609128,0.14541700596010562,9.788338999839173,0.6667205891749697,8.198019826677598,6.0789757167454885,0.5237369874273043,1.0118696155151092,0.06247684870220069,0.29631446246226134,0.14542298700436032,0.07672585264752713,0.6127929007756998,0.43700438257660024,0.4003624603252017,0.233176793278798,0.1529426557795714,4.531843321544761,0.8171801870204612,3.9924806419331347,0.4410832329596089,3.7734778780439027,0.44107931910585585,2.906577836972472,0.20439360308024448,2.0182118961044675,0.8646640075951134,0.6759775433568855,0.1261868621555303,0.12615527129347306,0.2723867980867495,0.3376287018785656,0.2825798425067224,0.1960200942919092,0.09592757064220543,0.03140775040141914,0.11466248963357861,0.11466480236695129,0.0314083256575113,0.3200700792258095,0.6279304954459963,0.8646640075951134,0.6759775433568855,0.1261868621555303,0.12615527129347306,0.2723867980867495,0.1960200942919092,0.09592757064220543,0.056289473566098445,0.05577349673142727,0.05135016820888116,0.02269406182784754,0.10709951375921253,0.08423128601273745,0.046924520194904215,0.0503946121419073,0.044185011510194015,0.060403100637879265,0.04740972606482219,0.06401198131399993,0.0717142921580255,0.042974054530702605,0.03509156056799227,0.05888692948786181,0.11106937728371623,0.11103319359805684,0.01571043309654683,0.01570932102395202,0.07585336094852085,0.07583419232073159,0.01728101729013752,0.01727970787139058,0.024177060263719883,0.02417475108437748,0.024176607443260983,0.024174299280081604
5,12.610266222159897,11.097048370951253,2.342967531721621,1.0068401335784902,0.5632796471114503,0.26345516316077267,0.29513021512224197,0.07658197154601172,0.14501422495430918,9.737098289366623,0.664106700484112,8.155136831022473,6.047230778626274,0.5223128639794977,1.006909369430812,0.062365035182854786,0.2951451211748626,0.145020289339582,0.07658440734578273,0.6103398697634558,0.43556374924612135,0.3991472061079708,0.23227916933695483,0.152406440154865,4.508219983971705,0.8138499320989108,3.9716544389925694,0.4393994060798211,3.7537763175492436,0.43939582197087557,2.8913999110701867,0.2035097610655961,2.007692542290124,0.860765072774699,0.6741277759798099,0.12591411414303427,0.12573696276266813,0.27150185459102266,0.3362263663219082,0.28154037885529853,0.19565457171965492,0.09578168376403541,0.03137088448087692,0.11451916977264587,0.11452151798696703,0.03137146839223026,0.318757056421655,0.625285921553062,0.860765072774699,0.6741277759798099,0.12591411414303427,0.12573696276266813,0.27150185459102266,0.19565457171965492,0.09578168376403541,0.05613524129816714,0.05561305665398953,0.05121379535584433,0.02266184230788179,0.10661431790523689,0.08388787160150532,0.04681509703121829,0.05026785912599158,0.04408842718734503,0.060227061081880785,0.047295331416172225,0.06382966489343439,0.07148319322289307,0.0428787704524492,0.03502802598964552,0.058716455043598424,0.110530465391995,0.11049460460807287,0.01569466449951592,0.015693557512876447,0.07557351754750706,0.07555450704068423,0.017262561309366938,0.01726125875194453,0.024146532810987116,0.02414423588440344,0.024146103182491187,0.02414380728411109
6,12.574015879575178,11.065144822582187,2.337920710300276,1.0041324951455584,0.5620726891174022,0.2629649360894441,0.29449505510713503,0.07650887143164439,0.1447975796809853,9.709111232341282,0.6626772013695708,8.13170215104621,6.029863934306331,0.5215287167343116,1.0041969580622487,0.062303857791233805,0.2945091120212756,0.1448033288553546,0.07651119554671874,0.6089926493433159,0.43477042865033316,0.3984771895772462,0.23178175208460658,0.15210944428482054,4.495274397420063,0.8120160841883906,3.960230166278562,0.43847100764490105,3.7429646285291462,0.4384674916079938,2.883067943765106,0.20302287369419234,2.00191451883295,0.8586212074334242,0.6731094246560455,0.12576286059747066,0.12550467012897998,0.2710218410121307,0.3354618769723814,0.28094228887836337,0.1954577487064853,0.0957046088349677,0.031350755114020135,0.11444211502088673,0.11444435572434909,0.031351310709923336,0.318042807005828,0.6238404242503732,0.8586212074334242,0.6731094246560455,0.12576286059747066,0.12550467012897998,0.2710218410121307,0.1954577487064853,0.0957046088349677,0.05604687274112755,0.055523813369605185,0.051137526074428175,0.022644124557421333,0.10634664680811938,0.08370404613090532,0.04675125509203,0.05019434318297063,0.04403220243940624,0.060124638731672404,0.04722942373246025,0.06371988638515576,0.0713472902845475,0.042823957966732114,0.034990492267595194,0.05861914798168561,0.11023693899359664,0.11020204387039992,0.015686307683851708,0.015685224742676192,0.07542182599893033,0.07540330086456748,0.017252791694807285,0.017251517466525958,0.024130230271454764,0.024127978814098262,0.024129820473130812,0.02412756997100971
7,12.564338523779554,11.056632630437347,2.336572550752801,1.0034050732454283,0.5617434634269848,0.26281954736171304,0.2943438668705212,0.07651920012760108,0.14477920561178395,9.701658973972737,0.6622945281485196,8.12548536069329,6.0252941130719755,0.5213343660043868,1.0034736547300813,0.06228672324610493,0.2943593512628196,0.14478546452058827,0.0765217227707738,0.6086508355179951,0.43457284681218344,0.39831029911264193,0.23167117239387702,0.152041441657514,4.491903033725848,0.8115554510855927,3.957258020888663,0.4382458123354243,3.740147669835842,0.4382425603559219,2.88089954678375,0.20290080949449094,2.0004242875421636,0.8580775135947195,0.6728600715519759,0.12572949333481817,0.12547063576637255,0.2709279522841598,0.3352515139779874,0.2806817342003254,0.1954536461494426,0.09570749474913738,0.03135094045486847,0.11444870351898215,0.11445114229528851,0.0313515449588109,0.31781355323383725,0.6234520560120038,0.8580775135947195,0.6728600715519759,0.12572949333481817,0.12547063576637255,0.2709279522841598,0.1954536461494426,0.09570749474913738,0.05601217772256714,0.05548755906248027,0.05110328239333834,0.022636978789124563,0.10622897251356576,0.08361833646397751,0.04672203579631582,0.05015693474849458,0.04400495780339395,0.06007355917270337,0.04719792092767652,0.06366373482599884,0.07128166140051123,0.042799873453322486,0.03497284431597201,0.058579053449396006,0.11016130634755432,0.11012482071579889,0.015685229765560905,0.015684093843728125,0.07538848373121884,0.07536910519578927,0.017251584604886534,0.017250248639409757,0.024129892664316185,0.024127531454279934,0.024129496689414737,0.024127136472738165
8,12.579323773265457,11.069818776460352,2.338651290665943,1.0045221276655787,0.562241954870465,0.26302002490214865,0.2946338851128808,0.0765883976639819,0.1449168902029308,9.713231366650765,0.6628831818914678,8.135177356150685,6.032481841788954,0.5216652715176509,1.0045879240735052,0.06231194024102801,0.2946488107108101,0.14492296723814702,0.07659086612986897,0.6092154639898194,0.43490555247483764,0.39858933127979046,0.23188813504324357,0.1521688909275198,4.497257027456986,0.8123188540416075,3.961960989119819,0.4386401286031472,3.7445835019673863,0.4386368850957664,2.884313646661201,0.20310262543391802,2.0027992362954565,0.8589661158376545,0.6732914902610001,0.12579572211019605,0.1255898219018067,0.2711694806653636,0.3355672954949266,0.2808921296727188,0.19559212003263898,0.09576941352949803,0.03136515931673939,0.11451172369196938,0.11451410759809326,0.031365748258734415,0.318102385285588,0.6240470547686379,0.8589661158376545,0.6732914902610001,0.12579572211019605,0.1255898219018067,0.2711694806653636,0.19559212003263898,0.09576941352949803,0.05604590228335137,0.05552078498567703,0.0511303512741792,0.022643673615853278,0.10632834149766444,0.08368549605575054,0.04674445752933085,0.05018057575608811,0.044023640563929316,0.06010670644004066,0.047220064090537195,0.0636989897318895,0.07132716876391416,0.04281931990680786,0.034985468568138424,0.05861487905056615,0.11028702708059632,0.1102506308874983,0.015690322598198757,0.015689183620778643,0.07546075630083485,0.0754413954753537,0.01725761109158207,0.017256271249136746,0.024141491735337466,0.02413911703357563,0.024141108214016164,0.024138734426437894
9,12.610586405648707,11.097331993336196,2.3429977545531235,1.0068526011619383,0.5632834514514329,0.26344106029497966,0.295218315380832,0.07670685286035951,0.14517402220461953,9.737384505481481,0.6641139948585849,8.155424609781779,6.0475256659416115,0.5223603951917285,1.006920837874875,0.06236464876617473,0.2952341082252377,0.14518041190178582,0.07670944621439296,0.6103999121941588,0.43560631094556146,0.3991796340259232,0.23234619280095659,0.15243891844139348,4.5084997311370705,0.8139306922838079,3.971865960673688,0.4394695666050546,3.7539404381136285,0.43946651906754325,2.8915225041762946,0.20353007700489018,2.0078164341156453,0.8608421638445792,0.6741984604608697,0.1259354309666836,0.12583387408340363,0.271650513403042,0.33622474655320134,0.2814010572658298,0.1958534619480202,0.09588247861149511,0.03139177534153221,0.11462511939778429,0.11462762508401612,0.03139239413601392,0.318713240860262,0.625290429339828,0.8608421638445792,0.6741984604608697,0.1259354309666836,0.12583387408340363,0.271650513403042,0.1958534619480202,0.09588247861149511,0.05612487933175157,0.05559631477086805,0.05119481047236943,0.022658619880102975,0.10655993539556216,0.08383890240610205,0.046800449814836845,0.050242028403874074,0.04407109924360229,0.06019228932060377,0.04727518895682992,0.06379310699773527,0.07144343978905311,0.04286612209429308,0.03501756148674002,0.05869885104692697,0.11054618714525154,0.11050900879697233,0.015699870207358493,0.01569870318686951,0.0756054162281572,0.07558562799472289,0.017268869030678494,0.017267496442907492,0.02416288370459792,0.024160448782481917,0.024162507829635648,0.024160073800389967
10,12.657622548139951,11.138723773795157,2.349530210720524,1.0103609863291847,0.5648495360393586,0.2640768163871629,0.29608646522530446,0.07686408457531844,0.14553248647182826,9.773706031837174,0.6659641879153234,8.185845656846151,6.070085067203376,0.523389372536682,1.0104279455441632,0.06244403430067665,0.29610203388979306,0.1455388160703824,0.07686666895485769,0.6121622710093898,0.43664425246161953,0.40005290645820585,0.23301162736426273,0.1528325803806443,4.5253148223074895,0.8163214854123346,3.986669145541767,0.4406932731658271,3.7679245957314675,0.4406902427634708,2.9022927030958616,0.20416349693781957,2.0152992010658988,0.8636310274548891,0.6755385595286577,0.12613814890042843,0.1261747386316869,0.27234724626135365,0.3372161548774692,0.2821577218311551,0.19620605884145567,0.09603360669225715,0.03142741222861997,0.11477520157319118,0.11477769581748114,0.03142802646033055,0.31963764857436006,0.6271609324682318,0.8636310274548891,0.6755385595286577,0.12613814890042843,0.1261747386316869,0.27234724626135365,0.19620605884145567,0.09603360669225715,0.05623982620836183,0.05570995747270234,0.05129087876839545,0.022681227530253544,0.10690352055332149,0.0840719892230358,0.04688175657464155,0.05033290897650846,0.04414123786869969,0.060319005411345106,0.04735745474359357,0.06393051743385783,0.07161437023298607,0.04293567732446553,0.03506467597253687,0.05882336393873316,0.11093407537084927,0.11089658993434971,0.015713369983407468,0.0157121894748885,0.07581767413514211,0.07579770418754198,0.017284766272923777,0.017283377613702477,0.024191914389809534,0.024189446322235214,0.024191546235877902,0.024189078999553807
