cycle no.,Q_max_rel_err,Q_CoW_proximal_max_rel_err,Parm_rel_err,Converge_err,if_conv
2,0.3195044960718559,0.879001106735676,0.12557076406444181,0.001,0
4,0.19460261208208524,0.06682617771733676,0.19475321253352287,0.001,0
6,0.06834289425653461,0.017261992197589428,0.2328122916604071,0.001,0
8,0.04947307338829211,0.052982136251900305,0.2297461592583243,0.001,0
10,0.035847243721577965,0.09602048453273695,0.19888613268194508,0.001,0
12,0.03145213887514295,0.11203850056349907,0.15316078654558865,0.001,0
14,0.02855128260430555,0.10658128428916239,0.10245458255187691,0.001,0
16,0.023059519592608425,0.08846102772635471,0.05419337301965653,0.001,0
18,0.016114759610803654,0.06543456129949951,0.013816479085710296,0.001,0
20,0.01513630254483196,0.04034243961298141,0.015216418726643128,0.001,0
22,0.014491299342384559,0.017388491494373725,0.031623424006944845,0.001,0
24,0.011161057789795224,0.00794545557361986,0.03635471065309418,0.001,0
26,0.009169060419939437,0.017966080750236882,0.0322165736728535,0.001,0
28,0.007396062221514572,0.020710862199211845,0.022991335441123466,0.001,0
30,0.005742813637307344,0.018079853661613958,0.012350397381002663,0.001,0
32,0.0038630104099647493,0.013148866840680158,0.0030162196951870612,0.001,0
34,0.0038328538550828463,0.008128205937903869,0.003559595701073321,0.001,0
36,0.003205032176997923,0.0032844048141861364,0.007055983417287034,0.001,0
38,0.0021879921798560824,0.0021629091013864745,0.007909203144375201,0.001,0
40,0.0018393052059849499,0.0040097950037144715,0.006920704068472386,0.001,0
42,0.001452130748741654,0.004416771259200356,0.004953883092909069,0.001,0
44,0.001176344307625997,0.0038247639182344122,0.0027442027127420688,0.001,0
46,0.0008067173168301312,0.0028205616110182703,0.0008078003251042227,0.001,0
48,0.000770464693230574,0.0017737837283469794,0.0005761886092192319,0.001,0
50,0.0006713489209286595,0.0007561571073391786,0.0013344978685684136,0.001,0
52,0.00047501129091126986,0.0003961569812764869,0.0015414870846440617,0.001,0
54,0.0003920391782057541,0.0008106916316355669,0.0013531082132691402,0.001,0
56,0.0003136132379246831,0.0009155167023068445,0.0009476291808983969,0.001,1
58,0.14104356177649263,0.0,0.0,0.001,0
60,0.014552298844049447,0.0,0.0,0.001,0
62,0.0070815226916590415,0.0,0.0,0.001,0
64,0.0030825834978988904,0.0,0.0,0.001,0
66,0.0013085228805107842,0.0,0.0,0.001,0
68,0.0005234959426800342,0.0,0.0,0.001,1
