artery no.,R1[mmHg.s/ml],R2[mmHg.s/ml],R3[mmHg.s/ml],C[ml/mmHg],L[mmHg.s2/ml]
8,16.60720948251537,69.66170002570068,0.0,0.038046681523968,0.025027304308959
14,1.7386922897847348,19.59553675997908,0.0,0.14449872179392,0.012842230573005
19,16.60720948251537,69.66170002570068,0.0,0.038046681523968,0.025027304308959
22,2.377682386682368,51.39124666129517,0.0,0.055344362840840995,0.02075084420805
23,3.251540800163099,32.916935254880094,0.0,0.086569054039576,0.016591709297404
24,6.267495186034569,77.36961087487097,0.0,0.037136869555529,0.025332019852992
26,1.0450793337217565,13.115072307559002,0.0,0.21593629206841,0.010505328710675
28,1.7408536808075508,15.916766627493178,0.0,0.17774178031754,0.011579177272882
30,1.7408536808075508,15.916766627493178,0.0,0.17774178031754,0.011579177272882
32,4.123363381831053,97.82510051829632,0.0,0.02920164101341,0.028567276411064
36,7.991137011366481,75.96138920412419,0.0,0.036167170080079,0.025669369503467005
37,6.234601170194684,45.134493771418356,0.0,0.060174810171002006,0.019900551007918
41,5.012588851387049,45.72431151186736,0.0,0.060174810171002006,0.019900551007918
42,11.024504473396862,101.66268648365217,0.0,0.027101470124251997,0.029653505489417
43,39.41492527027712,1188.8794127778287,0.0,0.0023831146234603,0.1
44,11.822680825174064,71.19192245079893,0.0,0.038046681523968,0.025027304308959
45,11.822680825174064,71.19192245079893,0.0,0.038046681523968,0.025027304308959
46,39.41492527027712,1188.8794127778287,0.0,0.0023831146234603,0.1
51,7.991137011366481,75.96138920412419,0.0,0.036167170080079,0.025669369503467005
52,6.234601170194684,45.134493771418356,0.0,0.060174810171002006,0.019900551007918
54,5.012588851387049,45.72431151186736,0.0,0.060174810171002006,0.019900551007918
55,11.024504473396862,101.66268648365217,0.0,0.027101470124251997,0.029653505489417
58,13.734581626333025,54.9383265053321,0.0,0.039291244567818,0.024627740739992996
61,5.176452427392733,20.705809709570932,0.0,0.080034690245299,0.017255729794713
63,14.401412544547767,57.60565017819107,0.0,0.039676552235793,0.024507866312575
65,16.943668423874545,67.77467369549818,0.0,0.039676552235793,0.024507866312575
67,6.865763443793375,27.4630537751735,0.0,0.080034690245299,0.017255729794713
70,14.916403914754323,59.66561565901729,0.0,0.039291244567818,0.024627740739992996
74,34.2912000079342,420.1434962712779,0.0,0.006815010636720901,0.05913426413126101
75,34.2912000079342,420.1434962712779,0.0,0.006815010636720901,0.05913426413126101
78,28.5760000046742,350.11958020232487,0.0,0.0081780127646197,0.05398195064177
79,28.5760000046742,350.11958020232487,0.0,0.0081780127646197,0.05398195064177
80,28.5760000046742,350.11958020232487,0.0,0.0081780127646197,0.05398195064177
81,28.5760000046742,350.11958020232487,0.0,0.0081780127646197,0.05398195064177
82,28.5760000046742,350.11958020232487,0.0,0.0081780127646197,0.05398195064177
83,28.5760000046742,350.11958020232487,0.0,0.0081780127646197,0.05398195064177
84,0.5,0.0,0.0,inf,0.002
85,0.5,0.0,0.0,inf,0.002
86,0.5,0.0,0.0,inf,0.002
87,0.5,0.0,0.0,inf,0.002
88,0.5,0.0,0.0,inf,0.002
89,0.5,0.0,0.0,inf,0.002
90,0.5,0.0,0.0,inf,0.002
